81,30
x,y,dx,dy,x_c,y_c
106.00,148.00,52.00,52.00,132.00,174.00
106.00,148.00,52.00,52.00,132.00,174.00
95.00,137.00,52.00,52.00,121.00,163.00
116.00,148.00,52.00,52.00,142.00,174.00
127.00,148.00,52.00,52.00,153.00,174.00
95.00,127.00,52.00,52.00,121.00,153.00
95.00,116.00,52.00,52.00,121.00,142.00
106.00,95.00,52.00,52.00,132.00,121.00
106.00,84.00,52.00,52.00,132.00,110.00
84.00,84.00,52.00,52.00,110.00,110.00
84.00,84.00,52.00,52.00,110.00,110.00
74.00,84.00,52.00,52.00,100.00,110.00
74.00,84.00,52.00,52.00,100.00,110.00
74.00,84.00,52.00,52.00,100.00,110.00
74.00,95.00,52.00,52.00,100.00,121.00
63.00,63.00,52.00,52.00,89.00,89.00
63.00,63.00,52.00,52.00,89.00,89.00
63.00,63.00,52.00,52.00,89.00,89.00
74.00,74.00,52.00,52.00,100.00,100.00
84.00,74.00,52.00,52.00,110.00,100.00
137.00,84.00,52.00,52.00,163.00,110.00
137.00,95.00,52.00,52.00,163.00,121.00
148.00,95.00,52.00,52.00,174.00,121.00
148.00,84.00,52.00,52.00,174.00,110.00
158.00,84.00,52.00,52.00,184.00,110.00
169.00,95.00,52.00,52.00,195.00,121.00
201.00,74.00,52.00,52.00,227.00,100.00
179.00,74.00,52.00,52.00,205.00,100.00
158.00,74.00,52.00,52.00,184.00,100.00
137.00,74.00,52.00,52.00,163.00,100.00
116.00,74.00,52.00,52.00,142.00,100.00
106.00,158.00,52.00,52.00,132.00,184.00
95.00,158.00,52.00,52.00,121.00,184.00
95.00,158.00,52.00,52.00,121.00,184.00
95.00,169.00,52.00,52.00,121.00,195.00
95.00,169.00,52.00,52.00,121.00,195.00
95.00,158.00,52.00,52.00,121.00,184.00
106.00,158.00,52.00,52.00,132.00,184.00
127.00,158.00,52.00,52.00,153.00,184.00
137.00,158.00,52.00,52.00,163.00,184.00
148.00,158.00,52.00,52.00,174.00,184.00
137.00,158.00,52.00,52.00,163.00,184.00
127.00,158.00,52.00,52.00,153.00,184.00
148.00,169.00,52.00,52.00,174.00,195.00
127.00,158.00,52.00,52.00,153.00,184.00
137.00,169.00,52.00,52.00,163.00,195.00
116.00,148.00,52.00,52.00,142.00,174.00
95.00,158.00,52.00,52.00,121.00,184.00
95.00,137.00,52.00,52.00,121.00,163.00
84.00,148.00,52.00,52.00,110.00,174.00
116.00,158.00,52.00,52.00,142.00,184.00
116.00,211.00,52.00,52.00,142.00,237.00
106.00,201.00,52.00,52.00,132.00,227.00
95.00,179.00,52.00,52.00,121.00,205.00
95.00,169.00,52.00,52.00,121.00,195.00
84.00,158.00,52.00,52.00,110.00,184.00
84.00,137.00,52.00,52.00,110.00,163.00
84.00,127.00,52.00,52.00,110.00,153.00
74.00,116.00,52.00,52.00,100.00,142.00
74.00,106.00,52.00,52.00,100.00,132.00
148.00,201.00,52.00,52.00,174.00,227.00
179.00,190.00,52.00,52.00,205.00,216.00
201.00,179.00,52.00,52.00,227.00,205.00
222.00,158.00,52.00,52.00,248.00,184.00
232.00,137.00,52.00,52.00,258.00,163.00
243.00,116.00,52.00,52.00,269.00,142.00
243.00,84.00,52.00,52.00,269.00,110.00
243.00,63.00,52.00,52.00,269.00,89.00
