58,-30
x,y,dx,dy,x_c,y_c
211.00,211.00,52.00,52.00,237.00,237.00
201.00,211.00,52.00,52.00,227.00,237.00
190.00,211.00,52.00,52.00,216.00,237.00
222.00,211.00,52.00,52.00,248.00,237.00
222.00,211.00,52.00,52.00,248.00,237.00
222.00,190.00,52.00,52.00,248.00,216.00
222.00,179.00,52.00,52.00,248.00,205.00
211.00,158.00,52.00,52.00,237.00,184.00
211.00,148.00,52.00,52.00,237.00,174.00
179.00,148.00,52.00,52.00,205.00,174.00
179.00,148.00,52.00,52.00,205.00,174.00
169.00,148.00,52.00,52.00,195.00,174.00
169.00,137.00,52.00,52.00,195.00,163.00
158.00,137.00,52.00,52.00,184.00,163.00
148.00,148.00,52.00,52.00,174.00,174.00
116.00,127.00,52.00,52.00,142.00,153.00
127.00,116.00,52.00,52.00,153.00,142.00
137.00,116.00,52.00,52.00,163.00,142.00
148.00,127.00,52.00,52.00,174.00,153.00
169.00,137.00,52.00,52.00,195.00,163.00
222.00,148.00,52.00,52.00,248.00,174.00
232.00,148.00,52.00,52.00,258.00,174.00
232.00,148.00,52.00,52.00,258.00,174.00
232.00,137.00,52.00,52.00,258.00,163.00
232.00,137.00,52.00,52.00,258.00,163.00
243.00,148.00,52.00,52.00,269.00,174.00
253.00,127.00,52.00,52.00,279.00,153.00
243.00,127.00,52.00,52.00,269.00,153.00
232.00,127.00,52.00,52.00,258.00,153.00
232.00,127.00,52.00,52.00,258.00,153.00
222.00,127.00,52.00,52.00,248.00,153.00
211.00,232.00,52.00,52.00,237.00,258.00
201.00,232.00,52.00,52.00,227.00,258.00
190.00,243.00,52.00,52.00,216.00,269.00
179.00,243.00,52.00,52.00,205.00,269.00
201.00,243.00,52.00,52.00,227.00,269.00
201.00,243.00,52.00,52.00,227.00,269.00
211.00,232.00,52.00,52.00,237.00,258.00
222.00,222.00,52.00,52.00,248.00,248.00
222.00,222.00,52.00,52.00,248.00,248.00
222.00,222.00,52.00,52.00,248.00,248.00
222.00,232.00,52.00,52.00,248.00,258.00
222.00,232.00,52.00,52.00,248.00,258.00
222.00,232.00,52.00,52.00,248.00,258.00
222.00,222.00,52.00,52.00,248.00,248.00
222.00,232.00,52.00,52.00,248.00,258.00
211.00,222.00,52.00,52.00,237.00,248.00
201.00,232.00,52.00,52.00,227.00,258.00
201.00,211.00,52.00,52.00,227.00,237.00
179.00,232.00,52.00,52.00,205.00,258.00
211.00,232.00,52.00,52.00,237.00,258.00
211.00,285.00,52.00,52.00,237.00,311.00
179.00,285.00,52.00,52.00,205.00,311.00
148.00,274.00,52.00,52.00,174.00,300.00
116.00,264.00,52.00,52.00,142.00,290.00
95.00,243.00,52.00,52.00,121.00,269.00
74.00,222.00,52.00,52.00,100.00,248.00
63.00,190.00,52.00,52.00,89.00,216.00
53.00,158.00,52.00,52.00,79.00,184.00
42.00,127.00,52.00,52.00,68.00,153.00
222.00,274.00,52.00,52.00,248.00,300.00
232.00,264.00,52.00,52.00,258.00,290.00
232.00,243.00,52.00,52.00,258.00,269.00
243.00,232.00,52.00,52.00,269.00,258.00
243.00,222.00,52.00,52.00,269.00,248.00
243.00,211.00,52.00,52.00,269.00,237.00
243.00,190.00,52.00,52.00,269.00,216.00
232.00,169.00,52.00,52.00,258.00,195.00
