46,30
x,y,dx,dy,x_c,y_c
523.64,497.45,20.73,20.73,534.00,507.82
523.64,497.45,20.73,20.73,534.00,507.82
519.27,493.09,20.73,20.73,529.64,503.45
528.00,497.45,20.73,20.73,538.36,507.82
532.36,493.09,20.73,20.73,542.73,503.45
514.91,488.73,20.73,20.73,525.27,499.09
514.91,484.36,20.73,20.73,525.27,494.73
519.27,480.00,20.73,20.73,529.64,490.36
519.27,475.64,20.73,20.73,529.64,486.00
510.55,475.64,20.73,20.73,520.91,486.00
506.18,475.64,20.73,20.73,516.55,486.00
501.82,475.64,20.73,20.73,512.18,486.00
506.18,475.64,20.73,20.73,516.55,486.00
506.18,475.64,20.73,20.73,516.55,486.00
506.18,480.00,20.73,20.73,516.55,490.36
501.82,466.91,20.73,20.73,512.18,477.27
506.18,466.91,20.73,20.73,516.55,477.27
506.18,462.55,20.73,20.73,516.55,472.91
510.55,466.91,20.73,20.73,520.91,477.27
510.55,466.91,20.73,20.73,520.91,477.27
532.36,475.64,20.73,20.73,542.73,486.00
536.73,475.64,20.73,20.73,547.09,486.00
541.09,475.64,20.73,20.73,551.45,486.00
536.73,471.27,20.73,20.73,547.09,481.64
541.09,471.27,20.73,20.73,551.45,481.64
545.45,471.27,20.73,20.73,555.82,481.64
558.55,466.91,20.73,20.73,568.91,477.27
554.18,462.55,20.73,20.73,564.55,472.91
545.45,458.18,20.73,20.73,555.82,468.55
536.73,458.18,20.73,20.73,547.09,468.55
528.00,462.55,20.73,20.73,538.36,472.91
523.64,506.18,20.73,20.73,534.00,516.55
519.27,506.18,20.73,20.73,529.64,516.55
514.91,506.18,20.73,20.73,525.27,516.55
514.91,510.55,20.73,20.73,525.27,520.91
519.27,510.55,20.73,20.73,529.64,520.91
519.27,510.55,20.73,20.73,529.64,520.91
523.64,506.18,20.73,20.73,534.00,516.55
528.00,501.82,20.73,20.73,538.36,512.18
532.36,501.82,20.73,20.73,542.73,512.18
536.73,506.18,20.73,20.73,547.09,516.55
532.36,506.18,20.73,20.73,542.73,516.55
528.00,506.18,20.73,20.73,538.36,516.55
536.73,514.91,20.73,20.73,547.09,525.27
528.00,510.55,20.73,20.73,538.36,520.91
532.36,519.27,20.73,20.73,542.73,529.64
523.64,514.91,20.73,20.73,534.00,525.27
519.27,519.27,20.73,20.73,529.64,529.64
523.64,514.91,20.73,20.73,534.00,525.27
519.27,519.27,20.73,20.73,529.64,529.64
523.64,523.64,20.73,20.73,534.00,534.00
523.64,549.82,20.73,20.73,534.00,560.18
514.91,549.82,20.73,20.73,525.27,560.18
506.18,545.45,20.73,20.73,516.55,555.82
506.18,541.09,20.73,20.73,516.55,551.45
497.45,536.73,20.73,20.73,507.82,547.09
497.45,528.00,20.73,20.73,507.82,538.36
497.45,519.27,20.73,20.73,507.82,529.64
497.45,510.55,20.73,20.73,507.82,520.91
497.45,506.18,20.73,20.73,507.82,516.55
532.36,549.82,20.73,20.73,542.73,560.18
545.45,545.45,20.73,20.73,555.82,555.82
554.18,545.45,20.73,20.73,564.55,555.82
562.91,536.73,20.73,20.73,573.27,547.09
567.27,528.00,20.73,20.73,577.64,538.36
571.64,519.27,20.73,20.73,582.00,529.64
576.00,506.18,20.73,20.73,586.36,516.55
580.36,497.45,20.73,20.73,590.73,507.82
