148,0
x,y,dx,dy,x_c,y_c
265.09,291.27,65.45,65.45,297.82,324.00
265.09,291.27,65.45,65.45,297.82,324.00
250.91,291.27,65.45,65.45,283.64,324.00
278.18,291.27,65.45,65.45,310.91,324.00
291.27,291.27,65.45,65.45,324.00,324.00
265.09,265.09,65.45,65.45,297.82,297.82
265.09,250.91,65.45,65.45,297.82,283.64
265.09,224.73,65.45,65.45,297.82,257.45
265.09,211.64,65.45,65.45,297.82,244.36
224.73,224.73,65.45,65.45,257.45,257.45
224.73,224.73,65.45,65.45,257.45,257.45
211.64,237.82,65.45,65.45,244.36,270.55
211.64,224.73,65.45,65.45,244.36,257.45
198.55,224.73,65.45,65.45,231.27,257.45
185.45,224.73,65.45,65.45,218.18,257.45
145.09,198.55,65.45,65.45,177.82,231.27
159.27,172.36,65.45,65.45,192.00,205.09
172.36,159.27,65.45,65.45,205.09,192.00
185.45,159.27,65.45,65.45,218.18,192.00
198.55,159.27,65.45,65.45,231.27,192.00
304.36,211.64,65.45,65.45,337.09,244.36
317.45,224.73,65.45,65.45,350.18,257.45
317.45,224.73,65.45,65.45,350.18,257.45
304.36,211.64,65.45,65.45,337.09,244.36
317.45,211.64,65.45,65.45,350.18,244.36
330.55,211.64,65.45,65.45,363.27,244.36
356.73,185.45,65.45,65.45,389.45,218.18
343.64,172.36,65.45,65.45,376.36,205.09
330.55,159.27,65.45,65.45,363.27,192.00
317.45,159.27,65.45,65.45,350.18,192.00
291.27,172.36,65.45,65.45,324.00,205.09
265.09,317.45,65.45,65.45,297.82,350.18
250.91,317.45,65.45,65.45,283.64,350.18
237.82,330.55,65.45,65.45,270.55,363.27
224.73,356.73,65.45,65.45,257.45,389.45
237.82,356.73,65.45,65.45,270.55,389.45
250.91,330.55,65.45,65.45,283.64,363.27
265.09,330.55,65.45,65.45,297.82,363.27
291.27,317.45,65.45,65.45,324.00,350.18
304.36,330.55,65.45,65.45,337.09,363.27
317.45,356.73,65.45,65.45,350.18,389.45
304.36,343.64,65.45,65.45,337.09,376.36
291.27,330.55,65.45,65.45,324.00,363.27
317.45,384.00,65.45,65.45,350.18,416.73
304.36,384.00,65.45,65.45,337.09,416.73
304.36,410.18,65.45,65.45,337.09,442.91
278.18,397.09,65.45,65.45,310.91,429.82
250.91,410.18,65.45,65.45,283.64,442.91
250.91,384.00,65.45,65.45,283.64,416.73
237.82,384.00,65.45,65.45,270.55,416.73
278.18,410.18,65.45,65.45,310.91,442.91
278.18,476.73,65.45,65.45,310.91,509.45
250.91,462.55,65.45,65.45,283.64,495.27
224.73,436.36,65.45,65.45,257.45,469.09
198.55,397.09,65.45,65.45,231.27,429.82
172.36,370.91,65.45,65.45,205.09,403.64
159.27,330.55,65.45,65.45,192.00,363.27
145.09,291.27,65.45,65.45,177.82,324.00
132.00,250.91,65.45,65.45,164.73,283.64
132.00,211.64,65.45,65.45,164.73,244.36
304.36,462.55,65.45,65.45,337.09,495.27
330.55,436.36,65.45,65.45,363.27,469.09
356.73,410.18,65.45,65.45,389.45,442.91
370.91,370.91,65.45,65.45,403.64,403.64
370.91,343.64,65.45,65.45,403.64,376.36
384.00,317.45,65.45,65.45,416.73,350.18
397.09,278.18,65.45,65.45,429.82,310.91
397.09,250.91,65.45,65.45,429.82,283.64
