49,0
x,y,dx,dy,x_c,y_c
305.45,484.36,20.73,20.73,315.82,494.73
305.45,484.36,20.73,20.73,315.82,494.73
301.09,480.00,20.73,20.73,311.45,490.36
309.82,480.00,20.73,20.73,320.18,490.36
314.18,480.00,20.73,20.73,324.55,490.36
305.45,480.00,20.73,20.73,315.82,490.36
305.45,475.64,20.73,20.73,315.82,486.00
305.45,466.91,20.73,20.73,315.82,477.27
305.45,462.55,20.73,20.73,315.82,472.91
292.36,462.55,20.73,20.73,302.73,472.91
288.00,462.55,20.73,20.73,298.36,472.91
288.00,462.55,20.73,20.73,298.36,472.91
288.00,462.55,20.73,20.73,298.36,472.91
288.00,462.55,20.73,20.73,298.36,472.91
283.64,462.55,20.73,20.73,294.00,472.91
270.55,458.18,20.73,20.73,280.91,468.55
274.91,453.82,20.73,20.73,285.27,464.18
279.27,449.45,20.73,20.73,289.64,459.82
288.00,453.82,20.73,20.73,298.36,464.18
296.73,458.18,20.73,20.73,307.09,468.55
318.55,462.55,20.73,20.73,328.91,472.91
322.91,462.55,20.73,20.73,333.27,472.91
322.91,462.55,20.73,20.73,333.27,472.91
318.55,462.55,20.73,20.73,328.91,472.91
322.91,462.55,20.73,20.73,333.27,472.91
327.27,462.55,20.73,20.73,337.64,472.91
340.36,453.82,20.73,20.73,350.73,464.18
336.00,449.45,20.73,20.73,346.36,459.82
327.27,449.45,20.73,20.73,337.64,459.82
322.91,449.45,20.73,20.73,333.27,459.82
314.18,453.82,20.73,20.73,324.55,464.18
305.45,488.73,20.73,20.73,315.82,499.09
301.09,488.73,20.73,20.73,311.45,499.09
296.73,493.09,20.73,20.73,307.09,503.45
292.36,497.45,20.73,20.73,302.73,507.82
292.36,497.45,20.73,20.73,302.73,507.82
301.09,493.09,20.73,20.73,311.45,503.45
305.45,493.09,20.73,20.73,315.82,503.45
314.18,488.73,20.73,20.73,324.55,499.09
318.55,493.09,20.73,20.73,328.91,503.45
322.91,497.45,20.73,20.73,333.27,507.82
318.55,493.09,20.73,20.73,328.91,503.45
314.18,493.09,20.73,20.73,324.55,503.45
318.55,506.18,20.73,20.73,328.91,516.55
314.18,501.82,20.73,20.73,324.55,512.18
314.18,510.55,20.73,20.73,324.55,520.91
305.45,506.18,20.73,20.73,315.82,516.55
301.09,510.55,20.73,20.73,311.45,520.91
305.45,501.82,20.73,20.73,315.82,512.18
301.09,506.18,20.73,20.73,311.45,516.55
305.45,510.55,20.73,20.73,315.82,520.91
309.82,528.00,20.73,20.73,320.18,538.36
301.09,528.00,20.73,20.73,311.45,538.36
292.36,519.27,20.73,20.73,302.73,529.64
283.64,506.18,20.73,20.73,294.00,516.55
274.91,493.09,20.73,20.73,285.27,503.45
270.55,480.00,20.73,20.73,280.91,490.36
266.18,471.27,20.73,20.73,276.55,481.64
261.82,458.18,20.73,20.73,272.18,468.55
261.82,449.45,20.73,20.73,272.18,459.82
318.55,528.00,20.73,20.73,328.91,538.36
331.64,523.64,20.73,20.73,342.00,534.00
344.73,519.27,20.73,20.73,355.09,529.64
349.09,506.18,20.73,20.73,359.45,516.55
353.45,497.45,20.73,20.73,363.82,507.82
357.82,488.73,20.73,20.73,368.18,499.09
357.82,475.64,20.73,20.73,368.18,486.00
357.82,466.91,20.73,20.73,368.18,477.27
