201,0
x,y,dx,dy,x_c,y_c
267.64,339.02,88.10,88.10,311.69,383.07
249.80,339.02,88.10,88.10,293.85,383.07
231.96,321.17,88.10,88.10,276.01,365.22
285.49,321.17,88.10,88.10,329.54,365.22
303.33,321.17,88.10,88.10,347.38,365.22
267.64,303.33,88.10,88.10,311.69,347.38
267.64,285.49,88.10,88.10,311.69,329.54
267.64,249.80,88.10,88.10,311.69,293.85
267.64,231.96,88.10,88.10,311.69,276.01
214.12,231.96,88.10,88.10,258.17,276.01
196.27,231.96,88.10,88.10,240.32,276.01
196.27,231.96,88.10,88.10,240.32,276.01
196.27,231.96,88.10,88.10,240.32,276.01
196.27,231.96,88.10,88.10,240.32,276.01
178.43,231.96,88.10,88.10,222.48,276.01
142.74,214.12,88.10,88.10,186.79,258.17
160.59,196.27,88.10,88.10,204.64,240.32
178.43,178.43,88.10,88.10,222.48,222.48
214.12,178.43,88.10,88.10,258.17,222.48
231.96,178.43,88.10,88.10,276.01,222.48
303.33,231.96,88.10,88.10,347.38,276.01
321.17,231.96,88.10,88.10,365.22,276.01
339.02,231.96,88.10,88.10,383.07,276.01
321.17,214.12,88.10,88.10,365.22,258.17
339.02,214.12,88.10,88.10,383.07,258.17
356.86,231.96,88.10,88.10,400.91,276.01
392.54,196.27,88.10,88.10,436.59,240.32
374.70,178.43,88.10,88.10,418.75,222.48
339.02,178.43,88.10,88.10,383.07,222.48
321.17,178.43,88.10,88.10,365.22,222.48
285.49,178.43,88.10,88.10,329.54,222.48
267.64,356.86,88.10,88.10,311.69,400.91
249.80,356.86,88.10,88.10,293.85,400.91
231.96,356.86,88.10,88.10,276.01,400.91
214.12,374.70,88.10,88.10,258.17,418.75
214.12,374.70,88.10,88.10,258.17,418.75
249.80,356.86,88.10,88.10,293.85,400.91
267.64,374.70,88.10,88.10,311.69,418.75
303.33,339.02,88.10,88.10,347.38,383.07
321.17,356.86,88.10,88.10,365.22,400.91
339.02,374.70,88.10,88.10,383.07,418.75
321.17,374.70,88.10,88.10,365.22,418.75
321.17,374.70,88.10,88.10,365.22,418.75
321.17,392.54,88.10,88.10,365.22,436.59
303.33,374.70,88.10,88.10,347.38,418.75
303.33,410.39,88.10,88.10,347.38,454.44
267.64,392.54,88.10,88.10,311.69,436.59
231.96,410.39,88.10,88.10,276.01,454.44
231.96,374.70,88.10,88.10,276.01,418.75
214.12,392.54,88.10,88.10,258.17,436.59
285.49,410.39,88.10,88.10,329.54,454.44
303.33,499.60,88.10,88.10,347.38,543.65
267.64,481.76,88.10,88.10,311.69,525.81
231.96,463.92,88.10,88.10,276.01,507.97
196.27,428.23,88.10,88.10,240.32,472.28
160.59,410.39,88.10,88.10,204.64,454.44
142.74,374.70,88.10,88.10,186.79,418.75
142.74,339.02,88.10,88.10,186.79,383.07
124.90,285.49,88.10,88.10,168.95,329.54
124.90,231.96,88.10,88.10,168.95,276.01
339.02,481.76,88.10,88.10,383.07,525.81
374.70,446.07,88.10,88.10,418.75,490.12
410.39,410.39,88.10,88.10,454.44,454.44
428.23,356.86,88.10,88.10,472.28,400.91
428.23,321.17,88.10,88.10,472.28,365.22
428.23,285.49,88.10,88.10,472.28,329.54
446.07,231.96,88.10,88.10,490.12,276.01
446.07,196.27,88.10,88.10,490.12,240.32
