97,-15
x,y,dx,dy,x_c,y_c
291.27,304.36,65.45,65.45,324.00,337.09
265.09,304.36,65.45,65.45,297.82,337.09
250.91,304.36,65.45,65.45,283.64,337.09
304.36,304.36,65.45,65.45,337.09,337.09
304.36,304.36,65.45,65.45,337.09,337.09
291.27,278.18,65.45,65.45,324.00,310.91
291.27,265.09,65.45,65.45,324.00,297.82
291.27,237.82,65.45,65.45,324.00,270.55
291.27,224.73,65.45,65.45,324.00,257.45
250.91,211.64,65.45,65.45,283.64,244.36
237.82,211.64,65.45,65.45,270.55,244.36
224.73,211.64,65.45,65.45,257.45,244.36
237.82,198.55,65.45,65.45,270.55,231.27
224.73,198.55,65.45,65.45,257.45,231.27
211.64,211.64,65.45,65.45,244.36,244.36
172.36,185.45,65.45,65.45,205.09,218.18
198.55,172.36,65.45,65.45,231.27,205.09
211.64,172.36,65.45,65.45,244.36,205.09
237.82,185.45,65.45,65.45,270.55,218.18
265.09,198.55,65.45,65.45,297.82,231.27
317.45,224.73,65.45,65.45,350.18,257.45
330.55,224.73,65.45,65.45,363.27,257.45
343.64,224.73,65.45,65.45,376.36,257.45
330.55,224.73,65.45,65.45,363.27,257.45
330.55,224.73,65.45,65.45,363.27,257.45
343.64,224.73,65.45,65.45,376.36,257.45
370.91,211.64,65.45,65.45,403.64,244.36
356.73,198.55,65.45,65.45,389.45,231.27
343.64,198.55,65.45,65.45,376.36,231.27
330.55,198.55,65.45,65.45,363.27,231.27
317.45,198.55,65.45,65.45,350.18,231.27
291.27,330.55,65.45,65.45,324.00,363.27
250.91,317.45,65.45,65.45,283.64,350.18
224.73,317.45,65.45,65.45,257.45,350.18
211.64,330.55,65.45,65.45,244.36,363.27
224.73,330.55,65.45,65.45,257.45,363.27
250.91,330.55,65.45,65.45,283.64,363.27
291.27,343.64,65.45,65.45,324.00,376.36
304.36,330.55,65.45,65.45,337.09,363.27
317.45,330.55,65.45,65.45,350.18,363.27
317.45,343.64,65.45,65.45,350.18,376.36
317.45,343.64,65.45,65.45,350.18,376.36
304.36,343.64,65.45,65.45,337.09,376.36
304.36,356.73,65.45,65.45,337.09,389.45
291.27,343.64,65.45,65.45,324.00,376.36
278.18,370.91,65.45,65.45,310.91,403.64
265.09,356.73,65.45,65.45,297.82,389.45
237.82,370.91,65.45,65.45,270.55,403.64
237.82,356.73,65.45,65.45,270.55,389.45
211.64,370.91,65.45,65.45,244.36,403.64
265.09,370.91,65.45,65.45,297.82,403.64
265.09,449.45,65.45,65.45,297.82,482.18
224.73,449.45,65.45,65.45,257.45,482.18
198.55,436.36,65.45,65.45,231.27,469.09
159.27,423.27,65.45,65.45,192.00,456.00
105.82,397.09,65.45,65.45,138.55,429.82
79.64,356.73,65.45,65.45,112.36,389.45
53.45,317.45,65.45,65.45,86.18,350.18
39.27,278.18,65.45,65.45,72.00,310.91
39.27,237.82,65.45,65.45,72.00,270.55
291.27,449.45,65.45,65.45,324.00,482.18
317.45,423.27,65.45,65.45,350.18,456.00
343.64,397.09,65.45,65.45,376.36,429.82
356.73,370.91,65.45,65.45,389.45,403.64
356.73,343.64,65.45,65.45,389.45,376.36
384.00,317.45,65.45,65.45,416.73,350.18
397.09,291.27,65.45,65.45,429.82,324.00
397.09,265.09,65.45,65.45,429.82,297.82
