54,-15
x,y,dx,dy,x_c,y_c
244.36,296.73,86.18,86.18,287.45,339.82
226.91,296.73,86.18,86.18,270.00,339.82
209.45,296.73,86.18,86.18,252.55,339.82
261.82,296.73,86.18,86.18,304.91,339.82
261.82,296.73,86.18,86.18,304.91,339.82
244.36,261.82,86.18,86.18,287.45,304.91
244.36,226.91,86.18,86.18,287.45,270.00
244.36,192.00,86.18,86.18,287.45,235.09
244.36,174.55,86.18,86.18,287.45,217.64
174.55,157.09,86.18,86.18,217.64,200.18
157.09,157.09,86.18,86.18,200.18,200.18
139.64,157.09,86.18,86.18,182.73,200.18
157.09,139.64,86.18,86.18,200.18,182.73
139.64,139.64,86.18,86.18,182.73,182.73
122.18,157.09,86.18,86.18,165.27,200.18
69.82,104.73,86.18,86.18,112.91,147.82
104.73,69.82,86.18,86.18,147.82,112.91
139.64,52.36,86.18,86.18,182.73,95.45
174.55,69.82,86.18,86.18,217.64,112.91
209.45,69.82,86.18,86.18,252.55,112.91
296.73,192.00,86.18,86.18,339.82,235.09
314.18,192.00,86.18,86.18,357.27,235.09
331.64,192.00,86.18,86.18,374.73,235.09
314.18,174.55,86.18,86.18,357.27,217.64
314.18,174.55,86.18,86.18,357.27,217.64
331.64,192.00,86.18,86.18,374.73,235.09
366.55,174.55,86.18,86.18,409.64,217.64
349.09,157.09,86.18,86.18,392.18,200.18
331.64,157.09,86.18,86.18,374.73,200.18
314.18,157.09,86.18,86.18,357.27,200.18
296.73,157.09,86.18,86.18,339.82,200.18
244.36,331.64,86.18,86.18,287.45,374.73
209.45,314.18,86.18,86.18,252.55,357.27
192.00,314.18,86.18,86.18,235.09,357.27
174.55,331.64,86.18,86.18,217.64,374.73
209.45,349.09,86.18,86.18,252.55,392.18
209.45,331.64,86.18,86.18,252.55,374.73
244.36,349.09,86.18,86.18,287.45,392.18
244.36,331.64,86.18,86.18,287.45,374.73
261.82,331.64,86.18,86.18,304.91,374.73
279.27,349.09,86.18,86.18,322.36,392.18
261.82,349.09,86.18,86.18,304.91,392.18
244.36,349.09,86.18,86.18,287.45,392.18
279.27,366.55,86.18,86.18,322.36,409.64
261.82,349.09,86.18,86.18,304.91,392.18
261.82,366.55,86.18,86.18,304.91,409.64
261.82,349.09,86.18,86.18,304.91,392.18
226.91,366.55,86.18,86.18,270.00,409.64
226.91,349.09,86.18,86.18,270.00,392.18
192.00,366.55,86.18,86.18,235.09,409.64
261.82,366.55,86.18,86.18,304.91,409.64
261.82,471.27,86.18,86.18,304.91,514.36
209.45,453.82,86.18,86.18,252.55,496.91
157.09,436.36,86.18,86.18,200.18,479.45
104.73,401.45,86.18,86.18,147.82,444.55
52.36,366.55,86.18,86.18,95.45,409.64
34.91,314.18,86.18,86.18,78.00,357.27
17.45,261.82,86.18,86.18,60.55,304.91
17.45,209.45,86.18,86.18,60.55,252.55
17.45,157.09,86.18,86.18,60.55,200.18
296.73,453.82,86.18,86.18,339.82,496.91
331.64,418.91,86.18,86.18,374.73,462.00
366.55,384.00,86.18,86.18,409.64,427.09
384.00,349.09,86.18,86.18,427.09,392.18
384.00,314.18,86.18,86.18,427.09,357.27
384.00,261.82,86.18,86.18,427.09,304.91
384.00,209.45,86.18,86.18,427.09,252.55
384.00,174.55,86.18,86.18,427.09,217.64
