131,0
x,y,dx,dy,x_c,y_c
298.04,368.17,86.56,86.56,341.33,411.46
280.51,368.17,86.56,86.56,323.79,411.46
262.98,368.17,86.56,86.56,306.26,411.46
315.58,350.64,86.56,86.56,358.86,393.92
333.11,350.64,86.56,86.56,376.39,393.92
298.04,333.11,86.56,86.56,341.33,376.39
298.04,315.58,86.56,86.56,341.33,358.86
298.04,280.51,86.56,86.56,341.33,323.79
298.04,262.98,86.56,86.56,341.33,306.26
245.45,262.98,86.56,86.56,288.73,306.26
245.45,262.98,86.56,86.56,288.73,306.26
227.92,262.98,86.56,86.56,271.20,306.26
227.92,245.45,86.56,86.56,271.20,288.73
227.92,245.45,86.56,86.56,271.20,288.73
210.38,262.98,86.56,86.56,253.67,306.26
175.32,227.92,86.56,86.56,218.60,271.20
192.85,210.38,86.56,86.56,236.13,253.67
210.38,210.38,86.56,86.56,253.67,253.67
245.45,210.38,86.56,86.56,288.73,253.67
262.98,227.92,86.56,86.56,306.26,271.20
350.64,262.98,86.56,86.56,393.92,306.26
368.17,262.98,86.56,86.56,411.46,306.26
385.71,262.98,86.56,86.56,428.99,306.26
368.17,245.45,86.56,86.56,411.46,288.73
385.71,245.45,86.56,86.56,428.99,288.73
403.24,245.45,86.56,86.56,446.52,288.73
438.30,210.38,86.56,86.56,481.58,253.67
420.77,210.38,86.56,86.56,464.05,253.67
385.71,210.38,86.56,86.56,428.99,253.67
368.17,210.38,86.56,86.56,411.46,253.67
333.11,210.38,86.56,86.56,376.39,253.67
298.04,385.71,86.56,86.56,341.33,428.99
262.98,385.71,86.56,86.56,306.26,428.99
245.45,385.71,86.56,86.56,288.73,428.99
227.92,403.24,86.56,86.56,271.20,446.52
245.45,403.24,86.56,86.56,288.73,446.52
262.98,385.71,86.56,86.56,306.26,428.99
298.04,403.24,86.56,86.56,341.33,446.52
333.11,385.71,86.56,86.56,376.39,428.99
368.17,385.71,86.56,86.56,411.46,428.99
385.71,403.24,86.56,86.56,428.99,446.52
385.71,403.24,86.56,86.56,428.99,446.52
333.11,403.24,86.56,86.56,376.39,446.52
368.17,420.77,86.56,86.56,411.46,464.05
333.11,403.24,86.56,86.56,376.39,446.52
333.11,438.30,86.56,86.56,376.39,481.58
298.04,420.77,86.56,86.56,341.33,464.05
262.98,438.30,86.56,86.56,306.26,481.58
262.98,403.24,86.56,86.56,306.26,446.52
245.45,420.77,86.56,86.56,288.73,464.05
298.04,438.30,86.56,86.56,341.33,481.58
298.04,525.96,86.56,86.56,341.33,569.24
262.98,508.43,86.56,86.56,306.26,551.71
227.92,490.90,86.56,86.56,271.20,534.18
192.85,473.37,86.56,86.56,236.13,516.65
175.32,455.83,86.56,86.56,218.60,499.12
157.79,420.77,86.56,86.56,201.07,464.05
157.79,385.71,86.56,86.56,201.07,428.99
157.79,333.11,86.56,86.56,201.07,376.39
157.79,280.51,86.56,86.56,201.07,323.79
333.11,525.96,86.56,86.56,376.39,569.24
368.17,508.43,86.56,86.56,411.46,551.71
403.24,490.90,86.56,86.56,446.52,534.18
420.77,455.83,86.56,86.56,464.05,499.12
438.30,438.30,86.56,86.56,481.58,481.58
438.30,403.24,86.56,86.56,481.58,446.52
438.30,350.64,86.56,86.56,481.58,393.92
438.30,298.04,86.56,86.56,481.58,341.33
