134,30
x,y,dx,dy,x_c,y_c
153.65,306.10,127.04,127.04,217.17,369.62
153.65,306.10,127.04,127.04,217.17,369.62
128.25,306.10,127.04,127.04,191.77,369.62
179.06,306.10,127.04,127.04,242.58,369.62
204.47,306.10,127.04,127.04,267.99,369.62
128.25,229.88,127.04,127.04,191.77,293.40
153.65,204.47,127.04,127.04,217.17,267.99
179.06,153.65,127.04,127.04,242.58,217.17
179.06,128.25,127.04,127.04,242.58,191.77
101.63,128.25,127.04,127.04,165.15,191.77
76.22,128.25,127.04,127.04,139.74,191.77
76.22,128.25,127.04,127.04,139.74,191.77
76.22,128.25,127.04,127.04,139.74,191.77
76.22,128.25,127.04,127.04,139.74,191.77
50.81,128.25,127.04,127.04,114.33,191.77
25.41,25.41,127.04,127.04,88.93,88.93
25.41,25.41,127.04,127.04,88.93,88.93
25.41,0.00,127.04,127.04,88.93,63.52
50.81,0.00,127.04,127.04,114.33,63.52
76.22,0.00,127.04,127.04,139.74,63.52
255.28,128.25,127.04,127.04,318.80,191.77
280.69,153.65,127.04,127.04,344.21,217.17
306.10,153.65,127.04,127.04,369.62,217.17
280.69,128.25,127.04,127.04,344.21,191.77
306.10,128.25,127.04,127.04,369.62,191.77
331.51,128.25,127.04,127.04,395.02,191.77
408.94,50.81,127.04,127.04,472.46,114.33
383.53,25.41,127.04,127.04,447.05,88.93
331.51,0.00,127.04,127.04,395.02,63.52
280.69,0.00,127.04,127.04,344.21,63.52
229.88,0.00,127.04,127.04,293.40,63.52
153.65,358.12,127.04,127.04,217.17,421.64
128.25,358.12,127.04,127.04,191.77,421.64
101.63,358.12,127.04,127.04,165.15,421.64
101.63,383.53,127.04,127.04,165.15,447.05
101.63,358.12,127.04,127.04,165.15,421.64
128.25,358.12,127.04,127.04,191.77,421.64
153.65,358.12,127.04,127.04,217.17,421.64
204.47,358.12,127.04,127.04,267.99,421.64
255.28,358.12,127.04,127.04,318.80,421.64
280.69,358.12,127.04,127.04,344.21,421.64
229.88,358.12,127.04,127.04,293.40,421.64
204.47,358.12,127.04,127.04,267.99,421.64
255.28,383.53,127.04,127.04,318.80,447.05
204.47,358.12,127.04,127.04,267.99,421.64
204.47,383.53,127.04,127.04,267.99,447.05
153.65,358.12,127.04,127.04,217.17,421.64
101.63,383.53,127.04,127.04,165.15,447.05
128.25,358.12,127.04,127.04,191.77,421.64
101.63,383.53,127.04,127.04,165.15,447.05
153.65,383.53,127.04,127.04,217.17,447.05
153.65,510.57,127.04,127.04,217.17,574.09
128.25,485.16,127.04,127.04,191.77,548.68
76.22,434.35,127.04,127.04,139.74,497.86
76.22,383.53,127.04,127.04,139.74,447.05
25.41,331.51,127.04,127.04,88.93,395.02
25.41,280.69,127.04,127.04,88.93,344.21
25.41,229.88,127.04,127.04,88.93,293.40
25.41,204.47,127.04,127.04,88.93,267.99
25.41,179.06,127.04,127.04,88.93,242.58
204.47,485.16,127.04,127.04,267.99,548.68
280.69,459.75,127.04,127.04,344.21,523.27
331.51,434.35,127.04,127.04,395.02,497.86
383.53,383.53,127.04,127.04,447.05,447.05
408.94,331.51,127.04,127.04,472.46,395.02
434.35,280.69,127.04,127.04,497.86,344.21
459.75,204.47,127.04,127.04,523.27,267.99
459.75,153.65,127.04,127.04,523.27,217.17
