40,-45
x,y,dx,dy,x_c,y_c
181.00,174.00,34.00,34.00,198.00,191.00
174.00,174.00,34.00,34.00,191.00,191.00
174.00,174.00,34.00,34.00,191.00,191.00
181.00,174.00,34.00,34.00,198.00,191.00
188.00,174.00,34.00,34.00,205.00,191.00
188.00,160.00,34.00,34.00,205.00,177.00
188.00,146.00,34.00,34.00,205.00,163.00
181.00,132.00,34.00,34.00,198.00,149.00
174.00,118.00,34.00,34.00,191.00,135.00
153.00,118.00,34.00,34.00,170.00,135.00
146.00,118.00,34.00,34.00,163.00,135.00
139.00,118.00,34.00,34.00,156.00,135.00
146.00,111.00,34.00,34.00,163.00,128.00
139.00,111.00,34.00,34.00,156.00,128.00
132.00,111.00,34.00,34.00,149.00,128.00
111.00,98.00,34.00,34.00,128.00,115.00
118.00,91.00,34.00,34.00,135.00,108.00
132.00,91.00,34.00,34.00,149.00,108.00
139.00,98.00,34.00,34.00,156.00,115.00
153.00,104.00,34.00,34.00,170.00,121.00
188.00,118.00,34.00,34.00,205.00,135.00
195.00,125.00,34.00,34.00,212.00,142.00
202.00,118.00,34.00,34.00,219.00,135.00
195.00,111.00,34.00,34.00,212.00,128.00
202.00,111.00,34.00,34.00,219.00,128.00
209.00,118.00,34.00,34.00,226.00,135.00
216.00,104.00,34.00,34.00,233.00,121.00
216.00,104.00,34.00,34.00,233.00,121.00
209.00,104.00,34.00,34.00,226.00,121.00
202.00,104.00,34.00,34.00,219.00,121.00
195.00,104.00,34.00,34.00,212.00,121.00
181.00,188.00,34.00,34.00,198.00,205.00
174.00,188.00,34.00,34.00,191.00,205.00
167.00,188.00,34.00,34.00,184.00,205.00
160.00,195.00,34.00,34.00,177.00,212.00
174.00,195.00,34.00,34.00,191.00,212.00
174.00,195.00,34.00,34.00,191.00,212.00
181.00,195.00,34.00,34.00,198.00,212.00
188.00,181.00,34.00,34.00,205.00,198.00
188.00,188.00,34.00,34.00,205.00,205.00
188.00,195.00,34.00,34.00,205.00,212.00
188.00,188.00,34.00,34.00,205.00,205.00
188.00,188.00,34.00,34.00,205.00,205.00
188.00,202.00,34.00,34.00,205.00,219.00
181.00,188.00,34.00,34.00,198.00,205.00
181.00,202.00,34.00,34.00,198.00,219.00
174.00,195.00,34.00,34.00,191.00,212.00
167.00,202.00,34.00,34.00,184.00,219.00
174.00,195.00,34.00,34.00,191.00,212.00
167.00,202.00,34.00,34.00,184.00,219.00
174.00,202.00,34.00,34.00,191.00,219.00
181.00,244.00,34.00,34.00,198.00,261.00
160.00,244.00,34.00,34.00,177.00,261.00
139.00,237.00,34.00,34.00,156.00,254.00
111.00,230.00,34.00,34.00,128.00,247.00
91.00,223.00,34.00,34.00,108.00,240.00
70.00,209.00,34.00,34.00,87.00,226.00
63.00,188.00,34.00,34.00,80.00,205.00
56.00,167.00,34.00,34.00,73.00,184.00
49.00,146.00,34.00,34.00,66.00,163.00
188.00,237.00,34.00,34.00,205.00,254.00
188.00,223.00,34.00,34.00,205.00,240.00
195.00,209.00,34.00,34.00,212.00,226.00
202.00,195.00,34.00,34.00,219.00,212.00
209.00,181.00,34.00,34.00,226.00,198.00
209.00,167.00,34.00,34.00,226.00,184.00
202.00,153.00,34.00,34.00,219.00,170.00
195.00,139.00,34.00,34.00,212.00,156.00
