62,30
x,y,dx,dy,x_c,y_c
147.00,184.00,45.00,45.00,169.50,206.50
138.00,184.00,45.00,45.00,160.50,206.50
129.00,184.00,45.00,45.00,151.50,206.50
156.00,184.00,45.00,45.00,178.50,206.50
165.00,184.00,45.00,45.00,187.50,206.50
147.00,165.00,45.00,45.00,169.50,187.50
156.00,156.00,45.00,45.00,178.50,178.50
165.00,138.00,45.00,45.00,187.50,160.50
165.00,129.00,45.00,45.00,187.50,151.50
147.00,129.00,45.00,45.00,169.50,151.50
147.00,129.00,45.00,45.00,169.50,151.50
138.00,129.00,45.00,45.00,160.50,151.50
138.00,129.00,45.00,45.00,160.50,151.50
138.00,129.00,45.00,45.00,160.50,151.50
129.00,138.00,45.00,45.00,151.50,160.50
119.00,110.00,45.00,45.00,141.50,132.50
119.00,110.00,45.00,45.00,141.50,132.50
129.00,101.00,45.00,45.00,151.50,123.50
138.00,110.00,45.00,45.00,160.50,132.50
147.00,110.00,45.00,45.00,169.50,132.50
193.00,129.00,45.00,45.00,215.50,151.50
193.00,138.00,45.00,45.00,215.50,160.50
202.00,138.00,45.00,45.00,224.50,160.50
193.00,129.00,45.00,45.00,215.50,151.50
202.00,129.00,45.00,45.00,224.50,151.50
202.00,138.00,45.00,45.00,224.50,160.50
230.00,129.00,45.00,45.00,252.50,151.50
221.00,119.00,45.00,45.00,243.50,141.50
202.00,110.00,45.00,45.00,224.50,132.50
193.00,110.00,45.00,45.00,215.50,132.50
175.00,110.00,45.00,45.00,197.50,132.50
147.00,193.00,45.00,45.00,169.50,215.50
138.00,193.00,45.00,45.00,160.50,215.50
119.00,193.00,45.00,45.00,141.50,215.50
119.00,202.00,45.00,45.00,141.50,224.50
119.00,202.00,45.00,45.00,141.50,224.50
138.00,202.00,45.00,45.00,160.50,224.50
147.00,202.00,45.00,45.00,169.50,224.50
156.00,193.00,45.00,45.00,178.50,215.50
175.00,193.00,45.00,45.00,197.50,215.50
184.00,193.00,45.00,45.00,206.50,215.50
175.00,202.00,45.00,45.00,197.50,224.50
147.00,202.00,45.00,45.00,169.50,224.50
175.00,211.00,45.00,45.00,197.50,233.50
156.00,202.00,45.00,45.00,178.50,224.50
156.00,221.00,45.00,45.00,178.50,243.50
138.00,211.00,45.00,45.00,160.50,233.50
129.00,221.00,45.00,45.00,151.50,243.50
129.00,211.00,45.00,45.00,151.50,233.50
119.00,221.00,45.00,45.00,141.50,243.50
138.00,230.00,45.00,45.00,160.50,252.50
138.00,276.00,45.00,45.00,160.50,298.50
129.00,266.00,45.00,45.00,151.50,288.50
119.00,257.00,45.00,45.00,141.50,279.50
119.00,239.00,45.00,45.00,141.50,261.50
101.00,221.00,45.00,45.00,123.50,243.50
101.00,202.00,45.00,45.00,123.50,224.50
101.00,184.00,45.00,45.00,123.50,206.50
101.00,165.00,45.00,45.00,123.50,187.50
101.00,156.00,45.00,45.00,123.50,178.50
156.00,276.00,45.00,45.00,178.50,298.50
184.00,266.00,45.00,45.00,206.50,288.50
211.00,257.00,45.00,45.00,233.50,279.50
230.00,239.00,45.00,45.00,252.50,261.50
239.00,230.00,45.00,45.00,261.50,252.50
248.00,211.00,45.00,45.00,270.50,233.50
248.00,184.00,45.00,45.00,270.50,206.50
257.00,165.00,45.00,45.00,279.50,187.50
