70,0
x,y,dx,dy,x_c,y_c
148.00,158.00,52.00,52.00,174.00,184.00
137.00,158.00,52.00,52.00,163.00,184.00
127.00,158.00,52.00,52.00,153.00,184.00
158.00,158.00,52.00,52.00,184.00,184.00
169.00,158.00,52.00,52.00,195.00,184.00
148.00,137.00,52.00,52.00,174.00,163.00
148.00,127.00,52.00,52.00,174.00,153.00
148.00,106.00,52.00,52.00,174.00,132.00
148.00,95.00,52.00,52.00,174.00,121.00
116.00,95.00,52.00,52.00,142.00,121.00
116.00,106.00,52.00,52.00,142.00,132.00
116.00,106.00,52.00,52.00,142.00,132.00
106.00,95.00,52.00,52.00,132.00,121.00
106.00,95.00,52.00,52.00,132.00,121.00
95.00,106.00,52.00,52.00,121.00,132.00
74.00,95.00,52.00,52.00,100.00,121.00
84.00,84.00,52.00,52.00,110.00,110.00
95.00,74.00,52.00,52.00,121.00,100.00
116.00,74.00,52.00,52.00,142.00,100.00
127.00,84.00,52.00,52.00,153.00,110.00
169.00,95.00,52.00,52.00,195.00,121.00
179.00,95.00,52.00,52.00,205.00,121.00
179.00,95.00,52.00,52.00,205.00,121.00
169.00,95.00,52.00,52.00,195.00,121.00
179.00,95.00,52.00,52.00,205.00,121.00
190.00,95.00,52.00,52.00,216.00,121.00
211.00,74.00,52.00,52.00,237.00,100.00
201.00,74.00,52.00,52.00,227.00,100.00
179.00,74.00,52.00,52.00,205.00,100.00
169.00,74.00,52.00,52.00,195.00,100.00
158.00,74.00,52.00,52.00,184.00,100.00
148.00,169.00,52.00,52.00,174.00,195.00
127.00,169.00,52.00,52.00,153.00,195.00
116.00,179.00,52.00,52.00,142.00,205.00
106.00,190.00,52.00,52.00,132.00,216.00
116.00,190.00,52.00,52.00,142.00,216.00
127.00,179.00,52.00,52.00,153.00,205.00
148.00,179.00,52.00,52.00,174.00,205.00
169.00,158.00,52.00,52.00,195.00,184.00
190.00,169.00,52.00,52.00,216.00,195.00
201.00,169.00,52.00,52.00,227.00,195.00
201.00,179.00,52.00,52.00,227.00,205.00
169.00,179.00,52.00,52.00,195.00,205.00
201.00,190.00,52.00,52.00,227.00,216.00
190.00,179.00,52.00,52.00,216.00,205.00
190.00,201.00,52.00,52.00,216.00,227.00
158.00,190.00,52.00,52.00,184.00,216.00
127.00,201.00,52.00,52.00,153.00,227.00
127.00,179.00,52.00,52.00,153.00,205.00
116.00,190.00,52.00,52.00,142.00,216.00
158.00,201.00,52.00,52.00,184.00,227.00
158.00,253.00,52.00,52.00,184.00,279.00
127.00,243.00,52.00,52.00,153.00,269.00
106.00,232.00,52.00,52.00,132.00,258.00
84.00,211.00,52.00,52.00,110.00,237.00
74.00,190.00,52.00,52.00,100.00,216.00
63.00,158.00,52.00,52.00,89.00,184.00
63.00,137.00,52.00,52.00,89.00,163.00
53.00,106.00,52.00,52.00,79.00,132.00
53.00,74.00,52.00,52.00,79.00,100.00
179.00,243.00,52.00,52.00,205.00,269.00
201.00,232.00,52.00,52.00,227.00,258.00
222.00,211.00,52.00,52.00,248.00,237.00
232.00,179.00,52.00,52.00,258.00,205.00
243.00,158.00,52.00,52.00,269.00,184.00
253.00,137.00,52.00,52.00,279.00,163.00
253.00,106.00,52.00,52.00,279.00,132.00
253.00,74.00,52.00,52.00,279.00,100.00
