142,0
x,y,dx,dy,x_c,y_c
169.00,211.00,52.00,52.00,195.00,237.00
158.00,211.00,52.00,52.00,184.00,237.00
148.00,211.00,52.00,52.00,174.00,237.00
179.00,211.00,52.00,52.00,205.00,237.00
190.00,211.00,52.00,52.00,216.00,237.00
169.00,190.00,52.00,52.00,195.00,216.00
169.00,169.00,52.00,52.00,195.00,195.00
169.00,148.00,52.00,52.00,195.00,174.00
169.00,137.00,52.00,52.00,195.00,163.00
137.00,148.00,52.00,52.00,163.00,174.00
127.00,148.00,52.00,52.00,153.00,174.00
127.00,148.00,52.00,52.00,153.00,174.00
127.00,137.00,52.00,52.00,153.00,163.00
127.00,137.00,52.00,52.00,153.00,163.00
116.00,137.00,52.00,52.00,142.00,163.00
95.00,116.00,52.00,52.00,121.00,142.00
106.00,106.00,52.00,52.00,132.00,132.00
116.00,106.00,52.00,52.00,142.00,132.00
137.00,106.00,52.00,52.00,163.00,132.00
148.00,106.00,52.00,52.00,174.00,132.00
201.00,148.00,52.00,52.00,227.00,174.00
211.00,148.00,52.00,52.00,237.00,174.00
222.00,148.00,52.00,52.00,248.00,174.00
211.00,137.00,52.00,52.00,237.00,163.00
222.00,137.00,52.00,52.00,248.00,163.00
232.00,148.00,52.00,52.00,258.00,174.00
264.00,137.00,52.00,52.00,290.00,163.00
253.00,137.00,52.00,52.00,279.00,163.00
232.00,137.00,52.00,52.00,258.00,163.00
222.00,137.00,52.00,52.00,248.00,163.00
201.00,148.00,52.00,52.00,227.00,174.00
169.00,232.00,52.00,52.00,195.00,258.00
158.00,232.00,52.00,52.00,184.00,258.00
148.00,232.00,52.00,52.00,174.00,258.00
137.00,243.00,52.00,52.00,163.00,269.00
137.00,243.00,52.00,52.00,163.00,269.00
148.00,232.00,52.00,52.00,174.00,258.00
169.00,243.00,52.00,52.00,195.00,269.00
190.00,222.00,52.00,52.00,216.00,248.00
201.00,232.00,52.00,52.00,227.00,258.00
211.00,243.00,52.00,52.00,237.00,269.00
211.00,243.00,52.00,52.00,237.00,269.00
190.00,243.00,52.00,52.00,216.00,269.00
201.00,264.00,52.00,52.00,227.00,290.00
190.00,253.00,52.00,52.00,216.00,279.00
190.00,274.00,52.00,52.00,216.00,300.00
169.00,264.00,52.00,52.00,195.00,290.00
148.00,274.00,52.00,52.00,174.00,300.00
148.00,253.00,52.00,52.00,174.00,279.00
137.00,253.00,52.00,52.00,163.00,279.00
169.00,274.00,52.00,52.00,195.00,300.00
179.00,327.00,52.00,52.00,205.00,353.00
148.00,317.00,52.00,52.00,174.00,343.00
127.00,296.00,52.00,52.00,153.00,322.00
106.00,274.00,52.00,52.00,132.00,300.00
95.00,253.00,52.00,52.00,121.00,279.00
84.00,222.00,52.00,52.00,110.00,248.00
74.00,201.00,52.00,52.00,100.00,227.00
63.00,169.00,52.00,52.00,89.00,195.00
63.00,137.00,52.00,52.00,89.00,163.00
201.00,317.00,52.00,52.00,227.00,343.00
222.00,296.00,52.00,52.00,248.00,322.00
253.00,274.00,52.00,52.00,279.00,300.00
264.00,243.00,52.00,52.00,290.00,269.00
274.00,222.00,52.00,52.00,300.00,248.00
285.00,201.00,52.00,52.00,311.00,227.00
296.00,169.00,52.00,52.00,322.00,195.00
296.00,137.00,52.00,52.00,322.00,163.00
