94,30
x,y,dx,dy,x_c,y_c
74.00,96.00,22.00,22.00,85.00,107.00
74.00,96.00,22.00,22.00,85.00,107.00
69.00,96.00,22.00,22.00,80.00,107.00
78.00,96.00,22.00,22.00,89.00,107.00
83.00,92.00,22.00,22.00,94.00,103.00
69.00,87.00,22.00,22.00,80.00,98.00
69.00,78.00,22.00,22.00,80.00,89.00
74.00,69.00,22.00,22.00,85.00,80.00
74.00,64.00,22.00,22.00,85.00,75.00
64.00,64.00,22.00,22.00,75.00,75.00
64.00,64.00,22.00,22.00,75.00,75.00
60.00,64.00,22.00,22.00,71.00,75.00
60.00,64.00,22.00,22.00,71.00,75.00
60.00,64.00,22.00,22.00,71.00,75.00
55.00,69.00,22.00,22.00,66.00,80.00
51.00,60.00,22.00,22.00,62.00,71.00
51.00,60.00,22.00,22.00,62.00,71.00
51.00,55.00,22.00,22.00,62.00,66.00
55.00,55.00,22.00,22.00,66.00,66.00
55.00,55.00,22.00,22.00,66.00,66.00
87.00,64.00,22.00,22.00,98.00,75.00
92.00,64.00,22.00,22.00,103.00,75.00
92.00,64.00,22.00,22.00,103.00,75.00
92.00,60.00,22.00,22.00,103.00,71.00
96.00,60.00,22.00,22.00,107.00,71.00
101.00,60.00,22.00,22.00,112.00,71.00
115.00,46.00,22.00,22.00,126.00,57.00
106.00,41.00,22.00,22.00,117.00,52.00
96.00,41.00,22.00,22.00,107.00,52.00
87.00,41.00,22.00,22.00,98.00,52.00
78.00,41.00,22.00,22.00,89.00,52.00
74.00,101.00,22.00,22.00,85.00,112.00
69.00,101.00,22.00,22.00,80.00,112.00
69.00,101.00,22.00,22.00,80.00,112.00
69.00,106.00,22.00,22.00,80.00,117.00
69.00,101.00,22.00,22.00,80.00,112.00
69.00,101.00,22.00,22.00,80.00,112.00
74.00,106.00,22.00,22.00,85.00,117.00
83.00,96.00,22.00,22.00,94.00,107.00
92.00,96.00,22.00,22.00,103.00,107.00
96.00,101.00,22.00,22.00,107.00,112.00
87.00,101.00,22.00,22.00,98.00,112.00
78.00,101.00,22.00,22.00,89.00,112.00
92.00,110.00,22.00,22.00,103.00,121.00
83.00,106.00,22.00,22.00,94.00,117.00
87.00,115.00,22.00,22.00,98.00,126.00
78.00,106.00,22.00,22.00,89.00,117.00
69.00,110.00,22.00,22.00,80.00,121.00
69.00,106.00,22.00,22.00,80.00,117.00
69.00,110.00,22.00,22.00,80.00,121.00
78.00,115.00,22.00,22.00,89.00,126.00
78.00,142.00,22.00,22.00,89.00,153.00
74.00,138.00,22.00,22.00,85.00,149.00
69.00,129.00,22.00,22.00,80.00,140.00
69.00,119.00,22.00,22.00,80.00,130.00
64.00,110.00,22.00,22.00,75.00,121.00
64.00,101.00,22.00,22.00,75.00,112.00
64.00,92.00,22.00,22.00,75.00,103.00
64.00,83.00,22.00,22.00,75.00,94.00
64.00,78.00,22.00,22.00,75.00,89.00
87.00,138.00,22.00,22.00,98.00,149.00
101.00,133.00,22.00,22.00,112.00,144.00
115.00,124.00,22.00,22.00,126.00,135.00
124.00,115.00,22.00,22.00,135.00,126.00
133.00,106.00,22.00,22.00,144.00,117.00
138.00,96.00,22.00,22.00,149.00,107.00
142.00,83.00,22.00,22.00,153.00,94.00
147.00,74.00,22.00,22.00,158.00,85.00
