128,-15
x,y,dx,dy,x_c,y_c
267.17,281.28,69.56,69.56,301.95,316.06
253.05,281.28,69.56,69.56,287.84,316.06
238.94,281.28,69.56,69.56,273.72,316.06
281.28,281.28,69.56,69.56,316.06,316.06
295.40,281.28,69.56,69.56,330.18,316.06
267.17,253.05,69.56,69.56,301.95,287.84
267.17,238.94,69.56,69.56,301.95,273.72
267.17,210.71,69.56,69.56,301.95,245.49
267.17,182.48,69.56,69.56,301.95,217.26
210.71,182.48,69.56,69.56,245.49,217.26
196.60,182.48,69.56,69.56,231.38,217.26
182.48,182.48,69.56,69.56,217.26,217.26
196.60,168.37,69.56,69.56,231.38,203.15
182.48,168.37,69.56,69.56,217.26,203.15
168.37,182.48,69.56,69.56,203.15,217.26
126.02,154.25,69.56,69.56,160.80,189.03
154.25,140.14,69.56,69.56,189.03,174.92
182.48,126.02,69.56,69.56,217.26,160.80
210.71,140.14,69.56,69.56,245.49,174.92
238.94,140.14,69.56,69.56,273.72,174.92
295.40,196.60,69.56,69.56,330.18,231.38
308.50,196.60,69.56,69.56,343.29,231.38
308.50,196.60,69.56,69.56,343.29,231.38
308.50,182.48,69.56,69.56,343.29,217.26
308.50,182.48,69.56,69.56,343.29,217.26
322.62,196.60,69.56,69.56,357.40,231.38
336.73,168.37,69.56,69.56,371.51,203.15
322.62,154.25,69.56,69.56,357.40,189.03
308.50,140.14,69.56,69.56,343.29,174.92
295.40,140.14,69.56,69.56,330.18,174.92
281.28,140.14,69.56,69.56,316.06,174.92
267.17,295.40,69.56,69.56,301.95,330.18
224.82,295.40,69.56,69.56,259.61,330.18
210.71,295.40,69.56,69.56,245.49,330.18
196.60,308.50,69.56,69.56,231.38,343.29
210.71,308.50,69.56,69.56,245.49,343.29
224.82,295.40,69.56,69.56,259.61,330.18
267.17,308.50,69.56,69.56,301.95,343.29
281.28,281.28,69.56,69.56,316.06,316.06
295.40,281.28,69.56,69.56,330.18,316.06
308.50,295.40,69.56,69.56,343.29,330.18
295.40,295.40,69.56,69.56,330.18,330.18
295.40,295.40,69.56,69.56,330.18,330.18
281.28,308.50,69.56,69.56,316.06,343.29
267.17,295.40,69.56,69.56,301.95,330.18
267.17,322.62,69.56,69.56,301.95,357.40
253.05,308.50,69.56,69.56,287.84,343.29
224.82,322.62,69.56,69.56,259.61,357.40
224.82,308.50,69.56,69.56,259.61,343.29
196.60,322.62,69.56,69.56,231.38,357.40
253.05,322.62,69.56,69.56,287.84,357.40
253.05,407.31,69.56,69.56,287.84,442.09
210.71,407.31,69.56,69.56,245.49,442.09
182.48,393.19,69.56,69.56,217.26,427.97
140.14,379.08,69.56,69.56,174.92,413.86
111.91,364.96,69.56,69.56,146.69,399.74
84.69,336.73,69.56,69.56,119.47,371.51
70.57,295.40,69.56,69.56,105.35,330.18
56.46,267.17,69.56,69.56,91.24,301.95
56.46,238.94,69.56,69.56,91.24,273.72
281.28,393.19,69.56,69.56,316.06,427.97
295.40,379.08,69.56,69.56,330.18,413.86
322.62,350.85,69.56,69.56,357.40,385.63
336.73,322.62,69.56,69.56,371.51,357.40
336.73,295.40,69.56,69.56,371.51,330.18
350.85,253.05,69.56,69.56,385.63,287.84
364.96,224.82,69.56,69.56,399.74,259.61
364.96,182.48,69.56,69.56,399.74,217.26
