48,-30
x,y,dx,dy,x_c,y_c
271.32,243.78,45.90,45.90,294.27,266.73
262.14,243.78,45.90,45.90,285.09,266.73
252.96,243.78,45.90,45.90,275.91,266.73
281.52,243.78,45.90,45.90,304.47,266.73
290.70,243.78,45.90,45.90,313.65,266.73
290.70,225.42,45.90,45.90,313.65,248.37
290.70,215.22,45.90,45.90,313.65,238.17
281.52,187.68,45.90,45.90,304.47,210.63
271.32,178.50,45.90,45.90,294.27,201.45
243.78,178.50,45.90,45.90,266.73,201.45
234.60,187.68,45.90,45.90,257.55,210.63
225.42,187.68,45.90,45.90,248.37,210.63
234.60,178.50,45.90,45.90,257.55,201.45
225.42,178.50,45.90,45.90,248.37,201.45
215.22,187.68,45.90,45.90,238.17,210.63
196.86,168.30,45.90,45.90,219.81,191.25
206.04,159.12,45.90,45.90,228.99,182.07
225.42,149.94,45.90,45.90,248.37,172.89
243.78,159.12,45.90,45.90,266.73,182.07
262.14,159.12,45.90,45.90,285.09,182.07
290.70,178.50,45.90,45.90,313.65,201.45
299.88,178.50,45.90,45.90,322.83,201.45
299.88,178.50,45.90,45.90,322.83,201.45
299.88,178.50,45.90,45.90,322.83,201.45
299.88,178.50,45.90,45.90,322.83,201.45
299.88,178.50,45.90,45.90,322.83,201.45
309.06,149.94,45.90,45.90,332.01,172.89
309.06,140.76,45.90,45.90,332.01,163.71
299.88,140.76,45.90,45.90,322.83,163.71
299.88,140.76,45.90,45.90,322.83,163.71
290.70,140.76,45.90,45.90,313.65,163.71
271.32,262.14,45.90,45.90,294.27,285.09
262.14,262.14,45.90,45.90,285.09,285.09
252.96,271.32,45.90,45.90,275.91,294.27
243.78,271.32,45.90,45.90,266.73,294.27
252.96,271.32,45.90,45.90,275.91,294.27
262.14,262.14,45.90,45.90,285.09,285.09
271.32,262.14,45.90,45.90,294.27,285.09
290.70,262.14,45.90,45.90,313.65,285.09
299.88,271.32,45.90,45.90,322.83,294.27
309.06,281.52,45.90,45.90,332.01,304.47
299.88,281.52,45.90,45.90,322.83,304.47
290.70,271.32,45.90,45.90,313.65,294.27
309.06,290.70,45.90,45.90,332.01,313.65
299.88,281.52,45.90,45.90,322.83,304.47
299.88,290.70,45.90,45.90,322.83,313.65
299.88,281.52,45.90,45.90,322.83,304.47
281.52,290.70,45.90,45.90,304.47,313.65
281.52,271.32,45.90,45.90,304.47,294.27
262.14,281.52,45.90,45.90,285.09,304.47
299.88,290.70,45.90,45.90,322.83,313.65
290.70,337.62,45.90,45.90,313.65,360.57
262.14,337.62,45.90,45.90,285.09,360.57
243.78,328.44,45.90,45.90,266.73,351.39
225.42,318.24,45.90,45.90,248.37,341.19
206.04,309.06,45.90,45.90,228.99,332.01
187.68,290.70,45.90,45.90,210.63,313.65
178.50,262.14,45.90,45.90,201.45,285.09
168.30,243.78,45.90,45.90,191.25,266.73
159.12,225.42,45.90,45.90,182.07,248.37
309.06,328.44,45.90,45.90,332.01,351.39
318.24,309.06,45.90,45.90,341.19,332.01
318.24,290.70,45.90,45.90,341.19,313.65
328.44,271.32,45.90,45.90,351.39,294.27
328.44,262.14,45.90,45.90,351.39,285.09
328.44,243.78,45.90,45.90,351.39,266.73
328.44,225.42,45.90,45.90,351.39,248.37
328.44,206.04,45.90,45.90,351.39,228.99
