43,-30
x,y,dx,dy,x_c,y_c
251.00,237.00,69.00,69.00,285.50,271.50
237.00,237.00,69.00,69.00,271.50,271.50
223.00,237.00,69.00,69.00,257.50,271.50
265.00,237.00,69.00,69.00,299.50,271.50
265.00,237.00,69.00,69.00,299.50,271.50
265.00,209.00,69.00,69.00,299.50,243.50
265.00,195.00,69.00,69.00,299.50,229.50
251.00,167.00,69.00,69.00,285.50,201.50
251.00,153.00,69.00,69.00,285.50,187.50
209.00,139.00,69.00,69.00,243.50,173.50
209.00,139.00,69.00,69.00,243.50,173.50
195.00,139.00,69.00,69.00,229.50,173.50
195.00,125.00,69.00,69.00,229.50,159.50
181.00,125.00,69.00,69.00,215.50,159.50
167.00,139.00,69.00,69.00,201.50,173.50
125.00,111.00,69.00,69.00,159.50,145.50
139.00,98.00,69.00,69.00,173.50,132.50
167.00,84.00,69.00,69.00,201.50,118.50
181.00,98.00,69.00,69.00,215.50,132.50
209.00,111.00,69.00,69.00,243.50,145.50
279.00,153.00,69.00,69.00,313.50,187.50
293.00,167.00,69.00,69.00,327.50,201.50
293.00,167.00,69.00,69.00,327.50,201.50
293.00,153.00,69.00,69.00,327.50,187.50
293.00,153.00,69.00,69.00,327.50,187.50
293.00,153.00,69.00,69.00,327.50,187.50
293.00,111.00,69.00,69.00,327.50,145.50
293.00,111.00,69.00,69.00,327.50,145.50
279.00,111.00,69.00,69.00,313.50,145.50
279.00,111.00,69.00,69.00,313.50,145.50
265.00,111.00,69.00,69.00,299.50,145.50
251.00,265.00,69.00,69.00,285.50,299.50
223.00,265.00,69.00,69.00,257.50,299.50
209.00,279.00,69.00,69.00,243.50,313.50
195.00,306.00,69.00,69.00,229.50,340.50
209.00,279.00,69.00,69.00,243.50,313.50
223.00,265.00,69.00,69.00,257.50,299.50
251.00,279.00,69.00,69.00,285.50,313.50
265.00,251.00,69.00,69.00,299.50,285.50
251.00,265.00,69.00,69.00,285.50,299.50
251.00,279.00,69.00,69.00,285.50,313.50
251.00,265.00,69.00,69.00,285.50,299.50
251.00,265.00,69.00,69.00,285.50,299.50
237.00,293.00,69.00,69.00,271.50,327.50
223.00,279.00,69.00,69.00,257.50,313.50
223.00,293.00,69.00,69.00,257.50,327.50
209.00,279.00,69.00,69.00,243.50,313.50
195.00,306.00,69.00,69.00,229.50,340.50
195.00,279.00,69.00,69.00,229.50,313.50
181.00,306.00,69.00,69.00,215.50,340.50
209.00,293.00,69.00,69.00,243.50,327.50
209.00,362.00,69.00,69.00,243.50,396.50
167.00,362.00,69.00,69.00,201.50,396.50
139.00,348.00,69.00,69.00,173.50,382.50
111.00,348.00,69.00,69.00,145.50,382.50
98.00,334.00,69.00,69.00,132.50,368.50
70.00,306.00,69.00,69.00,104.50,340.50
56.00,265.00,69.00,69.00,90.50,299.50
56.00,237.00,69.00,69.00,90.50,271.50
42.00,195.00,69.00,69.00,76.50,229.50
237.00,362.00,69.00,69.00,271.50,396.50
251.00,334.00,69.00,69.00,285.50,368.50
251.00,306.00,69.00,69.00,285.50,340.50
265.00,279.00,69.00,69.00,299.50,313.50
279.00,265.00,69.00,69.00,313.50,299.50
293.00,237.00,69.00,69.00,327.50,271.50
293.00,209.00,69.00,69.00,327.50,243.50
293.00,181.00,69.00,69.00,327.50,215.50
