110,0
x,y,dx,dy,x_c,y_c
118.00,132.00,34.00,34.00,135.00,149.00
111.00,132.00,34.00,34.00,128.00,149.00
104.00,132.00,34.00,34.00,121.00,149.00
125.00,132.00,34.00,34.00,142.00,149.00
132.00,132.00,34.00,34.00,149.00,149.00
118.00,125.00,34.00,34.00,135.00,142.00
118.00,118.00,34.00,34.00,135.00,135.00
118.00,104.00,34.00,34.00,135.00,121.00
118.00,98.00,34.00,34.00,135.00,115.00
98.00,104.00,34.00,34.00,115.00,121.00
91.00,104.00,34.00,34.00,108.00,121.00
84.00,104.00,34.00,34.00,101.00,121.00
91.00,104.00,34.00,34.00,108.00,121.00
84.00,104.00,34.00,34.00,101.00,121.00
77.00,104.00,34.00,34.00,94.00,121.00
63.00,98.00,34.00,34.00,80.00,115.00
70.00,91.00,34.00,34.00,87.00,108.00
84.00,84.00,34.00,34.00,101.00,101.00
98.00,84.00,34.00,34.00,115.00,101.00
104.00,84.00,34.00,34.00,121.00,101.00
139.00,98.00,34.00,34.00,156.00,115.00
146.00,98.00,34.00,34.00,163.00,115.00
146.00,98.00,34.00,34.00,163.00,115.00
146.00,98.00,34.00,34.00,163.00,115.00
146.00,98.00,34.00,34.00,163.00,115.00
153.00,98.00,34.00,34.00,170.00,115.00
167.00,84.00,34.00,34.00,184.00,101.00
160.00,84.00,34.00,34.00,177.00,101.00
146.00,84.00,34.00,34.00,163.00,101.00
139.00,84.00,34.00,34.00,156.00,101.00
125.00,84.00,34.00,34.00,142.00,101.00
118.00,139.00,34.00,34.00,135.00,156.00
104.00,139.00,34.00,34.00,121.00,156.00
91.00,139.00,34.00,34.00,108.00,156.00
84.00,146.00,34.00,34.00,101.00,163.00
91.00,153.00,34.00,34.00,108.00,170.00
98.00,146.00,34.00,34.00,115.00,163.00
118.00,146.00,34.00,34.00,135.00,163.00
132.00,139.00,34.00,34.00,149.00,156.00
139.00,139.00,34.00,34.00,156.00,156.00
146.00,139.00,34.00,34.00,163.00,156.00
146.00,146.00,34.00,34.00,163.00,163.00
132.00,146.00,34.00,34.00,149.00,163.00
139.00,153.00,34.00,34.00,156.00,170.00
125.00,146.00,34.00,34.00,142.00,163.00
125.00,160.00,34.00,34.00,142.00,177.00
111.00,153.00,34.00,34.00,128.00,170.00
98.00,160.00,34.00,34.00,115.00,177.00
98.00,146.00,34.00,34.00,115.00,163.00
91.00,153.00,34.00,34.00,108.00,170.00
111.00,160.00,34.00,34.00,128.00,177.00
118.00,195.00,34.00,34.00,135.00,212.00
98.00,195.00,34.00,34.00,115.00,212.00
84.00,188.00,34.00,34.00,101.00,205.00
70.00,181.00,34.00,34.00,87.00,198.00
63.00,167.00,34.00,34.00,80.00,184.00
56.00,146.00,34.00,34.00,73.00,163.00
56.00,132.00,34.00,34.00,73.00,149.00
49.00,111.00,34.00,34.00,66.00,128.00
49.00,91.00,34.00,34.00,66.00,108.00
132.00,188.00,34.00,34.00,149.00,205.00
146.00,181.00,34.00,34.00,163.00,198.00
160.00,174.00,34.00,34.00,177.00,191.00
167.00,153.00,34.00,34.00,184.00,170.00
174.00,139.00,34.00,34.00,191.00,156.00
181.00,132.00,34.00,34.00,198.00,149.00
188.00,111.00,34.00,34.00,205.00,128.00
188.00,98.00,34.00,34.00,205.00,115.00
