125,30
x,y,dx,dy,x_c,y_c
92.00,138.00,45.00,45.00,114.50,160.50
92.00,138.00,45.00,45.00,114.50,160.50
83.00,138.00,45.00,45.00,105.50,160.50
101.00,138.00,45.00,45.00,123.50,160.50
110.00,138.00,45.00,45.00,132.50,160.50
92.00,119.00,45.00,45.00,114.50,141.50
92.00,110.00,45.00,45.00,114.50,132.50
101.00,92.00,45.00,45.00,123.50,114.50
101.00,83.00,45.00,45.00,123.50,105.50
83.00,83.00,45.00,45.00,105.50,105.50
74.00,83.00,45.00,45.00,96.50,105.50
64.00,83.00,45.00,45.00,86.50,105.50
74.00,83.00,45.00,45.00,96.50,105.50
74.00,83.00,45.00,45.00,96.50,105.50
74.00,92.00,45.00,45.00,96.50,114.50
74.00,64.00,45.00,45.00,96.50,86.50
74.00,64.00,45.00,45.00,96.50,86.50
74.00,55.00,45.00,45.00,96.50,77.50
83.00,64.00,45.00,45.00,105.50,86.50
83.00,64.00,45.00,45.00,105.50,86.50
129.00,83.00,45.00,45.00,151.50,105.50
129.00,92.00,45.00,45.00,151.50,114.50
138.00,92.00,45.00,45.00,160.50,114.50
129.00,83.00,45.00,45.00,151.50,105.50
138.00,83.00,45.00,45.00,160.50,105.50
147.00,92.00,45.00,45.00,169.50,114.50
175.00,83.00,45.00,45.00,197.50,105.50
165.00,74.00,45.00,45.00,187.50,96.50
147.00,64.00,45.00,45.00,169.50,86.50
129.00,64.00,45.00,45.00,151.50,86.50
110.00,64.00,45.00,45.00,132.50,86.50
92.00,156.00,45.00,45.00,114.50,178.50
83.00,156.00,45.00,45.00,105.50,178.50
74.00,156.00,45.00,45.00,96.50,178.50
64.00,165.00,45.00,45.00,86.50,187.50
74.00,165.00,45.00,45.00,96.50,187.50
83.00,156.00,45.00,45.00,105.50,178.50
92.00,156.00,45.00,45.00,114.50,178.50
110.00,156.00,45.00,45.00,132.50,178.50
129.00,156.00,45.00,45.00,151.50,178.50
138.00,165.00,45.00,45.00,160.50,187.50
129.00,156.00,45.00,45.00,151.50,178.50
101.00,165.00,45.00,45.00,123.50,187.50
129.00,184.00,45.00,45.00,151.50,206.50
110.00,175.00,45.00,45.00,132.50,197.50
110.00,184.00,45.00,45.00,132.50,206.50
92.00,165.00,45.00,45.00,114.50,187.50
74.00,175.00,45.00,45.00,96.50,197.50
83.00,156.00,45.00,45.00,105.50,178.50
74.00,175.00,45.00,45.00,96.50,197.50
92.00,184.00,45.00,45.00,114.50,206.50
92.00,230.00,45.00,45.00,114.50,252.50
74.00,221.00,45.00,45.00,96.50,243.50
55.00,211.00,45.00,45.00,77.50,233.50
55.00,202.00,45.00,45.00,77.50,224.50
37.00,193.00,45.00,45.00,59.50,215.50
37.00,175.00,45.00,45.00,59.50,197.50
37.00,165.00,45.00,45.00,59.50,187.50
37.00,156.00,45.00,45.00,59.50,178.50
37.00,147.00,45.00,45.00,59.50,169.50
110.00,221.00,45.00,45.00,132.50,243.50
138.00,211.00,45.00,45.00,160.50,233.50
156.00,202.00,45.00,45.00,178.50,224.50
175.00,184.00,45.00,45.00,197.50,206.50
184.00,165.00,45.00,45.00,206.50,187.50
193.00,138.00,45.00,45.00,215.50,160.50
202.00,110.00,45.00,45.00,224.50,132.50
202.00,92.00,45.00,45.00,224.50,114.50
