82,0
x,y,dx,dy,x_c,y_c
370.91,401.45,24.00,24.00,382.91,413.45
365.45,401.45,24.00,24.00,377.45,413.45
361.09,396.00,24.00,24.00,373.09,408.00
376.36,396.00,24.00,24.00,388.36,408.00
380.73,396.00,24.00,24.00,392.73,408.00
370.91,390.55,24.00,24.00,382.91,402.55
370.91,386.18,24.00,24.00,382.91,398.18
370.91,376.36,24.00,24.00,382.91,388.36
370.91,370.91,24.00,24.00,382.91,382.91
361.09,370.91,24.00,24.00,373.09,382.91
361.09,370.91,24.00,24.00,373.09,382.91
355.64,370.91,24.00,24.00,367.64,382.91
355.64,370.91,24.00,24.00,367.64,382.91
355.64,370.91,24.00,24.00,367.64,382.91
351.27,370.91,24.00,24.00,363.27,382.91
340.36,365.45,24.00,24.00,352.36,377.45
345.82,361.09,24.00,24.00,357.82,373.09
351.27,361.09,24.00,24.00,363.27,373.09
355.64,361.09,24.00,24.00,367.64,373.09
361.09,365.45,24.00,24.00,373.09,377.45
380.73,376.36,24.00,24.00,392.73,388.36
386.18,376.36,24.00,24.00,398.18,388.36
390.55,376.36,24.00,24.00,402.55,388.36
386.18,376.36,24.00,24.00,398.18,388.36
386.18,376.36,24.00,24.00,398.18,388.36
390.55,376.36,24.00,24.00,402.55,388.36
401.45,365.45,24.00,24.00,413.45,377.45
396.00,365.45,24.00,24.00,408.00,377.45
390.55,365.45,24.00,24.00,402.55,377.45
386.18,365.45,24.00,24.00,398.18,377.45
376.36,365.45,24.00,24.00,388.36,377.45
370.91,405.82,24.00,24.00,382.91,417.82
365.45,401.45,24.00,24.00,377.45,413.45
355.64,405.82,24.00,24.00,367.64,417.82
351.27,411.27,24.00,24.00,363.27,423.27
355.64,411.27,24.00,24.00,367.64,423.27
361.09,405.82,24.00,24.00,373.09,417.82
370.91,411.27,24.00,24.00,382.91,423.27
380.73,401.45,24.00,24.00,392.73,413.45
386.18,405.82,24.00,24.00,398.18,417.82
390.55,405.82,24.00,24.00,402.55,417.82
386.18,411.27,24.00,24.00,398.18,423.27
386.18,405.82,24.00,24.00,398.18,417.82
386.18,415.64,24.00,24.00,398.18,427.64
380.73,411.27,24.00,24.00,392.73,423.27
380.73,415.64,24.00,24.00,392.73,427.64
370.91,411.27,24.00,24.00,382.91,423.27
361.09,415.64,24.00,24.00,373.09,427.64
361.09,405.82,24.00,24.00,373.09,417.82
355.64,411.27,24.00,24.00,367.64,423.27
370.91,415.64,24.00,24.00,382.91,427.64
376.36,440.73,24.00,24.00,388.36,452.73
361.09,440.73,24.00,24.00,373.09,452.73
351.27,436.36,24.00,24.00,363.27,448.36
340.36,430.91,24.00,24.00,352.36,442.91
336.00,421.09,24.00,24.00,348.00,433.09
330.55,405.82,24.00,24.00,342.55,417.82
330.55,396.00,24.00,24.00,342.55,408.00
326.18,380.73,24.00,24.00,338.18,392.73
326.18,365.45,24.00,24.00,338.18,377.45
386.18,436.36,24.00,24.00,398.18,448.36
396.00,426.55,24.00,24.00,408.00,438.55
401.45,421.09,24.00,24.00,413.45,433.09
405.82,405.82,24.00,24.00,417.82,417.82
405.82,390.55,24.00,24.00,417.82,402.55
411.27,380.73,24.00,24.00,423.27,392.73
415.64,365.45,24.00,24.00,427.64,377.45
415.64,355.64,24.00,24.00,427.64,367.64
