106,0
x,y,dx,dy,x_c,y_c
190.00,232.00,52.00,52.00,216.00,258.00
179.00,232.00,52.00,52.00,205.00,258.00
169.00,232.00,52.00,52.00,195.00,258.00
201.00,232.00,52.00,52.00,227.00,258.00
211.00,232.00,52.00,52.00,237.00,258.00
190.00,211.00,52.00,52.00,216.00,237.00
190.00,190.00,52.00,52.00,216.00,216.00
190.00,169.00,52.00,52.00,216.00,195.00
190.00,158.00,52.00,52.00,216.00,184.00
158.00,158.00,52.00,52.00,184.00,184.00
158.00,158.00,52.00,52.00,184.00,184.00
148.00,158.00,52.00,52.00,174.00,184.00
148.00,148.00,52.00,52.00,174.00,174.00
148.00,148.00,52.00,52.00,174.00,174.00
137.00,158.00,52.00,52.00,163.00,184.00
106.00,148.00,52.00,52.00,132.00,174.00
116.00,137.00,52.00,52.00,142.00,163.00
127.00,127.00,52.00,52.00,153.00,153.00
137.00,137.00,52.00,52.00,163.00,163.00
158.00,137.00,52.00,52.00,184.00,163.00
222.00,158.00,52.00,52.00,248.00,184.00
232.00,158.00,52.00,52.00,258.00,184.00
243.00,158.00,52.00,52.00,269.00,184.00
222.00,148.00,52.00,52.00,248.00,174.00
232.00,148.00,52.00,52.00,258.00,174.00
243.00,158.00,52.00,52.00,269.00,184.00
274.00,137.00,52.00,52.00,300.00,163.00
264.00,127.00,52.00,52.00,290.00,153.00
243.00,127.00,52.00,52.00,269.00,153.00
232.00,127.00,52.00,52.00,258.00,153.00
211.00,137.00,52.00,52.00,237.00,163.00
190.00,243.00,52.00,52.00,216.00,269.00
179.00,232.00,52.00,52.00,205.00,258.00
158.00,232.00,52.00,52.00,184.00,258.00
148.00,253.00,52.00,52.00,174.00,279.00
148.00,243.00,52.00,52.00,174.00,269.00
169.00,243.00,52.00,52.00,195.00,269.00
190.00,253.00,52.00,52.00,216.00,279.00
211.00,232.00,52.00,52.00,237.00,258.00
232.00,232.00,52.00,52.00,258.00,258.00
243.00,232.00,52.00,52.00,269.00,258.00
232.00,243.00,52.00,52.00,258.00,269.00
222.00,243.00,52.00,52.00,248.00,269.00
232.00,253.00,52.00,52.00,258.00,279.00
222.00,243.00,52.00,52.00,248.00,269.00
222.00,264.00,52.00,52.00,248.00,290.00
201.00,253.00,52.00,52.00,227.00,279.00
179.00,264.00,52.00,52.00,205.00,290.00
179.00,243.00,52.00,52.00,205.00,269.00
169.00,253.00,52.00,52.00,195.00,279.00
201.00,264.00,52.00,52.00,227.00,290.00
201.00,317.00,52.00,52.00,227.00,343.00
169.00,306.00,52.00,52.00,195.00,332.00
148.00,296.00,52.00,52.00,174.00,322.00
127.00,274.00,52.00,52.00,153.00,300.00
106.00,253.00,52.00,52.00,132.00,279.00
95.00,232.00,52.00,52.00,121.00,258.00
95.00,211.00,52.00,52.00,121.00,237.00
84.00,179.00,52.00,52.00,110.00,205.00
84.00,148.00,52.00,52.00,110.00,174.00
222.00,306.00,52.00,52.00,248.00,332.00
243.00,285.00,52.00,52.00,269.00,311.00
264.00,274.00,52.00,52.00,290.00,300.00
274.00,243.00,52.00,52.00,300.00,269.00
285.00,222.00,52.00,52.00,311.00,248.00
296.00,201.00,52.00,52.00,322.00,227.00
306.00,169.00,52.00,52.00,332.00,195.00
306.00,148.00,52.00,52.00,332.00,174.00
