72,0
x,y,dx,dy,x_c,y_c
274.05,289.33,75.34,75.34,311.71,327.00
258.76,289.33,75.34,75.34,296.43,327.00
243.48,289.33,75.34,75.34,281.14,327.00
289.33,289.33,75.34,75.34,327.00,327.00
304.62,289.33,75.34,75.34,342.28,327.00
274.05,258.76,75.34,75.34,311.71,296.43
274.05,243.48,75.34,75.34,311.71,281.14
274.05,212.90,75.34,75.34,311.71,250.57
274.05,197.62,75.34,75.34,311.71,235.29
228.19,212.90,75.34,75.34,265.86,250.57
212.90,212.90,75.34,75.34,250.57,250.57
212.90,212.90,75.34,75.34,250.57,250.57
212.90,212.90,75.34,75.34,250.57,250.57
197.62,212.90,75.34,75.34,235.29,250.57
182.33,228.19,75.34,75.34,220.00,265.86
136.48,212.90,75.34,75.34,174.14,250.57
151.76,197.62,75.34,75.34,189.43,235.29
167.05,182.33,75.34,75.34,204.72,220.00
197.62,197.62,75.34,75.34,235.29,235.29
212.90,212.90,75.34,75.34,250.57,250.57
319.90,197.62,75.34,75.34,357.57,235.29
334.10,197.62,75.34,75.34,371.76,235.29
349.38,197.62,75.34,75.34,387.05,235.29
319.90,197.62,75.34,75.34,357.57,235.29
334.10,197.62,75.34,75.34,371.76,235.29
349.38,197.62,75.34,75.34,387.05,235.29
395.24,182.33,75.34,75.34,432.91,220.00
379.95,182.33,75.34,75.34,417.62,220.00
349.38,182.33,75.34,75.34,387.05,220.00
334.10,182.33,75.34,75.34,371.76,220.00
304.62,182.33,75.34,75.34,342.28,220.00
274.05,319.90,75.34,75.34,311.71,357.57
243.48,319.90,75.34,75.34,281.14,357.57
228.19,334.10,75.34,75.34,265.86,371.76
212.90,349.38,75.34,75.34,250.57,387.05
212.90,349.38,75.34,75.34,250.57,387.05
243.48,334.10,75.34,75.34,281.14,371.76
274.05,334.10,75.34,75.34,311.71,371.76
304.62,319.90,75.34,75.34,342.28,357.57
319.90,334.10,75.34,75.34,357.57,371.76
334.10,349.38,75.34,75.34,371.76,387.05
319.90,349.38,75.34,75.34,357.57,387.05
319.90,334.10,75.34,75.34,357.57,371.76
334.10,364.67,75.34,75.34,371.76,402.33
319.90,349.38,75.34,75.34,357.57,387.05
319.90,379.95,75.34,75.34,357.57,417.62
289.33,364.67,75.34,75.34,327.00,402.33
289.33,379.95,75.34,75.34,327.00,417.62
289.33,349.38,75.34,75.34,327.00,387.05
274.05,364.67,75.34,75.34,311.71,402.33
289.33,379.95,75.34,75.34,327.00,417.62
289.33,456.38,75.34,75.34,327.00,494.05
243.48,441.09,75.34,75.34,281.14,478.76
212.90,410.52,75.34,75.34,250.57,448.19
182.33,379.95,75.34,75.34,220.00,417.62
151.76,349.38,75.34,75.34,189.43,387.05
136.48,304.62,75.34,75.34,174.14,342.28
121.19,274.05,75.34,75.34,158.86,311.71
107.00,228.19,75.34,75.34,144.67,265.86
107.00,197.62,75.34,75.34,144.67,235.29
319.90,441.09,75.34,75.34,357.57,478.76
349.38,410.52,75.34,75.34,387.05,448.19
379.95,395.24,75.34,75.34,417.62,432.91
395.24,364.67,75.34,75.34,432.91,402.33
410.52,349.38,75.34,75.34,448.19,387.05
410.52,319.90,75.34,75.34,448.19,357.57
410.52,274.05,75.34,75.34,448.19,311.71
410.52,243.48,75.34,75.34,448.19,281.14
