70,0
x,y,dx,dy,x_c,y_c
116.00,124.00,19.00,19.00,125.50,133.50
112.00,124.00,19.00,19.00,121.50,133.50
112.00,124.00,19.00,19.00,121.50,133.50
120.00,120.00,19.00,19.00,129.50,129.50
124.00,120.00,19.00,19.00,133.50,129.50
116.00,116.00,19.00,19.00,125.50,125.50
116.00,112.00,19.00,19.00,125.50,121.50
112.00,104.00,19.00,19.00,121.50,113.50
112.00,100.00,19.00,19.00,121.50,109.50
100.00,104.00,19.00,19.00,109.50,113.50
96.00,104.00,19.00,19.00,105.50,113.50
92.00,104.00,19.00,19.00,101.50,113.50
96.00,104.00,19.00,19.00,105.50,113.50
96.00,104.00,19.00,19.00,105.50,113.50
92.00,108.00,19.00,19.00,101.50,117.50
84.00,104.00,19.00,19.00,93.50,113.50
88.00,96.00,19.00,19.00,97.50,105.50
92.00,92.00,19.00,19.00,101.50,101.50
96.00,92.00,19.00,19.00,105.50,101.50
100.00,92.00,19.00,19.00,109.50,101.50
124.00,100.00,19.00,19.00,133.50,109.50
128.00,100.00,19.00,19.00,137.50,109.50
128.00,100.00,19.00,19.00,137.50,109.50
128.00,100.00,19.00,19.00,137.50,109.50
132.00,100.00,19.00,19.00,141.50,109.50
136.00,100.00,19.00,19.00,145.50,109.50
144.00,92.00,19.00,19.00,153.50,101.50
140.00,92.00,19.00,19.00,149.50,101.50
132.00,88.00,19.00,19.00,141.50,97.50
128.00,88.00,19.00,19.00,137.50,97.50
120.00,88.00,19.00,19.00,129.50,97.50
116.00,132.00,19.00,19.00,125.50,141.50
112.00,132.00,19.00,19.00,121.50,141.50
112.00,132.00,19.00,19.00,121.50,141.50
112.00,136.00,19.00,19.00,121.50,145.50
112.00,136.00,19.00,19.00,121.50,145.50
112.00,136.00,19.00,19.00,121.50,145.50
116.00,136.00,19.00,19.00,125.50,145.50
128.00,128.00,19.00,19.00,137.50,137.50
136.00,132.00,19.00,19.00,145.50,141.50
140.00,136.00,19.00,19.00,149.50,145.50
140.00,132.00,19.00,19.00,149.50,141.50
132.00,132.00,19.00,19.00,141.50,141.50
140.00,148.00,19.00,19.00,149.50,157.50
136.00,148.00,19.00,19.00,145.50,157.50
136.00,156.00,19.00,19.00,145.50,165.50
128.00,152.00,19.00,19.00,137.50,161.50
124.00,160.00,19.00,19.00,133.50,169.50
124.00,152.00,19.00,19.00,133.50,161.50
120.00,156.00,19.00,19.00,129.50,165.50
128.00,156.00,19.00,19.00,137.50,165.50
128.00,176.00,19.00,19.00,137.50,185.50
116.00,172.00,19.00,19.00,125.50,181.50
108.00,164.00,19.00,19.00,117.50,173.50
100.00,156.00,19.00,19.00,109.50,165.50
92.00,148.00,19.00,19.00,101.50,157.50
88.00,140.00,19.00,19.00,97.50,149.50
84.00,132.00,19.00,19.00,93.50,141.50
80.00,120.00,19.00,19.00,89.50,129.50
80.00,112.00,19.00,19.00,89.50,121.50
140.00,172.00,19.00,19.00,149.50,181.50
148.00,164.00,19.00,19.00,157.50,173.50
156.00,156.00,19.00,19.00,165.50,165.50
164.00,144.00,19.00,19.00,173.50,153.50
168.00,136.00,19.00,19.00,177.50,145.50
172.00,128.00,19.00,19.00,181.50,137.50
176.00,116.00,19.00,19.00,185.50,125.50
176.00,108.00,19.00,19.00,185.50,117.50
