105,0
x,y,dx,dy,x_c,y_c
255.53,285.72,74.39,74.39,292.73,322.92
240.43,285.72,74.39,74.39,277.63,322.92
225.34,285.72,74.39,74.39,262.54,322.92
270.62,285.72,74.39,74.39,307.82,322.92
285.72,285.72,74.39,74.39,322.92,322.92
255.53,255.53,74.39,74.39,292.73,292.73
255.53,240.43,74.39,74.39,292.73,277.63
255.53,210.25,74.39,74.39,292.73,247.44
255.53,195.15,74.39,74.39,292.73,232.35
210.25,195.15,74.39,74.39,247.44,232.35
195.15,195.15,74.39,74.39,232.35,232.35
195.15,195.15,74.39,74.39,232.35,232.35
195.15,180.06,74.39,74.39,232.35,217.25
180.06,180.06,74.39,74.39,217.25,217.25
164.96,195.15,74.39,74.39,202.16,232.35
134.77,164.96,74.39,74.39,171.97,202.16
149.87,149.87,74.39,74.39,187.06,187.06
164.96,134.77,74.39,74.39,202.16,171.97
180.06,149.87,74.39,74.39,217.25,187.06
210.25,164.96,74.39,74.39,247.44,202.16
285.72,195.15,74.39,74.39,322.92,232.35
300.81,195.15,74.39,74.39,338.01,232.35
315.91,195.15,74.39,74.39,353.10,232.35
300.81,180.06,74.39,74.39,338.01,217.25
315.91,180.06,74.39,74.39,353.10,217.25
329.92,180.06,74.39,74.39,367.12,217.25
375.21,149.87,74.39,74.39,412.40,187.06
360.11,149.87,74.39,74.39,397.31,187.06
329.92,149.87,74.39,74.39,367.12,187.06
300.81,149.87,74.39,74.39,338.01,187.06
270.62,149.87,74.39,74.39,307.82,187.06
255.53,300.81,74.39,74.39,292.73,338.01
225.34,285.72,74.39,74.39,262.54,322.92
210.25,285.72,74.39,74.39,247.44,322.92
195.15,315.91,74.39,74.39,232.35,353.10
195.15,300.81,74.39,74.39,232.35,338.01
210.25,300.81,74.39,74.39,247.44,338.01
240.43,300.81,74.39,74.39,277.63,338.01
285.72,285.72,74.39,74.39,322.92,322.92
300.81,300.81,74.39,74.39,338.01,338.01
315.91,315.91,74.39,74.39,353.10,353.10
300.81,315.91,74.39,74.39,338.01,353.10
300.81,300.81,74.39,74.39,338.01,338.01
300.81,329.92,74.39,74.39,338.01,367.12
285.72,315.91,74.39,74.39,322.92,353.10
285.72,345.02,74.39,74.39,322.92,382.22
255.53,329.92,74.39,74.39,292.73,367.12
225.34,329.92,74.39,74.39,262.54,367.12
225.34,300.81,74.39,74.39,262.54,338.01
210.25,315.91,74.39,74.39,247.44,353.10
270.62,345.02,74.39,74.39,307.82,382.22
270.62,420.49,74.39,74.39,307.82,457.69
240.43,405.40,74.39,74.39,277.63,442.59
210.25,390.30,74.39,74.39,247.44,427.50
180.06,360.11,74.39,74.39,217.25,397.31
164.96,329.92,74.39,74.39,202.16,367.12
149.87,285.72,74.39,74.39,187.06,322.92
149.87,255.53,74.39,74.39,187.06,292.73
134.77,210.25,74.39,74.39,171.97,247.44
134.77,180.06,74.39,74.39,171.97,217.25
315.91,405.40,74.39,74.39,353.10,442.59
345.02,375.21,74.39,74.39,382.22,412.40
375.21,345.02,74.39,74.39,412.40,382.22
390.30,300.81,74.39,74.39,427.50,338.01
405.40,270.62,74.39,74.39,442.59,307.82
420.49,240.43,74.39,74.39,457.69,277.63
435.59,195.15,74.39,74.39,472.78,232.35
435.59,164.96,74.39,74.39,472.78,202.16
