66,15
x,y,dx,dy,x_c,y_c
253.51,299.41,56.82,56.82,281.92,327.82
242.59,299.41,56.82,56.82,271.00,327.82
230.57,299.41,56.82,56.82,258.98,327.82
253.51,299.41,56.82,56.82,281.92,327.82
253.51,299.41,56.82,56.82,281.92,327.82
253.51,276.46,56.82,56.82,281.92,304.87
253.51,265.53,56.82,56.82,281.92,293.94
253.51,242.59,56.82,56.82,281.92,271.00
253.51,219.64,56.82,56.82,281.92,248.05
230.57,219.64,56.82,56.82,258.98,248.05
230.57,219.64,56.82,56.82,258.98,248.05
219.64,219.64,56.82,56.82,248.05,248.05
230.57,207.62,56.82,56.82,258.98,236.03
219.64,207.62,56.82,56.82,248.05,236.03
207.62,207.62,56.82,56.82,236.03,236.03
184.67,172.65,56.82,56.82,213.08,201.06
195.60,161.72,56.82,56.82,224.01,190.13
207.62,172.65,56.82,56.82,236.03,201.06
219.64,172.65,56.82,56.82,248.05,201.06
230.57,184.67,56.82,56.82,258.98,213.08
288.48,219.64,56.82,56.82,316.89,248.05
299.41,230.57,56.82,56.82,327.82,258.98
311.43,242.59,56.82,56.82,339.84,271.00
299.41,207.62,56.82,56.82,327.82,236.03
311.43,207.62,56.82,56.82,339.84,236.03
323.45,219.64,56.82,56.82,351.86,248.05
357.32,195.60,56.82,56.82,385.73,224.01
334.37,172.65,56.82,56.82,362.78,201.06
311.43,161.72,56.82,56.82,339.84,190.13
288.48,161.72,56.82,56.82,316.89,190.13
265.53,161.72,56.82,56.82,293.94,190.13
242.59,311.43,56.82,56.82,271.00,339.84
230.57,311.43,56.82,56.82,258.98,339.84
230.57,323.45,56.82,56.82,258.98,351.86
219.64,334.37,56.82,56.82,248.05,362.78
230.57,334.37,56.82,56.82,258.98,362.78
230.57,323.45,56.82,56.82,258.98,351.86
242.59,323.45,56.82,56.82,271.00,351.86
288.48,311.43,56.82,56.82,316.89,339.84
311.43,323.45,56.82,56.82,339.84,351.86
323.45,334.37,56.82,56.82,351.86,362.78
311.43,334.37,56.82,56.82,339.84,362.78
288.48,323.45,56.82,56.82,316.89,351.86
311.43,346.39,56.82,56.82,339.84,374.80
288.48,334.37,56.82,56.82,316.89,362.78
288.48,346.39,56.82,56.82,316.89,374.80
253.51,334.37,56.82,56.82,281.92,362.78
230.57,346.39,56.82,56.82,258.98,374.80
242.59,323.45,56.82,56.82,271.00,351.86
230.57,346.39,56.82,56.82,258.98,374.80
253.51,357.32,56.82,56.82,281.92,385.73
253.51,415.24,56.82,56.82,281.92,443.65
242.59,403.22,56.82,56.82,271.00,431.63
230.57,392.29,56.82,56.82,258.98,420.70
219.64,369.34,56.82,56.82,248.05,397.75
207.62,357.32,56.82,56.82,236.03,385.73
195.60,334.37,56.82,56.82,224.01,362.78
172.65,311.43,56.82,56.82,201.06,339.84
172.65,299.41,56.82,56.82,201.06,327.82
172.65,276.46,56.82,56.82,201.06,304.87
288.48,415.24,56.82,56.82,316.89,443.65
323.45,403.22,56.82,56.82,351.86,431.63
346.39,392.29,56.82,56.82,374.80,420.70
357.32,380.27,56.82,56.82,385.73,408.68
380.27,357.32,56.82,56.82,408.68,385.73
380.27,334.37,56.82,56.82,408.68,362.78
392.29,299.41,56.82,56.82,420.70,327.82
392.29,276.46,56.82,56.82,420.70,304.87
