143,0
x,y,dx,dy,x_c,y_c
116.00,121.00,25.00,25.00,128.50,133.50
111.00,121.00,25.00,25.00,123.50,133.50
106.00,121.00,25.00,25.00,118.50,133.50
121.00,121.00,25.00,25.00,133.50,133.50
127.00,121.00,25.00,25.00,139.50,133.50
116.00,111.00,25.00,25.00,128.50,123.50
116.00,106.00,25.00,25.00,128.50,118.50
116.00,95.00,25.00,25.00,128.50,107.50
116.00,90.00,25.00,25.00,128.50,102.50
100.00,90.00,25.00,25.00,112.50,102.50
100.00,90.00,25.00,25.00,112.50,102.50
95.00,95.00,25.00,25.00,107.50,107.50
95.00,90.00,25.00,25.00,107.50,102.50
95.00,90.00,25.00,25.00,107.50,102.50
90.00,90.00,25.00,25.00,102.50,102.50
74.00,84.00,25.00,25.00,86.50,96.50
79.00,79.00,25.00,25.00,91.50,91.50
90.00,74.00,25.00,25.00,102.50,86.50
100.00,74.00,25.00,25.00,112.50,86.50
106.00,79.00,25.00,25.00,118.50,91.50
127.00,95.00,25.00,25.00,139.50,107.50
132.00,95.00,25.00,25.00,144.50,107.50
137.00,95.00,25.00,25.00,149.50,107.50
132.00,90.00,25.00,25.00,144.50,102.50
137.00,90.00,25.00,25.00,149.50,102.50
143.00,95.00,25.00,25.00,155.50,107.50
153.00,84.00,25.00,25.00,165.50,96.50
148.00,79.00,25.00,25.00,160.50,91.50
137.00,79.00,25.00,25.00,149.50,91.50
132.00,79.00,25.00,25.00,144.50,91.50
121.00,79.00,25.00,25.00,133.50,91.50
116.00,132.00,25.00,25.00,128.50,144.50
106.00,132.00,25.00,25.00,118.50,144.50
100.00,132.00,25.00,25.00,112.50,144.50
95.00,137.00,25.00,25.00,107.50,149.50
95.00,137.00,25.00,25.00,107.50,149.50
106.00,132.00,25.00,25.00,118.50,144.50
116.00,137.00,25.00,25.00,128.50,149.50
127.00,127.00,25.00,25.00,139.50,139.50
132.00,132.00,25.00,25.00,144.50,144.50
132.00,137.00,25.00,25.00,144.50,149.50
132.00,137.00,25.00,25.00,144.50,149.50
132.00,132.00,25.00,25.00,144.50,144.50
127.00,143.00,25.00,25.00,139.50,155.50
121.00,137.00,25.00,25.00,133.50,149.50
121.00,143.00,25.00,25.00,133.50,155.50
111.00,137.00,25.00,25.00,123.50,149.50
100.00,143.00,25.00,25.00,112.50,155.50
100.00,132.00,25.00,25.00,112.50,144.50
95.00,137.00,25.00,25.00,107.50,149.50
111.00,143.00,25.00,25.00,123.50,155.50
116.00,169.00,25.00,25.00,128.50,181.50
100.00,164.00,25.00,25.00,112.50,176.50
90.00,158.00,25.00,25.00,102.50,170.50
79.00,148.00,25.00,25.00,91.50,160.50
69.00,143.00,25.00,25.00,81.50,155.50
63.00,132.00,25.00,25.00,75.50,144.50
63.00,121.00,25.00,25.00,75.50,133.50
58.00,106.00,25.00,25.00,70.50,118.50
58.00,95.00,25.00,25.00,70.50,107.50
121.00,164.00,25.00,25.00,133.50,176.50
132.00,158.00,25.00,25.00,144.50,170.50
143.00,153.00,25.00,25.00,155.50,165.50
148.00,137.00,25.00,25.00,160.50,149.50
153.00,127.00,25.00,25.00,165.50,139.50
153.00,111.00,25.00,25.00,165.50,123.50
158.00,95.00,25.00,25.00,170.50,107.50
158.00,79.00,25.00,25.00,170.50,91.50
