139,0
x,y,dx,dy,x_c,y_c
335.49,394.69,97.44,97.44,384.21,443.41
315.76,394.69,97.44,97.44,364.48,443.41
296.02,394.69,97.44,97.44,344.74,443.41
355.22,394.69,97.44,97.44,403.94,443.41
374.96,394.69,97.44,97.44,423.68,443.41
335.49,355.22,97.44,97.44,384.21,403.94
335.49,335.49,97.44,97.44,384.21,384.21
335.49,296.02,97.44,97.44,384.21,344.74
335.49,276.29,97.44,97.44,384.21,325.01
276.29,276.29,97.44,97.44,325.01,325.01
276.29,276.29,97.44,97.44,325.01,325.01
276.29,276.29,97.44,97.44,325.01,325.01
256.55,276.29,97.44,97.44,305.27,325.01
256.55,276.29,97.44,97.44,305.27,325.01
236.82,276.29,97.44,97.44,285.54,325.01
197.35,236.82,97.44,97.44,246.07,285.54
217.08,217.08,97.44,97.44,265.80,265.80
236.82,197.35,97.44,97.44,285.54,246.07
276.29,217.08,97.44,97.44,325.01,265.80
296.02,217.08,97.44,97.44,344.74,265.80
394.69,256.55,97.44,97.44,443.41,305.27
414.43,256.55,97.44,97.44,463.15,305.27
434.16,256.55,97.44,97.44,482.88,305.27
414.43,256.55,97.44,97.44,463.15,305.27
434.16,256.55,97.44,97.44,482.88,305.27
453.90,256.55,97.44,97.44,502.62,305.27
493.37,217.08,97.44,97.44,542.09,265.80
473.63,197.35,97.44,97.44,522.35,246.07
434.16,197.35,97.44,97.44,482.88,246.07
394.69,197.35,97.44,97.44,443.41,246.07
355.22,197.35,97.44,97.44,403.94,246.07
335.49,414.43,97.44,97.44,384.21,463.15
315.76,414.43,97.44,97.44,364.48,463.15
296.02,434.16,97.44,97.44,344.74,482.88
276.29,453.90,97.44,97.44,325.01,502.62
296.02,453.90,97.44,97.44,344.74,502.62
315.76,434.16,97.44,97.44,364.48,482.88
335.49,434.16,97.44,97.44,384.21,482.88
374.96,414.43,97.44,97.44,423.68,463.15
394.69,414.43,97.44,97.44,443.41,463.15
414.43,434.16,97.44,97.44,463.15,482.88
414.43,434.16,97.44,97.44,463.15,482.88
374.96,434.16,97.44,97.44,423.68,482.88
414.43,453.90,97.44,97.44,463.15,502.62
394.69,434.16,97.44,97.44,443.41,482.88
394.69,453.90,97.44,97.44,443.41,502.62
355.22,434.16,97.44,97.44,403.94,482.88
315.76,473.63,97.44,97.44,364.48,522.35
315.76,434.16,97.44,97.44,364.48,482.88
296.02,453.90,97.44,97.44,344.74,502.62
374.96,453.90,97.44,97.44,423.68,502.62
394.69,532.84,97.44,97.44,443.41,581.56
335.49,513.10,97.44,97.44,384.21,561.82
296.02,473.63,97.44,97.44,344.74,522.35
256.55,434.16,97.44,97.44,305.27,482.88
236.82,394.69,97.44,97.44,285.54,443.41
217.08,335.49,97.44,97.44,265.80,384.21
197.35,296.02,97.44,97.44,246.07,344.74
177.61,236.82,97.44,97.44,226.33,285.54
177.61,197.35,97.44,97.44,226.33,246.07
434.16,513.10,97.44,97.44,482.88,561.82
473.63,473.63,97.44,97.44,522.35,522.35
513.10,434.16,97.44,97.44,561.82,482.88
532.84,374.96,97.44,97.44,581.56,423.68
532.84,335.49,97.44,97.44,581.56,384.21
532.84,276.29,97.44,97.44,581.56,325.01
532.84,217.08,97.44,97.44,581.56,265.80
532.84,157.88,97.44,97.44,581.56,206.60
