74,-30
x,y,dx,dy,x_c,y_c
169.00,179.00,52.00,52.00,195.00,205.00
158.00,179.00,52.00,52.00,184.00,205.00
158.00,179.00,52.00,52.00,184.00,205.00
179.00,179.00,52.00,52.00,205.00,205.00
190.00,179.00,52.00,52.00,216.00,205.00
179.00,158.00,52.00,52.00,205.00,184.00
179.00,148.00,52.00,52.00,205.00,174.00
169.00,127.00,52.00,52.00,195.00,153.00
169.00,116.00,52.00,52.00,195.00,142.00
137.00,116.00,52.00,52.00,163.00,142.00
127.00,116.00,52.00,52.00,153.00,142.00
116.00,116.00,52.00,52.00,142.00,142.00
127.00,106.00,52.00,52.00,153.00,132.00
116.00,106.00,52.00,52.00,142.00,132.00
106.00,116.00,52.00,52.00,132.00,142.00
74.00,106.00,52.00,52.00,100.00,132.00
84.00,95.00,52.00,52.00,110.00,121.00
106.00,84.00,52.00,52.00,132.00,110.00
127.00,84.00,52.00,52.00,153.00,110.00
148.00,84.00,52.00,52.00,174.00,110.00
190.00,116.00,52.00,52.00,216.00,142.00
201.00,116.00,52.00,52.00,227.00,142.00
211.00,116.00,52.00,52.00,237.00,142.00
201.00,106.00,52.00,52.00,227.00,132.00
201.00,106.00,52.00,52.00,227.00,132.00
201.00,106.00,52.00,52.00,227.00,132.00
211.00,84.00,52.00,52.00,237.00,110.00
201.00,84.00,52.00,52.00,227.00,110.00
190.00,84.00,52.00,52.00,216.00,110.00
190.00,84.00,52.00,52.00,216.00,110.00
179.00,84.00,52.00,52.00,205.00,110.00
169.00,201.00,52.00,52.00,195.00,227.00
158.00,201.00,52.00,52.00,184.00,227.00
148.00,211.00,52.00,52.00,174.00,237.00
137.00,211.00,52.00,52.00,163.00,237.00
148.00,211.00,52.00,52.00,174.00,237.00
158.00,211.00,52.00,52.00,184.00,237.00
169.00,201.00,52.00,52.00,195.00,227.00
179.00,190.00,52.00,52.00,205.00,216.00
179.00,201.00,52.00,52.00,205.00,227.00
179.00,201.00,52.00,52.00,205.00,227.00
179.00,201.00,52.00,52.00,205.00,227.00
179.00,201.00,52.00,52.00,205.00,227.00
179.00,211.00,52.00,52.00,205.00,237.00
179.00,201.00,52.00,52.00,205.00,227.00
179.00,211.00,52.00,52.00,205.00,237.00
169.00,201.00,52.00,52.00,195.00,227.00
158.00,222.00,52.00,52.00,184.00,248.00
158.00,211.00,52.00,52.00,184.00,237.00
148.00,222.00,52.00,52.00,174.00,248.00
169.00,211.00,52.00,52.00,195.00,237.00
169.00,264.00,52.00,52.00,195.00,290.00
137.00,264.00,52.00,52.00,163.00,290.00
116.00,253.00,52.00,52.00,142.00,279.00
95.00,243.00,52.00,52.00,121.00,269.00
84.00,222.00,52.00,52.00,110.00,248.00
63.00,190.00,52.00,52.00,89.00,216.00
53.00,158.00,52.00,52.00,79.00,184.00
53.00,137.00,52.00,52.00,79.00,163.00
42.00,116.00,52.00,52.00,68.00,142.00
190.00,253.00,52.00,52.00,216.00,279.00
201.00,232.00,52.00,52.00,227.00,258.00
201.00,211.00,52.00,52.00,227.00,237.00
211.00,190.00,52.00,52.00,237.00,216.00
211.00,179.00,52.00,52.00,237.00,205.00
211.00,169.00,52.00,52.00,237.00,195.00
211.00,148.00,52.00,52.00,237.00,174.00
201.00,127.00,52.00,52.00,227.00,153.00
