94,45
x,y,dx,dy,x_c,y_c
103.00,133.00,29.00,29.00,117.50,147.50
103.00,133.00,29.00,29.00,117.50,147.50
97.00,133.00,29.00,29.00,111.50,147.50
109.00,133.00,29.00,29.00,123.50,147.50
115.00,133.00,29.00,29.00,129.50,147.50
91.00,121.00,29.00,29.00,105.50,135.50
97.00,109.00,29.00,29.00,111.50,123.50
103.00,97.00,29.00,29.00,117.50,111.50
103.00,85.00,29.00,29.00,117.50,99.50
97.00,85.00,29.00,29.00,111.50,99.50
91.00,91.00,29.00,29.00,105.50,105.50
91.00,91.00,29.00,29.00,105.50,105.50
91.00,85.00,29.00,29.00,105.50,99.50
91.00,85.00,29.00,29.00,105.50,99.50
91.00,91.00,29.00,29.00,105.50,105.50
85.00,73.00,29.00,29.00,99.50,87.50
85.00,73.00,29.00,29.00,99.50,87.50
85.00,67.00,29.00,29.00,99.50,81.50
85.00,73.00,29.00,29.00,99.50,87.50
91.00,73.00,29.00,29.00,105.50,87.50
121.00,85.00,29.00,29.00,135.50,99.50
127.00,91.00,29.00,29.00,141.50,105.50
127.00,91.00,29.00,29.00,141.50,105.50
121.00,85.00,29.00,29.00,135.50,99.50
127.00,85.00,29.00,29.00,141.50,99.50
139.00,91.00,29.00,29.00,153.50,105.50
158.00,79.00,29.00,29.00,172.50,93.50
146.00,73.00,29.00,29.00,160.50,87.50
133.00,67.00,29.00,29.00,147.50,81.50
121.00,67.00,29.00,29.00,135.50,81.50
109.00,67.00,29.00,29.00,123.50,81.50
103.00,146.00,29.00,29.00,117.50,160.50
103.00,146.00,29.00,29.00,117.50,160.50
103.00,146.00,29.00,29.00,117.50,160.50
103.00,152.00,29.00,29.00,117.50,166.50
103.00,152.00,29.00,29.00,117.50,166.50
109.00,146.00,29.00,29.00,123.50,160.50
109.00,152.00,29.00,29.00,123.50,166.50
115.00,146.00,29.00,29.00,129.50,160.50
127.00,152.00,29.00,29.00,141.50,166.50
139.00,152.00,29.00,29.00,153.50,166.50
127.00,152.00,29.00,29.00,141.50,166.50
115.00,146.00,29.00,29.00,129.50,160.50
133.00,158.00,29.00,29.00,147.50,172.50
127.00,152.00,29.00,29.00,141.50,166.50
127.00,158.00,29.00,29.00,141.50,172.50
115.00,152.00,29.00,29.00,129.50,166.50
109.00,158.00,29.00,29.00,123.50,172.50
109.00,146.00,29.00,29.00,123.50,160.50
103.00,152.00,29.00,29.00,117.50,166.50
115.00,158.00,29.00,29.00,129.50,172.50
115.00,188.00,29.00,29.00,129.50,202.50
109.00,182.00,29.00,29.00,123.50,196.50
109.00,170.00,29.00,29.00,123.50,184.50
109.00,158.00,29.00,29.00,123.50,172.50
103.00,146.00,29.00,29.00,117.50,160.50
91.00,133.00,29.00,29.00,105.50,147.50
85.00,121.00,29.00,29.00,99.50,135.50
85.00,115.00,29.00,29.00,99.50,129.50
85.00,103.00,29.00,29.00,99.50,117.50
133.00,188.00,29.00,29.00,147.50,202.50
146.00,182.00,29.00,29.00,160.50,196.50
164.00,170.00,29.00,29.00,178.50,184.50
176.00,164.00,29.00,29.00,190.50,178.50
188.00,152.00,29.00,29.00,202.50,166.50
194.00,133.00,29.00,29.00,208.50,147.50
194.00,115.00,29.00,29.00,208.50,129.50
194.00,97.00,29.00,29.00,208.50,111.50
