109,-30
x,y,dx,dy,x_c,y_c
156.00,165.00,45.00,45.00,178.50,187.50
156.00,165.00,45.00,45.00,178.50,187.50
147.00,165.00,45.00,45.00,169.50,187.50
165.00,165.00,45.00,45.00,187.50,187.50
165.00,165.00,45.00,45.00,187.50,187.50
165.00,147.00,45.00,45.00,187.50,169.50
165.00,138.00,45.00,45.00,187.50,160.50
156.00,119.00,45.00,45.00,178.50,141.50
156.00,110.00,45.00,45.00,178.50,132.50
129.00,110.00,45.00,45.00,151.50,132.50
119.00,110.00,45.00,45.00,141.50,132.50
110.00,110.00,45.00,45.00,132.50,132.50
119.00,101.00,45.00,45.00,141.50,123.50
110.00,101.00,45.00,45.00,132.50,123.50
101.00,110.00,45.00,45.00,123.50,132.50
74.00,92.00,45.00,45.00,96.50,114.50
83.00,83.00,45.00,45.00,105.50,105.50
101.00,83.00,45.00,45.00,123.50,105.50
119.00,92.00,45.00,45.00,141.50,114.50
138.00,92.00,45.00,45.00,160.50,114.50
175.00,110.00,45.00,45.00,197.50,132.50
184.00,110.00,45.00,45.00,206.50,132.50
193.00,110.00,45.00,45.00,215.50,132.50
184.00,110.00,45.00,45.00,206.50,132.50
184.00,110.00,45.00,45.00,206.50,132.50
193.00,110.00,45.00,45.00,215.50,132.50
193.00,83.00,45.00,45.00,215.50,105.50
193.00,83.00,45.00,45.00,215.50,105.50
184.00,83.00,45.00,45.00,206.50,105.50
184.00,83.00,45.00,45.00,206.50,105.50
175.00,83.00,45.00,45.00,197.50,105.50
156.00,184.00,45.00,45.00,178.50,206.50
147.00,184.00,45.00,45.00,169.50,206.50
138.00,193.00,45.00,45.00,160.50,215.50
129.00,202.00,45.00,45.00,151.50,224.50
147.00,202.00,45.00,45.00,169.50,224.50
147.00,193.00,45.00,45.00,169.50,215.50
156.00,193.00,45.00,45.00,178.50,215.50
165.00,175.00,45.00,45.00,187.50,197.50
175.00,184.00,45.00,45.00,197.50,206.50
184.00,193.00,45.00,45.00,206.50,215.50
175.00,193.00,45.00,45.00,197.50,215.50
165.00,184.00,45.00,45.00,187.50,206.50
175.00,202.00,45.00,45.00,197.50,224.50
165.00,193.00,45.00,45.00,187.50,215.50
165.00,202.00,45.00,45.00,187.50,224.50
156.00,193.00,45.00,45.00,178.50,215.50
147.00,202.00,45.00,45.00,169.50,224.50
147.00,193.00,45.00,45.00,169.50,215.50
138.00,202.00,45.00,45.00,160.50,224.50
156.00,211.00,45.00,45.00,178.50,233.50
156.00,257.00,45.00,45.00,178.50,279.50
129.00,257.00,45.00,45.00,151.50,279.50
101.00,248.00,45.00,45.00,123.50,270.50
74.00,230.00,45.00,45.00,96.50,252.50
55.00,211.00,45.00,45.00,77.50,233.50
37.00,193.00,45.00,45.00,59.50,215.50
28.00,165.00,45.00,45.00,50.50,187.50
28.00,138.00,45.00,45.00,50.50,160.50
18.00,110.00,45.00,45.00,40.50,132.50
175.00,248.00,45.00,45.00,197.50,270.50
184.00,230.00,45.00,45.00,206.50,252.50
184.00,211.00,45.00,45.00,206.50,233.50
193.00,193.00,45.00,45.00,215.50,215.50
193.00,184.00,45.00,45.00,215.50,206.50
193.00,165.00,45.00,45.00,215.50,187.50
193.00,147.00,45.00,45.00,215.50,169.50
184.00,129.00,45.00,45.00,206.50,151.50
