52,30
x,y,dx,dy,x_c,y_c
227.81,288.85,75.21,75.21,265.41,326.45
212.55,288.85,75.21,75.21,250.15,326.45
197.29,288.85,75.21,75.21,234.89,326.45
227.81,288.85,75.21,75.21,265.41,326.45
243.07,288.85,75.21,75.21,280.67,326.45
212.55,258.33,75.21,75.21,250.15,295.93
212.55,243.07,75.21,75.21,250.15,280.67
227.81,212.55,75.21,75.21,265.41,250.15
227.81,197.29,75.21,75.21,265.41,234.89
182.03,197.29,75.21,75.21,219.63,234.89
166.77,212.55,75.21,75.21,204.37,250.15
151.51,212.55,75.21,75.21,189.11,250.15
166.77,197.29,75.21,75.21,204.37,234.89
166.77,197.29,75.21,75.21,204.37,234.89
151.51,212.55,75.21,75.21,189.11,250.15
136.25,166.77,75.21,75.21,173.85,204.37
136.25,166.77,75.21,75.21,173.85,204.37
151.51,151.51,75.21,75.21,189.11,189.11
166.77,166.77,75.21,75.21,204.37,204.37
182.03,166.77,75.21,75.21,219.63,204.37
273.59,197.29,75.21,75.21,311.19,234.89
288.85,197.29,75.21,75.21,326.45,234.89
288.85,197.29,75.21,75.21,326.45,234.89
288.85,197.29,75.21,75.21,326.45,234.89
304.11,197.29,75.21,75.21,341.71,234.89
304.11,197.29,75.21,75.21,341.71,234.89
348.80,182.03,75.21,75.21,386.40,219.63
333.54,166.77,75.21,75.21,371.14,204.37
304.11,151.51,75.21,75.21,341.71,189.11
273.59,151.51,75.21,75.21,311.19,189.11
243.07,151.51,75.21,75.21,280.67,189.11
227.81,304.11,75.21,75.21,265.41,341.71
212.55,304.11,75.21,75.21,250.15,341.71
197.29,304.11,75.21,75.21,234.89,341.71
197.29,319.37,75.21,75.21,234.89,356.97
212.55,319.37,75.21,75.21,250.15,356.97
227.81,304.11,75.21,75.21,265.41,341.71
227.81,319.37,75.21,75.21,265.41,356.97
258.33,304.11,75.21,75.21,295.93,341.71
288.85,319.37,75.21,75.21,326.45,356.97
304.11,319.37,75.21,75.21,341.71,356.97
288.85,319.37,75.21,75.21,326.45,356.97
243.07,319.37,75.21,75.21,280.67,356.97
304.11,333.54,75.21,75.21,341.71,371.14
273.59,319.37,75.21,75.21,311.19,356.97
288.85,348.80,75.21,75.21,326.45,386.40
273.59,333.54,75.21,75.21,311.19,371.14
258.33,348.80,75.21,75.21,295.93,386.40
258.33,333.54,75.21,75.21,295.93,371.14
243.07,364.06,75.21,75.21,280.67,401.66
273.59,348.80,75.21,75.21,311.19,386.40
273.59,425.10,75.21,75.21,311.19,462.70
258.33,409.84,75.21,75.21,295.93,447.44
243.07,379.32,75.21,75.21,280.67,416.92
243.07,348.80,75.21,75.21,280.67,386.40
212.55,319.37,75.21,75.21,250.15,356.97
212.55,288.85,75.21,75.21,250.15,326.45
212.55,258.33,75.21,75.21,250.15,295.93
197.29,243.07,75.21,75.21,234.89,280.67
197.29,227.81,75.21,75.21,234.89,265.41
304.11,409.84,75.21,75.21,341.71,447.44
348.80,394.58,75.21,75.21,386.40,432.18
409.84,379.32,75.21,75.21,447.44,416.92
440.36,348.80,75.21,75.21,477.96,386.40
455.62,319.37,75.21,75.21,493.22,356.97
470.88,304.11,75.21,75.21,508.48,341.71
486.14,258.33,75.21,75.21,523.74,295.93
486.14,227.81,75.21,75.21,523.74,265.41
