102,0
x,y,dx,dy,x_c,y_c
290.00,326.26,89.49,89.49,334.75,371.00
271.88,326.26,89.49,89.49,316.63,371.00
253.75,326.26,89.49,89.49,298.50,371.00
308.13,326.26,89.49,89.49,352.88,371.00
326.26,326.26,89.49,89.49,371.00,371.00
290.00,290.00,89.49,89.49,334.75,334.75
290.00,271.88,89.49,89.49,334.75,316.63
290.00,235.63,89.49,89.49,334.75,280.38
290.00,217.50,89.49,89.49,334.75,262.25
235.63,217.50,89.49,89.49,280.38,262.25
217.50,217.50,89.49,89.49,262.25,262.25
217.50,217.50,89.49,89.49,262.25,262.25
217.50,199.38,89.49,89.49,262.25,244.13
199.38,199.38,89.49,89.49,244.13,244.13
181.25,199.38,89.49,89.49,226.00,244.13
126.88,163.13,89.49,89.49,171.62,207.87
145.00,145.00,89.49,89.49,189.75,189.75
163.13,126.88,89.49,89.49,207.87,171.62
199.38,126.88,89.49,89.49,244.13,171.62
217.50,126.88,89.49,89.49,262.25,171.62
344.38,235.63,89.49,89.49,389.13,280.38
362.51,253.75,89.49,89.49,407.25,298.50
362.51,253.75,89.49,89.49,407.25,298.50
362.51,235.63,89.49,89.49,407.25,280.38
362.51,235.63,89.49,89.49,407.25,280.38
380.63,235.63,89.49,89.49,425.38,280.38
416.88,199.38,89.49,89.49,461.63,244.13
398.76,181.25,89.49,89.49,443.50,226.00
380.63,181.25,89.49,89.49,425.38,226.00
362.51,181.25,89.49,89.49,407.25,226.00
326.26,181.25,89.49,89.49,371.00,226.00
271.88,344.38,89.49,89.49,316.63,389.13
253.75,344.38,89.49,89.49,298.50,389.13
235.63,362.51,89.49,89.49,280.38,407.25
217.50,398.76,89.49,89.49,262.25,443.50
217.50,380.63,89.49,89.49,262.25,425.38
253.75,362.51,89.49,89.49,298.50,407.25
271.88,362.51,89.49,89.49,316.63,407.25
308.13,344.38,89.49,89.49,352.88,389.13
326.26,362.51,89.49,89.49,371.00,407.25
326.26,380.63,89.49,89.49,371.00,425.38
326.26,380.63,89.49,89.49,371.00,425.38
308.13,362.51,89.49,89.49,352.88,407.25
308.13,398.76,89.49,89.49,352.88,443.50
271.88,380.63,89.49,89.49,316.63,425.38
271.88,416.88,89.49,89.49,316.63,461.63
235.63,398.76,89.49,89.49,280.38,443.50
217.50,416.88,89.49,89.49,262.25,461.63
217.50,380.63,89.49,89.49,262.25,425.38
199.38,398.76,89.49,89.49,244.13,443.50
235.63,416.88,89.49,89.49,280.38,461.63
253.75,507.51,89.49,89.49,298.50,552.26
217.50,507.51,89.49,89.49,262.25,552.26
181.25,471.26,89.49,89.49,226.00,516.00
145.00,416.88,89.49,89.49,189.75,461.63
126.88,380.63,89.49,89.49,171.62,425.38
108.75,326.26,89.49,89.49,153.50,371.00
108.75,290.00,89.49,89.49,153.50,334.75
90.63,235.63,89.49,89.49,135.37,280.38
90.63,181.25,89.49,89.49,135.37,226.00
290.00,489.38,89.49,89.49,334.75,534.13
326.26,453.13,89.49,89.49,371.00,497.88
380.63,416.88,89.49,89.49,425.38,461.63
398.76,362.51,89.49,89.49,443.50,407.25
416.88,308.13,89.49,89.49,461.63,352.88
435.01,253.75,89.49,89.49,479.75,298.50
453.13,199.38,89.49,89.49,497.88,244.13
453.13,163.13,89.49,89.49,497.88,207.87
