64,0
x,y,dx,dy,x_c,y_c
265.31,317.72,65.51,65.51,298.07,350.47
251.12,317.72,65.51,65.51,283.87,350.47
251.12,317.72,65.51,65.51,283.87,350.47
278.41,317.72,65.51,65.51,311.17,350.47
291.52,317.72,65.51,65.51,324.27,350.47
265.31,291.52,65.51,65.51,298.07,324.27
265.31,265.31,65.51,65.51,298.07,298.07
265.31,238.02,65.51,65.51,298.07,270.77
265.31,224.91,65.51,65.51,298.07,257.67
224.91,224.91,65.51,65.51,257.67,257.67
224.91,224.91,65.51,65.51,257.67,257.67
211.81,224.91,65.51,65.51,244.57,257.67
211.81,211.81,65.51,65.51,244.57,244.57
198.71,211.81,65.51,65.51,231.47,244.57
185.61,211.81,65.51,65.51,218.36,244.57
145.21,185.61,65.51,65.51,177.97,218.36
159.41,172.51,65.51,65.51,192.16,205.26
185.61,159.41,65.51,65.51,218.36,192.16
211.81,172.51,65.51,65.51,244.57,205.26
238.02,172.51,65.51,65.51,270.77,205.26
304.62,224.91,65.51,65.51,337.37,257.67
317.72,224.91,65.51,65.51,350.47,257.67
330.82,224.91,65.51,65.51,363.58,257.67
317.72,211.81,65.51,65.51,350.47,244.57
330.82,211.81,65.51,65.51,363.58,244.57
343.92,211.81,65.51,65.51,376.68,244.57
371.22,185.61,65.51,65.51,403.97,218.36
357.02,172.51,65.51,65.51,389.78,205.26
343.92,172.51,65.51,65.51,376.68,205.26
330.82,172.51,65.51,65.51,363.58,205.26
304.62,172.51,65.51,65.51,337.37,205.26
265.31,330.82,65.51,65.51,298.07,363.58
251.12,330.82,65.51,65.51,283.87,363.58
224.91,343.92,65.51,65.51,257.67,376.68
198.71,357.02,65.51,65.51,231.47,389.78
211.81,371.22,65.51,65.51,244.57,403.97
251.12,343.92,65.51,65.51,283.87,376.68
265.31,343.92,65.51,65.51,298.07,376.68
291.52,330.82,65.51,65.51,324.27,363.58
304.62,343.92,65.51,65.51,337.37,376.68
304.62,357.02,65.51,65.51,337.37,389.78
304.62,343.92,65.51,65.51,337.37,376.68
291.52,343.92,65.51,65.51,324.27,376.68
291.52,384.32,65.51,65.51,324.27,417.07
278.41,371.22,65.51,65.51,311.17,403.97
278.41,397.42,65.51,65.51,311.17,430.18
251.12,384.32,65.51,65.51,283.87,417.07
224.91,397.42,65.51,65.51,257.67,430.18
211.81,371.22,65.51,65.51,244.57,403.97
198.71,371.22,65.51,65.51,231.47,403.97
251.12,397.42,65.51,65.51,283.87,430.18
265.31,462.93,65.51,65.51,298.07,495.69
224.91,477.12,65.51,65.51,257.67,509.88
198.71,462.93,65.51,65.51,231.47,495.69
172.51,436.73,65.51,65.51,205.26,469.48
145.21,410.52,65.51,65.51,177.97,443.28
132.11,384.32,65.51,65.51,164.86,417.07
119.01,357.02,65.51,65.51,151.76,389.78
105.91,317.72,65.51,65.51,138.66,350.47
105.91,291.52,65.51,65.51,138.66,324.27
291.52,449.83,65.51,65.51,324.27,482.58
317.72,436.73,65.51,65.51,350.47,469.48
343.92,410.52,65.51,65.51,376.68,443.28
371.22,384.32,65.51,65.51,403.97,417.07
384.32,357.02,65.51,65.51,417.07,389.78
397.42,330.82,65.51,65.51,430.18,363.58
410.52,291.52,65.51,65.51,443.28,324.27
410.52,251.12,65.51,65.51,443.28,283.87
