156,0
x,y,dx,dy,x_c,y_c
258.76,304.62,75.34,75.34,296.43,342.28
258.76,304.62,75.34,75.34,296.43,342.28
243.48,304.62,75.34,75.34,281.14,342.28
274.05,304.62,75.34,75.34,311.71,342.28
289.33,304.62,75.34,75.34,327.00,342.28
274.05,274.05,75.34,75.34,311.71,311.71
274.05,258.76,75.34,75.34,311.71,296.43
274.05,228.19,75.34,75.34,311.71,265.86
274.05,197.62,75.34,75.34,311.71,235.29
228.19,197.62,75.34,75.34,265.86,235.29
212.90,197.62,75.34,75.34,250.57,235.29
197.62,212.90,75.34,75.34,235.29,250.57
197.62,197.62,75.34,75.34,235.29,235.29
182.33,197.62,75.34,75.34,220.00,235.29
167.05,212.90,75.34,75.34,204.72,250.57
136.48,182.33,75.34,75.34,174.14,220.00
151.76,167.05,75.34,75.34,189.43,204.72
167.05,151.76,75.34,75.34,204.72,189.43
197.62,167.05,75.34,75.34,235.29,204.72
212.90,167.05,75.34,75.34,250.57,204.72
319.90,197.62,75.34,75.34,357.57,235.29
334.10,197.62,75.34,75.34,371.76,235.29
349.38,197.62,75.34,75.34,387.05,235.29
334.10,197.62,75.34,75.34,371.76,235.29
349.38,197.62,75.34,75.34,387.05,235.29
364.67,197.62,75.34,75.34,402.33,235.29
395.24,167.05,75.34,75.34,432.91,204.72
379.95,167.05,75.34,75.34,417.62,204.72
349.38,167.05,75.34,75.34,387.05,204.72
319.90,167.05,75.34,75.34,357.57,204.72
289.33,167.05,75.34,75.34,327.00,204.72
258.76,319.90,75.34,75.34,296.43,357.57
243.48,319.90,75.34,75.34,281.14,357.57
228.19,334.10,75.34,75.34,265.86,371.76
197.62,349.38,75.34,75.34,235.29,387.05
212.90,349.38,75.34,75.34,250.57,387.05
243.48,334.10,75.34,75.34,281.14,371.76
258.76,334.10,75.34,75.34,296.43,371.76
289.33,319.90,75.34,75.34,327.00,357.57
304.62,334.10,75.34,75.34,342.28,371.76
319.90,349.38,75.34,75.34,357.57,387.05
304.62,349.38,75.34,75.34,342.28,387.05
289.33,334.10,75.34,75.34,327.00,371.76
319.90,379.95,75.34,75.34,357.57,417.62
304.62,364.67,75.34,75.34,342.28,402.33
304.62,395.24,75.34,75.34,342.28,432.91
274.05,379.95,75.34,75.34,311.71,417.62
243.48,395.24,75.34,75.34,281.14,432.91
243.48,364.67,75.34,75.34,281.14,402.33
228.19,364.67,75.34,75.34,265.86,402.33
274.05,395.24,75.34,75.34,311.71,432.91
274.05,471.67,75.34,75.34,311.71,509.33
228.19,456.38,75.34,75.34,265.86,494.05
197.62,425.81,75.34,75.34,235.29,463.48
167.05,395.24,75.34,75.34,204.72,432.91
151.76,364.67,75.34,75.34,189.43,402.33
136.48,319.90,75.34,75.34,174.14,357.57
121.19,289.33,75.34,75.34,158.86,327.00
107.00,243.48,75.34,75.34,144.67,281.14
107.00,197.62,75.34,75.34,144.67,235.29
304.62,456.38,75.34,75.34,342.28,494.05
334.10,441.09,75.34,75.34,371.76,478.76
364.67,410.52,75.34,75.34,402.33,448.19
379.95,364.67,75.34,75.34,417.62,402.33
395.24,334.10,75.34,75.34,432.91,371.76
410.52,304.62,75.34,75.34,448.19,342.28
425.81,258.76,75.34,75.34,463.48,296.43
425.81,212.90,75.34,75.34,463.48,250.57
