68,0
x,y,dx,dy,x_c,y_c
116.00,132.00,25.00,25.00,128.50,144.50
111.00,132.00,25.00,25.00,123.50,144.50
106.00,127.00,25.00,25.00,118.50,139.50
121.00,132.00,25.00,25.00,133.50,144.50
127.00,132.00,25.00,25.00,139.50,144.50
116.00,121.00,25.00,25.00,128.50,133.50
116.00,116.00,25.00,25.00,128.50,128.50
116.00,106.00,25.00,25.00,128.50,118.50
116.00,100.00,25.00,25.00,128.50,112.50
100.00,100.00,25.00,25.00,112.50,112.50
100.00,100.00,25.00,25.00,112.50,112.50
100.00,100.00,25.00,25.00,112.50,112.50
95.00,95.00,25.00,25.00,107.50,107.50
95.00,95.00,25.00,25.00,107.50,107.50
90.00,95.00,25.00,25.00,102.50,107.50
79.00,90.00,25.00,25.00,91.50,102.50
84.00,84.00,25.00,25.00,96.50,96.50
90.00,84.00,25.00,25.00,102.50,96.50
100.00,84.00,25.00,25.00,112.50,96.50
106.00,90.00,25.00,25.00,118.50,102.50
127.00,100.00,25.00,25.00,139.50,112.50
132.00,100.00,25.00,25.00,144.50,112.50
137.00,100.00,25.00,25.00,149.50,112.50
132.00,100.00,25.00,25.00,144.50,112.50
137.00,100.00,25.00,25.00,149.50,112.50
143.00,100.00,25.00,25.00,155.50,112.50
158.00,90.00,25.00,25.00,170.50,102.50
153.00,90.00,25.00,25.00,165.50,102.50
143.00,90.00,25.00,25.00,155.50,102.50
132.00,90.00,25.00,25.00,144.50,102.50
121.00,90.00,25.00,25.00,133.50,102.50
116.00,137.00,25.00,25.00,128.50,149.50
106.00,132.00,25.00,25.00,118.50,144.50
95.00,132.00,25.00,25.00,107.50,144.50
90.00,137.00,25.00,25.00,102.50,149.50
90.00,137.00,25.00,25.00,102.50,149.50
100.00,137.00,25.00,25.00,112.50,149.50
116.00,143.00,25.00,25.00,128.50,155.50
127.00,132.00,25.00,25.00,139.50,144.50
137.00,137.00,25.00,25.00,149.50,149.50
143.00,143.00,25.00,25.00,155.50,155.50
143.00,137.00,25.00,25.00,155.50,149.50
132.00,137.00,25.00,25.00,144.50,149.50
143.00,153.00,25.00,25.00,155.50,165.50
137.00,148.00,25.00,25.00,149.50,160.50
137.00,158.00,25.00,25.00,149.50,170.50
121.00,153.00,25.00,25.00,133.50,165.50
106.00,153.00,25.00,25.00,118.50,165.50
106.00,143.00,25.00,25.00,118.50,155.50
100.00,148.00,25.00,25.00,112.50,160.50
121.00,158.00,25.00,25.00,133.50,170.50
121.00,185.00,25.00,25.00,133.50,197.50
106.00,179.00,25.00,25.00,118.50,191.50
95.00,169.00,25.00,25.00,107.50,181.50
84.00,158.00,25.00,25.00,96.50,170.50
74.00,148.00,25.00,25.00,86.50,160.50
69.00,137.00,25.00,25.00,81.50,149.50
69.00,121.00,25.00,25.00,81.50,133.50
63.00,106.00,25.00,25.00,75.50,118.50
63.00,95.00,25.00,25.00,75.50,107.50
132.00,185.00,25.00,25.00,144.50,197.50
148.00,174.00,25.00,25.00,160.50,186.50
158.00,164.00,25.00,25.00,170.50,176.50
164.00,148.00,25.00,25.00,176.50,160.50
169.00,137.00,25.00,25.00,181.50,149.50
174.00,121.00,25.00,25.00,186.50,133.50
179.00,106.00,25.00,25.00,191.50,118.50
179.00,95.00,25.00,25.00,191.50,107.50
