75,-30
x,y,dx,dy,x_c,y_c
289.09,289.09,75.27,75.27,326.73,326.73
273.82,304.36,75.27,75.27,311.45,342.00
258.55,304.36,75.27,75.27,296.18,342.00
304.36,289.09,75.27,75.27,342.00,326.73
319.64,289.09,75.27,75.27,357.27,326.73
289.09,258.55,75.27,75.27,326.73,296.18
289.09,243.27,75.27,75.27,326.73,280.91
273.82,212.73,75.27,75.27,311.45,250.36
273.82,197.45,75.27,75.27,311.45,235.09
228.00,212.73,75.27,75.27,265.64,250.36
212.73,212.73,75.27,75.27,250.36,250.36
197.45,212.73,75.27,75.27,235.09,250.36
212.73,212.73,75.27,75.27,250.36,250.36
197.45,212.73,75.27,75.27,235.09,250.36
182.18,228.00,75.27,75.27,219.82,265.64
136.36,197.45,75.27,75.27,174.00,235.09
151.64,182.18,75.27,75.27,189.27,219.82
182.18,182.18,75.27,75.27,219.82,219.82
212.73,182.18,75.27,75.27,250.36,219.82
243.27,182.18,75.27,75.27,280.91,219.82
289.09,197.45,75.27,75.27,326.73,235.09
304.36,197.45,75.27,75.27,342.00,235.09
319.64,197.45,75.27,75.27,357.27,235.09
304.36,182.18,75.27,75.27,342.00,219.82
319.64,182.18,75.27,75.27,357.27,219.82
319.64,182.18,75.27,75.27,357.27,219.82
333.82,151.64,75.27,75.27,371.45,189.27
333.82,151.64,75.27,75.27,371.45,189.27
319.64,151.64,75.27,75.27,357.27,189.27
304.36,151.64,75.27,75.27,342.00,189.27
289.09,151.64,75.27,75.27,326.73,189.27
304.36,319.64,75.27,75.27,342.00,357.27
289.09,319.64,75.27,75.27,326.73,357.27
273.82,333.82,75.27,75.27,311.45,371.45
258.55,333.82,75.27,75.27,296.18,371.45
289.09,349.09,75.27,75.27,326.73,386.73
304.36,319.64,75.27,75.27,342.00,357.27
304.36,319.64,75.27,75.27,342.00,357.27
333.82,304.36,75.27,75.27,371.45,342.00
349.09,319.64,75.27,75.27,386.73,357.27
364.36,319.64,75.27,75.27,402.00,357.27
349.09,319.64,75.27,75.27,386.73,357.27
333.82,319.64,75.27,75.27,371.45,357.27
349.09,333.82,75.27,75.27,386.73,371.45
333.82,319.64,75.27,75.27,371.45,357.27
333.82,333.82,75.27,75.27,371.45,371.45
319.64,319.64,75.27,75.27,357.27,357.27
304.36,349.09,75.27,75.27,342.00,386.73
319.64,319.64,75.27,75.27,357.27,357.27
289.09,349.09,75.27,75.27,326.73,386.73
319.64,333.82,75.27,75.27,357.27,371.45
304.36,410.18,75.27,75.27,342.00,447.82
273.82,394.91,75.27,75.27,311.45,432.55
228.00,379.64,75.27,75.27,265.64,417.27
182.18,364.36,75.27,75.27,219.82,402.00
151.64,349.09,75.27,75.27,189.27,386.73
121.09,319.64,75.27,75.27,158.73,357.27
106.91,273.82,75.27,75.27,144.55,311.45
91.64,243.27,75.27,75.27,129.27,280.91
91.64,197.45,75.27,75.27,129.27,235.09
333.82,394.91,75.27,75.27,371.45,432.55
349.09,364.36,75.27,75.27,386.73,402.00
364.36,333.82,75.27,75.27,402.00,371.45
379.64,304.36,75.27,75.27,417.27,342.00
394.91,273.82,75.27,75.27,432.55,311.45
394.91,243.27,75.27,75.27,432.55,280.91
394.91,212.73,75.27,75.27,432.55,250.36
394.91,182.18,75.27,75.27,432.55,219.82
