131,0
x,y,dx,dy,x_c,y_c
214.62,297.16,81.51,81.51,255.37,337.92
198.11,297.16,81.51,81.51,238.87,337.92
181.60,297.16,81.51,81.51,222.36,337.92
231.13,297.16,81.51,81.51,271.88,337.92
247.64,297.16,81.51,81.51,288.39,337.92
214.62,264.15,81.51,81.51,255.37,304.90
214.62,247.64,81.51,81.51,255.37,288.39
214.62,214.62,81.51,81.51,255.37,255.37
214.62,198.11,81.51,81.51,255.37,238.87
165.09,214.62,81.51,81.51,205.85,255.37
165.09,214.62,81.51,81.51,205.85,255.37
148.58,214.62,81.51,81.51,189.34,255.37
148.58,198.11,81.51,81.51,189.34,238.87
148.58,198.11,81.51,81.51,189.34,238.87
132.07,214.62,81.51,81.51,172.83,255.37
99.05,181.60,81.51,81.51,139.81,222.36
115.56,181.60,81.51,81.51,156.32,222.36
132.07,165.09,81.51,81.51,172.83,205.85
165.09,181.60,81.51,81.51,205.85,222.36
181.60,181.60,81.51,81.51,222.36,222.36
247.64,198.11,81.51,81.51,288.39,238.87
264.15,198.11,81.51,81.51,304.90,238.87
280.65,198.11,81.51,81.51,321.41,238.87
264.15,198.11,81.51,81.51,304.90,238.87
280.65,198.11,81.51,81.51,321.41,238.87
297.16,198.11,81.51,81.51,337.92,238.87
346.69,165.09,81.51,81.51,387.45,205.85
330.18,148.58,81.51,81.51,370.94,189.34
297.16,148.58,81.51,81.51,337.92,189.34
264.15,148.58,81.51,81.51,304.90,189.34
231.13,165.09,81.51,81.51,271.88,205.85
214.62,313.67,81.51,81.51,255.37,354.43
181.60,313.67,81.51,81.51,222.36,354.43
165.09,330.18,81.51,81.51,205.85,370.94
148.58,346.69,81.51,81.51,189.34,387.45
165.09,346.69,81.51,81.51,205.85,387.45
181.60,330.18,81.51,81.51,222.36,370.94
214.62,330.18,81.51,81.51,255.37,370.94
247.64,313.67,81.51,81.51,288.39,354.43
280.65,330.18,81.51,81.51,321.41,370.94
297.16,330.18,81.51,81.51,337.92,370.94
280.65,330.18,81.51,81.51,321.41,370.94
247.64,330.18,81.51,81.51,288.39,370.94
280.65,363.20,81.51,81.51,321.41,403.96
264.15,346.69,81.51,81.51,304.90,387.45
264.15,363.20,81.51,81.51,304.90,403.96
231.13,346.69,81.51,81.51,271.88,387.45
181.60,363.20,81.51,81.51,222.36,403.96
181.60,330.18,81.51,81.51,222.36,370.94
165.09,346.69,81.51,81.51,205.85,387.45
231.13,363.20,81.51,81.51,271.88,403.96
247.64,445.75,81.51,81.51,288.39,486.50
198.11,429.24,81.51,81.51,238.87,469.99
165.09,396.22,81.51,81.51,205.85,436.97
132.07,363.20,81.51,81.51,172.83,403.96
99.05,346.69,81.51,81.51,139.81,387.45
82.55,313.67,81.51,81.51,123.30,354.43
82.55,280.65,81.51,81.51,123.30,321.41
66.04,231.13,81.51,81.51,106.79,271.88
66.04,198.11,81.51,81.51,106.79,238.87
280.65,429.24,81.51,81.51,321.41,469.99
313.67,396.22,81.51,81.51,354.43,436.97
363.20,379.71,81.51,81.51,403.96,420.47
379.71,346.69,81.51,81.51,420.47,387.45
396.22,313.67,81.51,81.51,436.97,354.43
412.73,280.65,81.51,81.51,453.48,321.41
429.24,231.13,81.51,81.51,469.99,271.88
429.24,198.11,81.51,81.51,469.99,238.87
