44,0
x,y,dx,dy,x_c,y_c
221.61,272.76,84.17,84.17,263.70,314.84
204.57,289.80,84.17,84.17,246.65,331.89
170.47,289.80,84.17,84.17,212.56,331.89
238.66,272.76,84.17,84.17,280.75,314.84
255.71,272.76,84.17,84.17,297.79,314.84
221.61,238.66,84.17,84.17,263.70,280.75
221.61,221.61,84.17,84.17,263.70,263.70
221.61,204.57,84.17,84.17,263.70,246.65
221.61,187.52,84.17,84.17,263.70,229.61
170.47,187.52,84.17,84.17,212.56,229.61
153.43,187.52,84.17,84.17,195.51,229.61
136.38,187.52,84.17,84.17,178.46,229.61
153.43,187.52,84.17,84.17,195.51,229.61
136.38,187.52,84.17,84.17,178.46,229.61
119.33,187.52,84.17,84.17,161.42,229.61
85.24,170.47,84.17,84.17,127.32,212.56
102.28,153.43,84.17,84.17,144.37,195.51
119.33,136.38,84.17,84.17,161.42,178.46
153.43,153.43,84.17,84.17,195.51,195.51
187.52,170.47,84.17,84.17,229.61,212.56
272.76,187.52,84.17,84.17,314.84,229.61
289.80,204.57,84.17,84.17,331.89,246.65
306.85,204.57,84.17,84.17,348.94,246.65
289.80,187.52,84.17,84.17,331.89,229.61
306.85,187.52,84.17,84.17,348.94,229.61
323.90,204.57,84.17,84.17,365.98,246.65
357.99,170.47,84.17,84.17,400.08,212.56
357.99,153.43,84.17,84.17,400.08,195.51
323.90,153.43,84.17,84.17,365.98,195.51
306.85,153.43,84.17,84.17,348.94,195.51
272.76,153.43,84.17,84.17,314.84,195.51
221.61,289.80,84.17,84.17,263.70,331.89
204.57,272.76,84.17,84.17,246.65,314.84
170.47,272.76,84.17,84.17,212.56,314.84
136.38,289.80,84.17,84.17,178.46,331.89
153.43,289.80,84.17,84.17,195.51,331.89
204.57,289.80,84.17,84.17,246.65,331.89
221.61,306.85,84.17,84.17,263.70,348.94
255.71,289.80,84.17,84.17,297.79,331.89
272.76,306.85,84.17,84.17,314.84,348.94
289.80,306.85,84.17,84.17,331.89,348.94
272.76,306.85,84.17,84.17,314.84,348.94
272.76,306.85,84.17,84.17,314.84,348.94
272.76,340.95,84.17,84.17,314.84,383.03
255.71,323.90,84.17,84.17,297.79,365.98
255.71,340.95,84.17,84.17,297.79,383.03
221.61,323.90,84.17,84.17,263.70,365.98
170.47,323.90,84.17,84.17,212.56,365.98
170.47,289.80,84.17,84.17,212.56,331.89
153.43,289.80,84.17,84.17,195.51,331.89
221.61,340.95,84.17,84.17,263.70,383.03
238.66,426.18,84.17,84.17,280.75,468.27
187.52,409.13,84.17,84.17,229.61,451.22
153.43,392.09,84.17,84.17,195.51,434.17
119.33,357.99,84.17,84.17,161.42,400.08
102.28,323.90,84.17,84.17,144.37,365.98
85.24,289.80,84.17,84.17,127.32,331.89
85.24,255.71,84.17,84.17,127.32,297.79
68.19,204.57,84.17,84.17,110.27,246.65
68.19,170.47,84.17,84.17,110.27,212.56
289.80,409.13,84.17,84.17,331.89,451.22
323.90,375.04,84.17,84.17,365.98,417.13
357.99,357.99,84.17,84.17,400.08,400.08
375.04,306.85,84.17,84.17,417.13,348.94
392.09,272.76,84.17,84.17,434.17,314.84
409.13,238.66,84.17,84.17,451.22,280.75
426.18,187.52,84.17,84.17,468.27,229.61
426.18,136.38,84.17,84.17,468.27,178.46
