216,0
x,y,dx,dy,x_c,y_c
240.23,315.64,74.33,74.33,277.40,352.81
240.23,315.64,74.33,74.33,277.40,352.81
225.15,300.56,74.33,74.33,262.32,337.72
255.31,300.56,74.33,74.33,292.48,337.72
270.40,300.56,74.33,74.33,307.56,337.72
240.23,285.48,74.33,74.33,277.40,322.64
240.23,270.40,74.33,74.33,277.40,307.56
240.23,240.23,74.33,74.33,277.40,277.40
240.23,225.15,74.33,74.33,277.40,262.32
210.07,225.15,74.33,74.33,247.23,262.32
194.99,225.15,74.33,74.33,232.15,262.32
194.99,225.15,74.33,74.33,232.15,262.32
194.99,225.15,74.33,74.33,232.15,262.32
194.99,225.15,74.33,74.33,232.15,262.32
179.90,225.15,74.33,74.33,217.07,262.32
134.66,210.07,74.33,74.33,171.82,247.23
149.74,179.90,74.33,74.33,186.91,217.07
179.90,179.90,74.33,74.33,217.07,217.07
194.99,194.99,74.33,74.33,232.15,232.15
210.07,194.99,74.33,74.33,247.23,232.15
285.48,225.15,74.33,74.33,322.64,262.32
300.56,225.15,74.33,74.33,337.72,262.32
315.64,225.15,74.33,74.33,352.81,262.32
300.56,210.07,74.33,74.33,337.72,247.23
315.64,210.07,74.33,74.33,352.81,247.23
329.65,210.07,74.33,74.33,366.81,247.23
359.81,179.90,74.33,74.33,396.97,217.07
344.73,164.82,74.33,74.33,381.89,201.99
315.64,164.82,74.33,74.33,352.81,201.99
300.56,164.82,74.33,74.33,337.72,201.99
270.40,179.90,74.33,74.33,307.56,217.07
240.23,329.65,74.33,74.33,277.40,366.81
225.15,329.65,74.33,74.33,262.32,366.81
210.07,329.65,74.33,74.33,247.23,366.81
194.99,344.73,74.33,74.33,232.15,381.89
210.07,344.73,74.33,74.33,247.23,381.89
225.15,344.73,74.33,74.33,262.32,381.89
240.23,344.73,74.33,74.33,277.40,381.89
270.40,315.64,74.33,74.33,307.56,352.81
300.56,315.64,74.33,74.33,337.72,352.81
315.64,329.65,74.33,74.33,352.81,366.81
315.64,329.65,74.33,74.33,352.81,366.81
285.48,329.65,74.33,74.33,322.64,366.81
300.56,359.81,74.33,74.33,337.72,396.97
285.48,344.73,74.33,74.33,322.64,381.89
285.48,374.89,74.33,74.33,322.64,412.06
255.31,359.81,74.33,74.33,292.48,396.97
225.15,374.89,74.33,74.33,262.32,412.06
225.15,344.73,74.33,74.33,262.32,381.89
210.07,359.81,74.33,74.33,247.23,396.97
255.31,374.89,74.33,74.33,292.48,412.06
270.40,450.30,74.33,74.33,307.56,487.47
240.23,450.30,74.33,74.33,277.40,487.47
210.07,420.14,74.33,74.33,247.23,457.30
179.90,389.97,74.33,74.33,217.07,427.14
164.82,374.89,74.33,74.33,201.99,412.06
149.74,329.65,74.33,74.33,186.91,366.81
149.74,300.56,74.33,74.33,186.91,337.72
134.66,255.31,74.33,74.33,171.82,292.48
134.66,210.07,74.33,74.33,171.82,247.23
300.56,450.30,74.33,74.33,337.72,487.47
329.65,435.22,74.33,74.33,366.81,472.38
374.89,405.05,74.33,74.33,412.06,442.22
389.97,359.81,74.33,74.33,427.14,396.97
405.05,329.65,74.33,74.33,442.22,366.81
420.14,285.48,74.33,74.33,457.30,322.64
420.14,240.23,74.33,74.33,457.30,277.40
420.14,194.99,74.33,74.33,457.30,232.15
