84,30
x,y,dx,dy,x_c,y_c
243.27,289.09,75.27,75.27,280.91,326.73
228.00,289.09,75.27,75.27,265.64,326.73
212.73,289.09,75.27,75.27,250.36,326.73
243.27,289.09,75.27,75.27,280.91,326.73
258.55,289.09,75.27,75.27,296.18,326.73
212.73,258.55,75.27,75.27,250.36,296.18
212.73,243.27,75.27,75.27,250.36,280.91
228.00,212.73,75.27,75.27,265.64,250.36
228.00,197.45,75.27,75.27,265.64,235.09
197.45,197.45,75.27,75.27,235.09,235.09
182.18,197.45,75.27,75.27,219.82,235.09
166.91,197.45,75.27,75.27,204.55,235.09
182.18,197.45,75.27,75.27,219.82,235.09
182.18,197.45,75.27,75.27,219.82,235.09
166.91,197.45,75.27,75.27,204.55,235.09
166.91,136.36,75.27,75.27,204.55,174.00
166.91,136.36,75.27,75.27,204.55,174.00
166.91,121.09,75.27,75.27,204.55,158.73
182.18,136.36,75.27,75.27,219.82,174.00
182.18,136.36,75.27,75.27,219.82,174.00
273.82,197.45,75.27,75.27,311.45,235.09
289.09,197.45,75.27,75.27,326.73,235.09
289.09,197.45,75.27,75.27,326.73,235.09
289.09,182.18,75.27,75.27,326.73,219.82
304.36,182.18,75.27,75.27,342.00,219.82
319.64,182.18,75.27,75.27,357.27,219.82
364.36,151.64,75.27,75.27,402.00,189.27
333.82,136.36,75.27,75.27,371.45,174.00
304.36,121.09,75.27,75.27,342.00,158.73
273.82,136.36,75.27,75.27,311.45,174.00
243.27,136.36,75.27,75.27,280.91,174.00
243.27,319.64,75.27,75.27,280.91,357.27
228.00,319.64,75.27,75.27,265.64,357.27
212.73,319.64,75.27,75.27,250.36,357.27
212.73,333.82,75.27,75.27,250.36,371.45
228.00,333.82,75.27,75.27,265.64,371.45
228.00,319.64,75.27,75.27,265.64,357.27
243.27,319.64,75.27,75.27,280.91,357.27
273.82,319.64,75.27,75.27,311.45,357.27
304.36,319.64,75.27,75.27,342.00,357.27
319.64,333.82,75.27,75.27,357.27,371.45
289.09,319.64,75.27,75.27,326.73,357.27
273.82,319.64,75.27,75.27,311.45,357.27
304.36,349.09,75.27,75.27,342.00,386.73
273.82,319.64,75.27,75.27,311.45,357.27
289.09,333.82,75.27,75.27,326.73,371.45
258.55,304.36,75.27,75.27,296.18,342.00
228.00,333.82,75.27,75.27,265.64,371.45
228.00,319.64,75.27,75.27,265.64,357.27
212.73,333.82,75.27,75.27,250.36,371.45
258.55,319.64,75.27,75.27,296.18,357.27
243.27,394.91,75.27,75.27,280.91,432.55
228.00,379.64,75.27,75.27,265.64,417.27
212.73,364.36,75.27,75.27,250.36,402.00
212.73,349.09,75.27,75.27,250.36,386.73
182.18,319.64,75.27,75.27,219.82,357.27
182.18,289.09,75.27,75.27,219.82,326.73
182.18,273.82,75.27,75.27,219.82,311.45
166.91,258.55,75.27,75.27,204.55,296.18
166.91,243.27,75.27,75.27,204.55,280.91
289.09,379.64,75.27,75.27,326.73,417.27
333.82,364.36,75.27,75.27,371.45,402.00
379.64,349.09,75.27,75.27,417.27,386.73
410.18,319.64,75.27,75.27,447.82,357.27
425.45,289.09,75.27,75.27,463.09,326.73
440.73,258.55,75.27,75.27,478.36,296.18
440.73,212.73,75.27,75.27,478.36,250.36
456.00,182.18,75.27,75.27,493.64,219.82
