120,0
x,y,dx,dy,x_c,y_c
125.00,139.00,34.00,34.00,142.00,156.00
118.00,139.00,34.00,34.00,135.00,156.00
111.00,132.00,34.00,34.00,128.00,149.00
132.00,139.00,34.00,34.00,149.00,156.00
139.00,139.00,34.00,34.00,156.00,156.00
125.00,125.00,34.00,34.00,142.00,142.00
125.00,111.00,34.00,34.00,142.00,128.00
125.00,98.00,34.00,34.00,142.00,115.00
125.00,91.00,34.00,34.00,142.00,108.00
104.00,91.00,34.00,34.00,121.00,108.00
98.00,91.00,34.00,34.00,115.00,108.00
91.00,91.00,34.00,34.00,108.00,108.00
98.00,91.00,34.00,34.00,115.00,108.00
91.00,91.00,34.00,34.00,108.00,108.00
84.00,91.00,34.00,34.00,101.00,108.00
63.00,77.00,34.00,34.00,80.00,94.00
70.00,70.00,34.00,34.00,87.00,87.00
77.00,70.00,34.00,34.00,94.00,87.00
91.00,70.00,34.00,34.00,108.00,87.00
104.00,77.00,34.00,34.00,121.00,94.00
139.00,98.00,34.00,34.00,156.00,115.00
146.00,98.00,34.00,34.00,163.00,115.00
153.00,98.00,34.00,34.00,170.00,115.00
146.00,98.00,34.00,34.00,163.00,115.00
153.00,98.00,34.00,34.00,170.00,115.00
160.00,98.00,34.00,34.00,177.00,115.00
174.00,91.00,34.00,34.00,191.00,108.00
167.00,91.00,34.00,34.00,184.00,108.00
160.00,91.00,34.00,34.00,177.00,108.00
153.00,91.00,34.00,34.00,170.00,108.00
139.00,98.00,34.00,34.00,156.00,115.00
125.00,146.00,34.00,34.00,142.00,163.00
111.00,139.00,34.00,34.00,128.00,156.00
98.00,146.00,34.00,34.00,115.00,163.00
91.00,153.00,34.00,34.00,108.00,170.00
91.00,153.00,34.00,34.00,108.00,170.00
104.00,146.00,34.00,34.00,121.00,163.00
125.00,153.00,34.00,34.00,142.00,170.00
139.00,139.00,34.00,34.00,156.00,156.00
153.00,146.00,34.00,34.00,170.00,163.00
160.00,146.00,34.00,34.00,177.00,163.00
153.00,146.00,34.00,34.00,170.00,163.00
146.00,146.00,34.00,34.00,163.00,163.00
153.00,160.00,34.00,34.00,170.00,177.00
139.00,153.00,34.00,34.00,156.00,170.00
139.00,167.00,34.00,34.00,156.00,184.00
118.00,160.00,34.00,34.00,135.00,177.00
98.00,167.00,34.00,34.00,115.00,184.00
98.00,153.00,34.00,34.00,115.00,170.00
91.00,160.00,34.00,34.00,108.00,177.00
118.00,167.00,34.00,34.00,135.00,184.00
125.00,202.00,34.00,34.00,142.00,219.00
98.00,202.00,34.00,34.00,115.00,219.00
84.00,195.00,34.00,34.00,101.00,212.00
70.00,181.00,34.00,34.00,87.00,198.00
56.00,167.00,34.00,34.00,73.00,184.00
49.00,146.00,34.00,34.00,66.00,163.00
49.00,132.00,34.00,34.00,66.00,149.00
49.00,111.00,34.00,34.00,66.00,128.00
49.00,98.00,34.00,34.00,66.00,115.00
139.00,195.00,34.00,34.00,156.00,212.00
153.00,188.00,34.00,34.00,170.00,205.00
167.00,174.00,34.00,34.00,184.00,191.00
174.00,153.00,34.00,34.00,191.00,170.00
181.00,139.00,34.00,34.00,198.00,156.00
188.00,125.00,34.00,34.00,205.00,142.00
195.00,104.00,34.00,34.00,212.00,121.00
195.00,84.00,34.00,34.00,212.00,101.00
