58,0
x,y,dx,dy,x_c,y_c
237.00,293.00,69.00,69.00,271.50,327.50
223.00,320.00,69.00,69.00,257.50,354.50
209.00,320.00,69.00,69.00,243.50,354.50
251.00,293.00,69.00,69.00,285.50,327.50
251.00,293.00,69.00,69.00,285.50,327.50
237.00,265.00,69.00,69.00,271.50,299.50
237.00,251.00,69.00,69.00,271.50,285.50
237.00,223.00,69.00,69.00,271.50,257.50
237.00,209.00,69.00,69.00,271.50,243.50
195.00,209.00,69.00,69.00,229.50,243.50
195.00,209.00,69.00,69.00,229.50,243.50
181.00,209.00,69.00,69.00,215.50,243.50
181.00,209.00,69.00,69.00,215.50,243.50
181.00,209.00,69.00,69.00,215.50,243.50
167.00,209.00,69.00,69.00,201.50,243.50
125.00,181.00,69.00,69.00,159.50,215.50
139.00,167.00,69.00,69.00,173.50,201.50
153.00,153.00,69.00,69.00,187.50,187.50
181.00,167.00,69.00,69.00,215.50,201.50
209.00,181.00,69.00,69.00,243.50,215.50
265.00,209.00,69.00,69.00,299.50,243.50
279.00,209.00,69.00,69.00,313.50,243.50
293.00,209.00,69.00,69.00,327.50,243.50
279.00,195.00,69.00,69.00,313.50,229.50
293.00,195.00,69.00,69.00,327.50,229.50
306.00,195.00,69.00,69.00,340.50,229.50
334.00,167.00,69.00,69.00,368.50,201.50
320.00,167.00,69.00,69.00,354.50,201.50
293.00,167.00,69.00,69.00,327.50,201.50
279.00,167.00,69.00,69.00,313.50,201.50
251.00,167.00,69.00,69.00,285.50,201.50
237.00,306.00,69.00,69.00,271.50,340.50
223.00,293.00,69.00,69.00,257.50,327.50
209.00,293.00,69.00,69.00,243.50,327.50
195.00,320.00,69.00,69.00,229.50,354.50
195.00,306.00,69.00,69.00,229.50,340.50
209.00,306.00,69.00,69.00,243.50,340.50
237.00,306.00,69.00,69.00,271.50,340.50
265.00,293.00,69.00,69.00,299.50,327.50
293.00,293.00,69.00,69.00,327.50,327.50
306.00,306.00,69.00,69.00,340.50,340.50
306.00,293.00,69.00,69.00,340.50,327.50
279.00,306.00,69.00,69.00,313.50,340.50
293.00,334.00,69.00,69.00,327.50,368.50
265.00,320.00,69.00,69.00,299.50,354.50
265.00,334.00,69.00,69.00,299.50,368.50
237.00,320.00,69.00,69.00,271.50,354.50
209.00,334.00,69.00,69.00,243.50,368.50
209.00,306.00,69.00,69.00,243.50,340.50
195.00,320.00,69.00,69.00,229.50,354.50
237.00,334.00,69.00,69.00,271.50,368.50
251.00,404.00,69.00,69.00,285.50,438.50
223.00,390.00,69.00,69.00,257.50,424.50
195.00,362.00,69.00,69.00,229.50,396.50
167.00,334.00,69.00,69.00,201.50,368.50
139.00,306.00,69.00,69.00,173.50,340.50
125.00,265.00,69.00,69.00,159.50,299.50
125.00,237.00,69.00,69.00,159.50,271.50
111.00,195.00,69.00,69.00,145.50,229.50
111.00,153.00,69.00,69.00,145.50,187.50
279.00,390.00,69.00,69.00,313.50,424.50
306.00,362.00,69.00,69.00,340.50,396.50
334.00,348.00,69.00,69.00,368.50,382.50
348.00,306.00,69.00,69.00,382.50,340.50
362.00,279.00,69.00,69.00,396.50,313.50
362.00,251.00,69.00,69.00,396.50,285.50
362.00,209.00,69.00,69.00,396.50,243.50
362.00,167.00,69.00,69.00,396.50,201.50
