124,0
x,y,dx,dy,x_c,y_c
148.00,179.00,52.00,52.00,174.00,205.00
137.00,179.00,52.00,52.00,163.00,205.00
127.00,179.00,52.00,52.00,153.00,205.00
158.00,179.00,52.00,52.00,184.00,205.00
169.00,179.00,52.00,52.00,195.00,205.00
148.00,158.00,52.00,52.00,174.00,184.00
148.00,148.00,52.00,52.00,174.00,174.00
148.00,127.00,52.00,52.00,174.00,153.00
148.00,116.00,52.00,52.00,174.00,142.00
116.00,116.00,52.00,52.00,142.00,142.00
116.00,116.00,52.00,52.00,142.00,142.00
116.00,116.00,52.00,52.00,142.00,142.00
106.00,116.00,52.00,52.00,132.00,142.00
106.00,116.00,52.00,52.00,132.00,142.00
95.00,116.00,52.00,52.00,121.00,142.00
74.00,95.00,52.00,52.00,100.00,121.00
84.00,84.00,52.00,52.00,110.00,110.00
95.00,84.00,52.00,52.00,121.00,110.00
116.00,84.00,52.00,52.00,142.00,110.00
137.00,84.00,52.00,52.00,163.00,110.00
179.00,116.00,52.00,52.00,205.00,142.00
190.00,116.00,52.00,52.00,216.00,142.00
190.00,116.00,52.00,52.00,216.00,142.00
190.00,116.00,52.00,52.00,216.00,142.00
201.00,116.00,52.00,52.00,227.00,142.00
211.00,116.00,52.00,52.00,237.00,142.00
232.00,106.00,52.00,52.00,258.00,132.00
222.00,95.00,52.00,52.00,248.00,121.00
201.00,84.00,52.00,52.00,227.00,110.00
179.00,84.00,52.00,52.00,205.00,110.00
158.00,84.00,52.00,52.00,184.00,110.00
148.00,190.00,52.00,52.00,174.00,216.00
127.00,190.00,52.00,52.00,153.00,216.00
116.00,201.00,52.00,52.00,142.00,227.00
106.00,211.00,52.00,52.00,132.00,237.00
106.00,211.00,52.00,52.00,132.00,237.00
116.00,201.00,52.00,52.00,142.00,227.00
148.00,201.00,52.00,52.00,174.00,227.00
169.00,190.00,52.00,52.00,195.00,216.00
179.00,201.00,52.00,52.00,205.00,227.00
190.00,201.00,52.00,52.00,216.00,227.00
190.00,201.00,52.00,52.00,216.00,227.00
179.00,201.00,52.00,52.00,205.00,227.00
179.00,222.00,52.00,52.00,205.00,248.00
169.00,211.00,52.00,52.00,195.00,237.00
169.00,222.00,52.00,52.00,195.00,248.00
148.00,211.00,52.00,52.00,174.00,237.00
116.00,222.00,52.00,52.00,142.00,248.00
116.00,201.00,52.00,52.00,142.00,227.00
106.00,201.00,52.00,52.00,132.00,227.00
148.00,222.00,52.00,52.00,174.00,248.00
158.00,274.00,52.00,52.00,184.00,300.00
137.00,264.00,52.00,52.00,163.00,290.00
116.00,243.00,52.00,52.00,142.00,269.00
95.00,222.00,52.00,52.00,121.00,248.00
74.00,201.00,52.00,52.00,100.00,227.00
63.00,169.00,52.00,52.00,89.00,195.00
63.00,137.00,52.00,52.00,89.00,163.00
53.00,106.00,52.00,52.00,79.00,132.00
53.00,74.00,52.00,52.00,79.00,100.00
179.00,264.00,52.00,52.00,205.00,290.00
201.00,253.00,52.00,52.00,227.00,279.00
222.00,243.00,52.00,52.00,248.00,269.00
232.00,222.00,52.00,52.00,258.00,248.00
243.00,201.00,52.00,52.00,269.00,227.00
253.00,179.00,52.00,52.00,279.00,205.00
253.00,148.00,52.00,52.00,279.00,174.00
253.00,116.00,52.00,52.00,279.00,142.00
