188,30
x,y,dx,dy,x_c,y_c
128.00,160.00,39.00,39.00,147.50,179.50
128.00,160.00,39.00,39.00,147.50,179.50
120.00,160.00,39.00,39.00,139.50,179.50
136.00,160.00,39.00,39.00,155.50,179.50
144.00,160.00,39.00,39.00,163.50,179.50
128.00,144.00,39.00,39.00,147.50,163.50
128.00,136.00,39.00,39.00,147.50,155.50
136.00,120.00,39.00,39.00,155.50,139.50
136.00,104.00,39.00,39.00,155.50,123.50
112.00,104.00,39.00,39.00,131.50,123.50
104.00,104.00,39.00,39.00,123.50,123.50
96.00,104.00,39.00,39.00,115.50,123.50
104.00,104.00,39.00,39.00,123.50,123.50
104.00,104.00,39.00,39.00,123.50,123.50
96.00,104.00,39.00,39.00,115.50,123.50
88.00,88.00,39.00,39.00,107.50,107.50
88.00,88.00,39.00,39.00,107.50,107.50
96.00,80.00,39.00,39.00,115.50,99.50
104.00,88.00,39.00,39.00,123.50,107.50
112.00,88.00,39.00,39.00,131.50,107.50
160.00,104.00,39.00,39.00,179.50,123.50
168.00,112.00,39.00,39.00,187.50,131.50
176.00,112.00,39.00,39.00,195.50,131.50
168.00,104.00,39.00,39.00,187.50,123.50
176.00,104.00,39.00,39.00,195.50,123.50
176.00,112.00,39.00,39.00,195.50,131.50
200.00,96.00,39.00,39.00,219.50,115.50
184.00,88.00,39.00,39.00,203.50,107.50
176.00,88.00,39.00,39.00,195.50,107.50
160.00,88.00,39.00,39.00,179.50,107.50
144.00,88.00,39.00,39.00,163.50,107.50
128.00,168.00,39.00,39.00,147.50,187.50
120.00,168.00,39.00,39.00,139.50,187.50
112.00,168.00,39.00,39.00,131.50,187.50
104.00,176.00,39.00,39.00,123.50,195.50
112.00,176.00,39.00,39.00,131.50,195.50
120.00,168.00,39.00,39.00,139.50,187.50
128.00,168.00,39.00,39.00,147.50,187.50
144.00,168.00,39.00,39.00,163.50,187.50
160.00,168.00,39.00,39.00,179.50,187.50
168.00,168.00,39.00,39.00,187.50,187.50
152.00,168.00,39.00,39.00,171.50,187.50
136.00,168.00,39.00,39.00,155.50,187.50
160.00,184.00,39.00,39.00,179.50,203.50
144.00,176.00,39.00,39.00,163.50,195.50
144.00,184.00,39.00,39.00,163.50,203.50
128.00,176.00,39.00,39.00,147.50,195.50
112.00,184.00,39.00,39.00,131.50,203.50
120.00,168.00,39.00,39.00,139.50,187.50
112.00,184.00,39.00,39.00,131.50,203.50
128.00,184.00,39.00,39.00,147.50,203.50
128.00,232.00,39.00,39.00,147.50,251.50
112.00,224.00,39.00,39.00,131.50,243.50
104.00,216.00,39.00,39.00,123.50,235.50
96.00,200.00,39.00,39.00,115.50,219.50
80.00,184.00,39.00,39.00,99.50,203.50
80.00,168.00,39.00,39.00,99.50,187.50
80.00,160.00,39.00,39.00,99.50,179.50
72.00,144.00,39.00,39.00,91.50,163.50
72.00,136.00,39.00,39.00,91.50,155.50
144.00,224.00,39.00,39.00,163.50,243.50
168.00,216.00,39.00,39.00,187.50,235.50
184.00,208.00,39.00,39.00,203.50,227.50
200.00,200.00,39.00,39.00,219.50,219.50
208.00,184.00,39.00,39.00,227.50,203.50
216.00,168.00,39.00,39.00,235.50,187.50
224.00,144.00,39.00,39.00,243.50,163.50
224.00,128.00,39.00,39.00,243.50,147.50
