54,0
x,y,dx,dy,x_c,y_c
232.00,243.00,52.00,52.00,258.00,269.00
222.00,243.00,52.00,52.00,248.00,269.00
211.00,243.00,52.00,52.00,237.00,269.00
243.00,243.00,52.00,52.00,269.00,269.00
253.00,243.00,52.00,52.00,279.00,269.00
232.00,222.00,52.00,52.00,258.00,248.00
232.00,211.00,52.00,52.00,258.00,237.00
243.00,190.00,52.00,52.00,269.00,216.00
253.00,179.00,52.00,52.00,279.00,205.00
222.00,179.00,52.00,52.00,248.00,205.00
211.00,179.00,52.00,52.00,237.00,205.00
201.00,179.00,52.00,52.00,227.00,205.00
211.00,169.00,52.00,52.00,237.00,195.00
201.00,169.00,52.00,52.00,227.00,195.00
190.00,179.00,52.00,52.00,216.00,205.00
169.00,169.00,52.00,52.00,195.00,195.00
179.00,158.00,52.00,52.00,205.00,184.00
201.00,148.00,52.00,52.00,227.00,174.00
222.00,158.00,52.00,52.00,248.00,184.00
232.00,169.00,52.00,52.00,258.00,195.00
285.00,179.00,52.00,52.00,311.00,205.00
296.00,190.00,52.00,52.00,322.00,216.00
306.00,190.00,52.00,52.00,332.00,216.00
296.00,179.00,52.00,52.00,322.00,205.00
306.00,179.00,52.00,52.00,332.00,205.00
317.00,190.00,52.00,52.00,343.00,216.00
338.00,169.00,52.00,52.00,364.00,195.00
327.00,169.00,52.00,52.00,353.00,195.00
306.00,169.00,52.00,52.00,332.00,195.00
296.00,169.00,52.00,52.00,322.00,195.00
285.00,169.00,52.00,52.00,311.00,195.00
232.00,253.00,52.00,52.00,258.00,279.00
211.00,253.00,52.00,52.00,237.00,279.00
201.00,264.00,52.00,52.00,227.00,290.00
190.00,285.00,52.00,52.00,216.00,311.00
201.00,274.00,52.00,52.00,227.00,300.00
211.00,264.00,52.00,52.00,237.00,290.00
232.00,264.00,52.00,52.00,258.00,290.00
253.00,253.00,52.00,52.00,279.00,279.00
274.00,264.00,52.00,52.00,300.00,290.00
285.00,274.00,52.00,52.00,311.00,300.00
274.00,264.00,52.00,52.00,300.00,290.00
253.00,264.00,52.00,52.00,279.00,290.00
285.00,296.00,52.00,52.00,311.00,322.00
274.00,296.00,52.00,52.00,300.00,322.00
274.00,317.00,52.00,52.00,300.00,343.00
253.00,306.00,52.00,52.00,279.00,332.00
222.00,317.00,52.00,52.00,248.00,343.00
211.00,296.00,52.00,52.00,237.00,322.00
201.00,296.00,52.00,52.00,227.00,322.00
253.00,317.00,52.00,52.00,279.00,343.00
253.00,369.00,52.00,52.00,279.00,395.00
222.00,369.00,52.00,52.00,248.00,395.00
201.00,348.00,52.00,52.00,227.00,374.00
169.00,327.00,52.00,52.00,195.00,353.00
148.00,306.00,52.00,52.00,174.00,332.00
127.00,274.00,52.00,52.00,153.00,300.00
116.00,253.00,52.00,52.00,142.00,279.00
106.00,222.00,52.00,52.00,132.00,248.00
106.00,190.00,52.00,52.00,132.00,216.00
274.00,359.00,52.00,52.00,300.00,385.00
296.00,327.00,52.00,52.00,322.00,353.00
317.00,306.00,52.00,52.00,343.00,332.00
327.00,274.00,52.00,52.00,353.00,300.00
338.00,243.00,52.00,52.00,364.00,269.00
338.00,211.00,52.00,52.00,364.00,237.00
338.00,179.00,52.00,52.00,364.00,205.00
338.00,148.00,52.00,52.00,364.00,174.00
