66,0
x,y,dx,dy,x_c,y_c
265.09,310.91,56.73,56.73,293.45,339.27
253.09,310.91,56.73,56.73,281.45,339.27
242.18,310.91,56.73,56.73,270.55,339.27
276.00,310.91,56.73,56.73,304.36,339.27
288.00,310.91,56.73,56.73,316.36,339.27
265.09,288.00,56.73,56.73,293.45,316.36
265.09,276.00,56.73,56.73,293.45,304.36
265.09,253.09,56.73,56.73,293.45,281.45
265.09,230.18,56.73,56.73,293.45,258.55
230.18,230.18,56.73,56.73,258.55,258.55
219.27,230.18,56.73,56.73,247.64,258.55
219.27,230.18,56.73,56.73,247.64,258.55
219.27,230.18,56.73,56.73,247.64,258.55
207.27,230.18,56.73,56.73,235.64,258.55
195.27,230.18,56.73,56.73,223.64,258.55
172.36,207.27,56.73,56.73,200.73,235.64
184.36,207.27,56.73,56.73,212.73,235.64
195.27,207.27,56.73,56.73,223.64,235.64
219.27,207.27,56.73,56.73,247.64,235.64
242.18,207.27,56.73,56.73,270.55,235.64
298.91,230.18,56.73,56.73,327.27,258.55
310.91,242.18,56.73,56.73,339.27,270.55
322.91,242.18,56.73,56.73,351.27,270.55
310.91,230.18,56.73,56.73,339.27,258.55
322.91,230.18,56.73,56.73,351.27,258.55
333.82,230.18,56.73,56.73,362.18,258.55
356.73,207.27,56.73,56.73,385.09,235.64
345.82,207.27,56.73,56.73,374.18,235.64
322.91,207.27,56.73,56.73,351.27,235.64
298.91,207.27,56.73,56.73,327.27,235.64
276.00,207.27,56.73,56.73,304.36,235.64
265.09,322.91,56.73,56.73,293.45,351.27
253.09,310.91,56.73,56.73,281.45,339.27
242.18,310.91,56.73,56.73,270.55,339.27
230.18,322.91,56.73,56.73,258.55,351.27
242.18,322.91,56.73,56.73,270.55,351.27
242.18,310.91,56.73,56.73,270.55,339.27
265.09,333.82,56.73,56.73,293.45,362.18
288.00,310.91,56.73,56.73,316.36,339.27
298.91,322.91,56.73,56.73,327.27,351.27
310.91,322.91,56.73,56.73,339.27,351.27
310.91,333.82,56.73,56.73,339.27,362.18
288.00,333.82,56.73,56.73,316.36,362.18
310.91,345.82,56.73,56.73,339.27,374.18
298.91,333.82,56.73,56.73,327.27,362.18
298.91,356.73,56.73,56.73,327.27,385.09
276.00,345.82,56.73,56.73,304.36,374.18
253.09,356.73,56.73,56.73,281.45,385.09
253.09,333.82,56.73,56.73,281.45,362.18
242.18,333.82,56.73,56.73,270.55,362.18
276.00,356.73,56.73,56.73,304.36,385.09
288.00,402.55,56.73,56.73,316.36,430.91
253.09,391.64,56.73,56.73,281.45,420.00
230.18,356.73,56.73,56.73,258.55,385.09
207.27,322.91,56.73,56.73,235.64,351.27
184.36,298.91,56.73,56.73,212.73,327.27
172.36,265.09,56.73,56.73,200.73,293.45
172.36,230.18,56.73,56.73,200.73,258.55
172.36,195.27,56.73,56.73,200.73,223.64
172.36,161.45,56.73,56.73,200.73,189.82
310.91,391.64,56.73,56.73,339.27,420.00
333.82,368.73,56.73,56.73,362.18,397.09
368.73,345.82,56.73,56.73,397.09,374.18
379.64,310.91,56.73,56.73,408.00,339.27
391.64,288.00,56.73,56.73,420.00,316.36
402.55,265.09,56.73,56.73,430.91,293.45
402.55,230.18,56.73,56.73,430.91,258.55
402.55,207.27,56.73,56.73,430.91,235.64
