178,0
x,y,dx,dy,x_c,y_c
262.04,296.97,86.25,86.25,305.16,340.10
244.57,296.97,86.25,86.25,287.69,340.10
227.10,296.97,86.25,86.25,270.22,340.10
279.51,296.97,86.25,86.25,322.63,340.10
296.97,296.97,86.25,86.25,340.10,340.10
262.04,279.51,86.25,86.25,305.16,322.63
262.04,262.04,86.25,86.25,305.16,305.16
262.04,227.10,86.25,86.25,305.16,270.22
262.04,209.63,86.25,86.25,305.16,252.76
209.63,209.63,86.25,86.25,252.76,252.76
192.16,209.63,86.25,86.25,235.29,252.76
192.16,209.63,86.25,86.25,235.29,252.76
192.16,209.63,86.25,86.25,235.29,252.76
192.16,209.63,86.25,86.25,235.29,252.76
174.69,209.63,86.25,86.25,217.82,252.76
122.28,174.69,86.25,86.25,165.41,217.82
139.75,157.22,86.25,86.25,182.88,200.35
174.69,157.22,86.25,86.25,217.82,200.35
209.63,174.69,86.25,86.25,252.76,217.82
227.10,174.69,86.25,86.25,270.22,217.82
296.97,209.63,86.25,86.25,340.10,252.76
314.44,209.63,86.25,86.25,357.57,252.76
331.91,209.63,86.25,86.25,375.04,252.76
314.44,209.63,86.25,86.25,357.57,252.76
331.91,209.63,86.25,86.25,375.04,252.76
349.38,209.63,86.25,86.25,392.51,252.76
401.79,174.69,86.25,86.25,444.92,217.82
384.32,174.69,86.25,86.25,427.45,217.82
349.38,174.69,86.25,86.25,392.51,217.82
314.44,174.69,86.25,86.25,357.57,217.82
279.51,174.69,86.25,86.25,322.63,217.82
262.04,314.44,86.25,86.25,305.16,357.57
227.10,314.44,86.25,86.25,270.22,357.57
209.63,331.91,86.25,86.25,252.76,375.04
192.16,349.38,86.25,86.25,235.29,392.51
209.63,349.38,86.25,86.25,252.76,392.51
227.10,331.91,86.25,86.25,270.22,375.04
262.04,331.91,86.25,86.25,305.16,375.04
296.97,314.44,86.25,86.25,340.10,357.57
314.44,331.91,86.25,86.25,357.57,375.04
331.91,331.91,86.25,86.25,375.04,375.04
314.44,331.91,86.25,86.25,357.57,375.04
314.44,331.91,86.25,86.25,357.57,375.04
314.44,349.38,86.25,86.25,357.57,392.51
296.97,331.91,86.25,86.25,340.10,375.04
296.97,366.85,86.25,86.25,340.10,409.98
262.04,349.38,86.25,86.25,305.16,392.51
227.10,366.85,86.25,86.25,270.22,409.98
227.10,331.91,86.25,86.25,270.22,375.04
209.63,349.38,86.25,86.25,252.76,392.51
262.04,366.85,86.25,86.25,305.16,409.98
262.04,454.20,86.25,86.25,305.16,497.32
227.10,436.73,86.25,86.25,270.22,479.85
192.16,419.26,86.25,86.25,235.29,462.38
157.22,384.32,86.25,86.25,200.35,427.45
139.75,349.38,86.25,86.25,182.88,392.51
122.28,296.97,86.25,86.25,165.41,340.10
104.81,262.04,86.25,86.25,147.94,305.16
87.35,209.63,86.25,86.25,130.47,252.76
87.35,174.69,86.25,86.25,130.47,217.82
296.97,436.73,86.25,86.25,340.10,479.85
331.91,401.79,86.25,86.25,375.04,444.92
366.85,384.32,86.25,86.25,409.98,427.45
384.32,331.91,86.25,86.25,427.45,375.04
401.79,296.97,86.25,86.25,444.92,340.10
419.26,262.04,86.25,86.25,462.38,305.16
436.73,209.63,86.25,86.25,479.85,252.76
436.73,157.22,86.25,86.25,479.85,200.35
