102,0
x,y,dx,dy,x_c,y_c
291.27,291.27,65.45,65.45,324.00,324.00
278.18,291.27,65.45,65.45,310.91,324.00
265.09,291.27,65.45,65.45,297.82,324.00
304.36,291.27,65.45,65.45,337.09,324.00
317.45,291.27,65.45,65.45,350.18,324.00
291.27,265.09,65.45,65.45,324.00,297.82
291.27,237.82,65.45,65.45,324.00,270.55
278.18,211.64,65.45,65.45,310.91,244.36
278.18,198.55,65.45,65.45,310.91,231.27
237.82,211.64,65.45,65.45,270.55,244.36
224.73,211.64,65.45,65.45,257.45,244.36
211.64,211.64,65.45,65.45,244.36,244.36
224.73,198.55,65.45,65.45,257.45,231.27
211.64,198.55,65.45,65.45,244.36,231.27
198.55,211.64,65.45,65.45,231.27,244.36
159.27,185.45,65.45,65.45,192.00,218.18
172.36,172.36,65.45,65.45,205.09,205.09
198.55,159.27,65.45,65.45,231.27,192.00
224.73,172.36,65.45,65.45,257.45,205.09
250.91,172.36,65.45,65.45,283.64,205.09
317.45,198.55,65.45,65.45,350.18,231.27
330.55,198.55,65.45,65.45,363.27,231.27
343.64,198.55,65.45,65.45,376.36,231.27
330.55,185.45,65.45,65.45,363.27,218.18
330.55,185.45,65.45,65.45,363.27,218.18
343.64,185.45,65.45,65.45,376.36,218.18
370.91,159.27,65.45,65.45,403.64,192.00
356.73,159.27,65.45,65.45,389.45,192.00
330.55,159.27,65.45,65.45,363.27,192.00
317.45,159.27,65.45,65.45,350.18,192.00
291.27,159.27,65.45,65.45,324.00,192.00
291.27,304.36,65.45,65.45,324.00,337.09
278.18,304.36,65.45,65.45,310.91,337.09
265.09,317.45,65.45,65.45,297.82,350.18
250.91,343.64,65.45,65.45,283.64,376.36
250.91,330.55,65.45,65.45,283.64,363.27
265.09,317.45,65.45,65.45,297.82,350.18
291.27,317.45,65.45,65.45,324.00,350.18
317.45,304.36,65.45,65.45,350.18,337.09
330.55,317.45,65.45,65.45,363.27,350.18
343.64,330.55,65.45,65.45,376.36,363.27
343.64,317.45,65.45,65.45,376.36,350.18
330.55,317.45,65.45,65.45,363.27,350.18
330.55,356.73,65.45,65.45,363.27,389.45
317.45,343.64,65.45,65.45,350.18,376.36
317.45,356.73,65.45,65.45,350.18,389.45
278.18,343.64,65.45,65.45,310.91,376.36
250.91,356.73,65.45,65.45,283.64,389.45
265.09,330.55,65.45,65.45,297.82,363.27
250.91,343.64,65.45,65.45,283.64,376.36
278.18,356.73,65.45,65.45,310.91,389.45
278.18,410.18,65.45,65.45,310.91,442.91
237.82,397.09,65.45,65.45,270.55,429.82
211.64,370.91,65.45,65.45,244.36,403.64
185.45,343.64,65.45,65.45,218.18,376.36
159.27,330.55,65.45,65.45,192.00,363.27
145.09,304.36,65.45,65.45,177.82,337.09
132.00,278.18,65.45,65.45,164.73,310.91
118.91,237.82,65.45,65.45,151.64,270.55
118.91,211.64,65.45,65.45,151.64,244.36
304.36,397.09,65.45,65.45,337.09,429.82
330.55,370.91,65.45,65.45,363.27,403.64
343.64,343.64,65.45,65.45,376.36,376.36
356.73,304.36,65.45,65.45,389.45,337.09
370.91,278.18,65.45,65.45,403.64,310.91
384.00,237.82,65.45,65.45,416.73,270.55
397.09,198.55,65.45,65.45,429.82,231.27
397.09,159.27,65.45,65.45,429.82,192.00
