79,0
x,y,dx,dy,x_c,y_c
175.00,202.00,45.00,45.00,197.50,224.50
165.00,202.00,45.00,45.00,187.50,224.50
156.00,202.00,45.00,45.00,178.50,224.50
184.00,202.00,45.00,45.00,206.50,224.50
193.00,202.00,45.00,45.00,215.50,224.50
175.00,184.00,45.00,45.00,197.50,206.50
175.00,175.00,45.00,45.00,197.50,197.50
175.00,156.00,45.00,45.00,197.50,178.50
175.00,147.00,45.00,45.00,197.50,169.50
147.00,147.00,45.00,45.00,169.50,169.50
138.00,147.00,45.00,45.00,160.50,169.50
129.00,147.00,45.00,45.00,151.50,169.50
138.00,147.00,45.00,45.00,160.50,169.50
129.00,147.00,45.00,45.00,151.50,169.50
119.00,156.00,45.00,45.00,141.50,178.50
92.00,147.00,45.00,45.00,114.50,169.50
101.00,129.00,45.00,45.00,123.50,151.50
119.00,119.00,45.00,45.00,141.50,141.50
138.00,119.00,45.00,45.00,160.50,141.50
147.00,129.00,45.00,45.00,169.50,151.50
193.00,147.00,45.00,45.00,215.50,169.50
202.00,147.00,45.00,45.00,224.50,169.50
211.00,147.00,45.00,45.00,233.50,169.50
202.00,147.00,45.00,45.00,224.50,169.50
211.00,147.00,45.00,45.00,233.50,169.50
221.00,147.00,45.00,45.00,243.50,169.50
239.00,129.00,45.00,45.00,261.50,151.50
239.00,129.00,45.00,45.00,261.50,151.50
221.00,129.00,45.00,45.00,243.50,151.50
211.00,129.00,45.00,45.00,233.50,151.50
193.00,129.00,45.00,45.00,215.50,151.50
175.00,211.00,45.00,45.00,197.50,233.50
156.00,202.00,45.00,45.00,178.50,224.50
147.00,211.00,45.00,45.00,169.50,233.50
138.00,221.00,45.00,45.00,160.50,243.50
147.00,221.00,45.00,45.00,169.50,243.50
156.00,211.00,45.00,45.00,178.50,233.50
175.00,221.00,45.00,45.00,197.50,243.50
193.00,211.00,45.00,45.00,215.50,233.50
202.00,221.00,45.00,45.00,224.50,243.50
211.00,221.00,45.00,45.00,233.50,243.50
202.00,221.00,45.00,45.00,224.50,243.50
193.00,221.00,45.00,45.00,215.50,243.50
202.00,230.00,45.00,45.00,224.50,252.50
193.00,221.00,45.00,45.00,215.50,243.50
193.00,239.00,45.00,45.00,215.50,261.50
175.00,230.00,45.00,45.00,197.50,252.50
156.00,239.00,45.00,45.00,178.50,261.50
147.00,221.00,45.00,45.00,169.50,243.50
138.00,230.00,45.00,45.00,160.50,252.50
175.00,239.00,45.00,45.00,197.50,261.50
184.00,285.00,45.00,45.00,206.50,307.50
156.00,276.00,45.00,45.00,178.50,298.50
138.00,257.00,45.00,45.00,160.50,279.50
119.00,239.00,45.00,45.00,141.50,261.50
110.00,221.00,45.00,45.00,132.50,243.50
101.00,202.00,45.00,45.00,123.50,224.50
92.00,184.00,45.00,45.00,114.50,206.50
83.00,156.00,45.00,45.00,105.50,178.50
83.00,129.00,45.00,45.00,105.50,151.50
202.00,276.00,45.00,45.00,224.50,298.50
221.00,266.00,45.00,45.00,243.50,288.50
239.00,248.00,45.00,45.00,261.50,270.50
248.00,221.00,45.00,45.00,270.50,243.50
257.00,202.00,45.00,45.00,279.50,224.50
266.00,184.00,45.00,45.00,288.50,206.50
276.00,156.00,45.00,45.00,298.50,178.50
276.00,138.00,45.00,45.00,298.50,160.50
