129,0
x,y,dx,dy,x_c,y_c
265.29,300.66,87.32,87.32,308.95,344.32
247.60,300.66,87.32,87.32,291.26,344.32
229.91,282.97,87.32,87.32,273.58,326.63
282.97,282.97,87.32,87.32,326.63,326.63
300.66,282.97,87.32,87.32,344.32,326.63
265.29,265.29,87.32,87.32,308.95,308.95
265.29,247.60,87.32,87.32,308.95,291.26
265.29,212.23,87.32,87.32,308.95,255.89
265.29,194.54,87.32,87.32,308.95,238.20
229.91,212.23,87.32,87.32,273.58,255.89
212.23,212.23,87.32,87.32,255.89,255.89
212.23,212.23,87.32,87.32,255.89,255.89
212.23,194.54,87.32,87.32,255.89,238.20
212.23,194.54,87.32,87.32,255.89,238.20
194.54,212.23,87.32,87.32,238.20,255.89
159.17,194.54,87.32,87.32,202.83,238.20
176.86,159.17,87.32,87.32,220.52,202.83
194.54,141.49,87.32,87.32,238.20,185.15
229.91,159.17,87.32,87.32,273.58,202.83
247.60,159.17,87.32,87.32,291.26,202.83
318.34,194.54,87.32,87.32,362.01,238.20
336.03,194.54,87.32,87.32,379.69,238.20
353.71,194.54,87.32,87.32,397.38,238.20
336.03,194.54,87.32,87.32,379.69,238.20
353.71,194.54,87.32,87.32,397.38,238.20
371.40,194.54,87.32,87.32,415.06,238.20
406.77,159.17,87.32,87.32,450.43,202.83
389.09,141.49,87.32,87.32,432.75,185.15
353.71,141.49,87.32,87.32,397.38,185.15
336.03,141.49,87.32,87.32,379.69,185.15
300.66,159.17,87.32,87.32,344.32,202.83
265.29,318.34,87.32,87.32,308.95,362.01
247.60,318.34,87.32,87.32,291.26,362.01
229.91,318.34,87.32,87.32,273.58,362.01
212.23,336.03,87.32,87.32,255.89,379.69
212.23,336.03,87.32,87.32,255.89,379.69
247.60,318.34,87.32,87.32,291.26,362.01
265.29,336.03,87.32,87.32,308.95,379.69
300.66,300.66,87.32,87.32,344.32,344.32
336.03,318.34,87.32,87.32,379.69,362.01
353.71,336.03,87.32,87.32,397.38,379.69
336.03,336.03,87.32,87.32,379.69,379.69
318.34,318.34,87.32,87.32,362.01,362.01
336.03,353.71,87.32,87.32,379.69,397.38
318.34,336.03,87.32,87.32,362.01,379.69
318.34,371.40,87.32,87.32,362.01,415.06
282.97,353.71,87.32,87.32,326.63,397.38
247.60,371.40,87.32,87.32,291.26,415.06
247.60,336.03,87.32,87.32,291.26,379.69
229.91,353.71,87.32,87.32,273.58,397.38
282.97,371.40,87.32,87.32,326.63,415.06
282.97,477.52,87.32,87.32,326.63,521.18
247.60,459.83,87.32,87.32,291.26,503.49
212.23,442.14,87.32,87.32,255.89,485.81
176.86,406.77,87.32,87.32,220.52,450.43
159.17,371.40,87.32,87.32,202.83,415.06
141.49,318.34,87.32,87.32,185.15,362.01
141.49,282.97,87.32,87.32,185.15,326.63
123.80,229.91,87.32,87.32,167.46,273.58
123.80,194.54,87.32,87.32,167.46,238.20
318.34,459.83,87.32,87.32,362.01,503.49
353.71,442.14,87.32,87.32,397.38,485.81
389.09,406.77,87.32,87.32,432.75,450.43
406.77,371.40,87.32,87.32,450.43,415.06
424.46,336.03,87.32,87.32,468.12,379.69
442.14,300.66,87.32,87.32,485.81,344.32
459.83,247.60,87.32,87.32,503.49,291.26
459.83,212.23,87.32,87.32,503.49,255.89
