69,0
x,y,dx,dy,x_c,y_c
258.55,289.09,75.27,75.27,296.18,326.73
243.27,289.09,75.27,75.27,280.91,326.73
228.00,273.82,75.27,75.27,265.64,311.45
273.82,289.09,75.27,75.27,311.45,326.73
273.82,289.09,75.27,75.27,311.45,326.73
258.55,258.55,75.27,75.27,296.18,296.18
258.55,243.27,75.27,75.27,296.18,280.91
258.55,212.73,75.27,75.27,296.18,250.36
258.55,197.45,75.27,75.27,296.18,235.09
212.73,182.18,75.27,75.27,250.36,219.82
197.45,182.18,75.27,75.27,235.09,219.82
182.18,182.18,75.27,75.27,219.82,219.82
197.45,166.91,75.27,75.27,235.09,204.55
197.45,166.91,75.27,75.27,235.09,204.55
182.18,166.91,75.27,75.27,219.82,204.55
151.64,136.36,75.27,75.27,189.27,174.00
166.91,106.91,75.27,75.27,204.55,144.55
182.18,91.64,75.27,75.27,219.82,129.27
197.45,106.91,75.27,75.27,235.09,144.55
212.73,106.91,75.27,75.27,250.36,144.55
304.36,212.73,75.27,75.27,342.00,250.36
319.64,228.00,75.27,75.27,357.27,265.64
333.82,228.00,75.27,75.27,371.45,265.64
319.64,212.73,75.27,75.27,357.27,250.36
333.82,212.73,75.27,75.27,371.45,250.36
349.09,228.00,75.27,75.27,386.73,265.64
379.64,197.45,75.27,75.27,417.27,235.09
364.36,182.18,75.27,75.27,402.00,219.82
333.82,166.91,75.27,75.27,371.45,204.55
319.64,166.91,75.27,75.27,357.27,204.55
289.09,166.91,75.27,75.27,326.73,204.55
243.27,319.64,75.27,75.27,280.91,357.27
228.00,333.82,75.27,75.27,265.64,371.45
212.73,364.36,75.27,75.27,250.36,402.00
197.45,394.91,75.27,75.27,235.09,432.55
212.73,394.91,75.27,75.27,250.36,432.55
228.00,349.09,75.27,75.27,265.64,386.73
243.27,333.82,75.27,75.27,280.91,371.45
258.55,319.64,75.27,75.27,296.18,357.27
273.82,333.82,75.27,75.27,311.45,371.45
273.82,349.09,75.27,75.27,311.45,386.73
273.82,349.09,75.27,75.27,311.45,386.73
258.55,333.82,75.27,75.27,296.18,371.45
258.55,364.36,75.27,75.27,296.18,402.00
243.27,349.09,75.27,75.27,280.91,386.73
243.27,379.64,75.27,75.27,280.91,417.27
197.45,364.36,75.27,75.27,235.09,402.00
166.91,379.64,75.27,75.27,204.55,417.27
166.91,349.09,75.27,75.27,204.55,386.73
151.64,364.36,75.27,75.27,189.27,402.00
197.45,379.64,75.27,75.27,235.09,417.27
212.73,456.00,75.27,75.27,250.36,493.64
166.91,456.00,75.27,75.27,204.55,493.64
136.36,440.73,75.27,75.27,174.00,478.36
106.91,410.18,75.27,75.27,144.55,447.82
91.64,379.64,75.27,75.27,129.27,417.27
76.36,349.09,75.27,75.27,114.00,386.73
76.36,319.64,75.27,75.27,114.00,357.27
76.36,273.82,75.27,75.27,114.00,311.45
76.36,228.00,75.27,75.27,114.00,265.64
243.27,440.73,75.27,75.27,280.91,478.36
273.82,425.45,75.27,75.27,311.45,463.09
319.64,394.91,75.27,75.27,357.27,432.55
333.82,349.09,75.27,75.27,371.45,386.73
349.09,319.64,75.27,75.27,386.73,357.27
349.09,289.09,75.27,75.27,386.73,326.73
349.09,243.27,75.27,75.27,386.73,280.91
333.82,197.45,75.27,75.27,371.45,235.09
