44,-45
x,y,dx,dy,x_c,y_c
550.91,250.91,49.09,49.09,575.45,275.45
541.09,260.73,49.09,49.09,565.64,285.27
541.09,260.73,49.09,49.09,565.64,285.27
550.91,250.91,49.09,49.09,575.45,275.45
550.91,250.91,49.09,49.09,575.45,275.45
561.82,230.18,49.09,49.09,586.36,254.73
561.82,210.55,49.09,49.09,586.36,235.09
550.91,200.73,49.09,49.09,575.45,225.27
541.09,190.91,49.09,49.09,565.64,215.45
521.45,190.91,49.09,49.09,546.00,215.45
521.45,190.91,49.09,49.09,546.00,215.45
511.64,190.91,49.09,49.09,536.18,215.45
511.64,180.00,49.09,49.09,536.18,204.55
500.73,180.00,49.09,49.09,525.27,204.55
490.91,190.91,49.09,49.09,515.45,215.45
461.45,170.18,49.09,49.09,486.00,194.73
471.27,160.36,49.09,49.09,495.82,184.91
490.91,150.55,49.09,49.09,515.45,175.09
511.64,160.36,49.09,49.09,536.18,184.91
531.27,160.36,49.09,49.09,555.82,184.91
541.09,190.91,49.09,49.09,565.64,215.45
531.27,200.73,49.09,49.09,555.82,225.27
531.27,200.73,49.09,49.09,555.82,225.27
541.09,190.91,49.09,49.09,565.64,215.45
541.09,190.91,49.09,49.09,565.64,215.45
541.09,200.73,49.09,49.09,565.64,225.27
541.09,180.00,49.09,49.09,565.64,204.55
531.27,180.00,49.09,49.09,555.82,204.55
521.45,180.00,49.09,49.09,546.00,204.55
511.64,180.00,49.09,49.09,536.18,204.55
500.73,180.00,49.09,49.09,525.27,204.55
550.91,270.55,49.09,49.09,575.45,295.09
541.09,260.73,49.09,49.09,565.64,285.27
531.27,270.55,49.09,49.09,555.82,295.09
511.64,280.36,49.09,49.09,536.18,304.91
531.27,280.36,49.09,49.09,555.82,304.91
541.09,270.55,49.09,49.09,565.64,295.09
550.91,280.36,49.09,49.09,575.45,304.91
561.82,270.55,49.09,49.09,586.36,295.09
561.82,270.55,49.09,49.09,586.36,295.09
561.82,280.36,49.09,49.09,586.36,304.91
550.91,270.55,49.09,49.09,575.45,295.09
550.91,280.36,49.09,49.09,575.45,304.91
561.82,290.18,49.09,49.09,586.36,314.73
561.82,270.55,49.09,49.09,586.36,295.09
561.82,290.18,49.09,49.09,586.36,314.73
550.91,280.36,49.09,49.09,575.45,304.91
531.27,290.18,49.09,49.09,555.82,314.73
541.09,280.36,49.09,49.09,565.64,304.91
521.45,290.18,49.09,49.09,546.00,314.73
550.91,290.18,49.09,49.09,575.45,314.73
550.91,351.27,49.09,49.09,575.45,375.82
521.45,340.36,49.09,49.09,546.00,364.91
490.91,330.55,49.09,49.09,515.45,355.09
461.45,320.73,49.09,49.09,486.00,345.27
440.73,301.09,49.09,49.09,465.27,325.64
421.09,280.36,49.09,49.09,445.64,304.91
411.27,241.09,49.09,49.09,435.82,265.64
401.45,210.55,49.09,49.09,426.00,235.09
390.55,190.91,49.09,49.09,415.09,215.45
561.82,351.27,49.09,49.09,586.36,375.82
561.82,330.55,49.09,49.09,586.36,355.09
561.82,301.09,49.09,49.09,586.36,325.64
561.82,280.36,49.09,49.09,586.36,304.91
561.82,260.73,49.09,49.09,586.36,285.27
550.91,241.09,49.09,49.09,575.45,265.64
541.09,230.18,49.09,49.09,565.64,254.73
531.27,210.55,49.09,49.09,555.82,235.09
