115,0
x,y,dx,dy,x_c,y_c
263.45,325.71,76.70,76.70,301.81,364.06
247.89,325.71,76.70,76.70,286.24,364.06
232.33,325.71,76.70,76.70,270.68,364.06
279.02,325.71,76.70,76.70,317.37,364.06
279.02,325.71,76.70,76.70,317.37,364.06
263.45,294.58,76.70,76.70,301.81,332.93
263.45,263.45,76.70,76.70,301.81,301.81
263.45,232.33,76.70,76.70,301.81,270.68
263.45,216.77,76.70,76.70,301.81,255.12
216.77,232.33,76.70,76.70,255.12,270.68
201.20,232.33,76.70,76.70,239.55,270.68
201.20,232.33,76.70,76.70,239.55,270.68
201.20,216.77,76.70,76.70,239.55,255.12
201.20,216.77,76.70,76.70,239.55,255.12
185.64,232.33,76.70,76.70,223.99,270.68
154.52,201.20,76.70,76.70,192.87,239.55
170.08,185.64,76.70,76.70,208.43,223.99
185.64,170.08,76.70,76.70,223.99,208.43
216.77,185.64,76.70,76.70,255.12,223.99
232.33,185.64,76.70,76.70,270.68,223.99
310.14,216.77,76.70,76.70,348.49,255.12
325.71,216.77,76.70,76.70,364.06,255.12
325.71,216.77,76.70,76.70,364.06,255.12
325.71,216.77,76.70,76.70,364.06,255.12
325.71,216.77,76.70,76.70,364.06,255.12
340.16,216.77,76.70,76.70,378.51,255.12
371.28,185.64,76.70,76.70,409.63,223.99
355.72,170.08,76.70,76.70,394.07,208.43
325.71,170.08,76.70,76.70,364.06,208.43
310.14,170.08,76.70,76.70,348.49,208.43
279.02,170.08,76.70,76.70,317.37,208.43
263.45,340.16,76.70,76.70,301.81,378.51
232.33,340.16,76.70,76.70,270.68,378.51
216.77,340.16,76.70,76.70,255.12,378.51
201.20,355.72,76.70,76.70,239.55,394.07
201.20,355.72,76.70,76.70,239.55,394.07
216.77,355.72,76.70,76.70,255.12,394.07
263.45,355.72,76.70,76.70,301.81,394.07
294.58,325.71,76.70,76.70,332.93,364.06
325.71,340.16,76.70,76.70,364.06,378.51
340.16,340.16,76.70,76.70,378.51,378.51
325.71,340.16,76.70,76.70,364.06,378.51
310.14,340.16,76.70,76.70,348.49,378.51
325.71,371.28,76.70,76.70,364.06,409.63
294.58,355.72,76.70,76.70,332.93,394.07
294.58,386.84,76.70,76.70,332.93,425.20
263.45,371.28,76.70,76.70,301.81,409.63
216.77,386.84,76.70,76.70,255.12,425.20
216.77,355.72,76.70,76.70,255.12,394.07
201.20,355.72,76.70,76.70,239.55,394.07
263.45,402.41,76.70,76.70,301.81,440.76
263.45,480.22,76.70,76.70,301.81,518.57
232.33,464.66,76.70,76.70,270.68,503.01
201.20,433.53,76.70,76.70,239.55,471.88
170.08,402.41,76.70,76.70,208.43,440.76
138.95,371.28,76.70,76.70,177.30,409.63
123.39,340.16,76.70,76.70,161.74,378.51
108.94,310.14,76.70,76.70,147.29,348.49
108.94,263.45,76.70,76.70,147.29,301.81
108.94,232.33,76.70,76.70,147.29,270.68
294.58,464.66,76.70,76.70,332.93,503.01
325.71,433.53,76.70,76.70,364.06,471.88
355.72,402.41,76.70,76.70,394.07,440.76
371.28,355.72,76.70,76.70,409.63,394.07
386.84,325.71,76.70,76.70,425.20,364.06
402.41,279.02,76.70,76.70,440.76,317.37
417.97,232.33,76.70,76.70,456.32,270.68
417.97,201.20,76.70,76.70,456.32,239.55
