66,0
x,y,dx,dy,x_c,y_c
129.00,368.00,91.00,91.00,174.50,413.50
110.00,368.00,91.00,91.00,155.50,413.50
92.00,368.00,91.00,91.00,137.50,413.50
165.00,368.00,91.00,91.00,210.50,413.50
184.00,368.00,91.00,91.00,229.50,413.50
129.00,331.00,91.00,91.00,174.50,376.50
129.00,294.00,91.00,91.00,174.50,339.50
129.00,257.00,91.00,91.00,174.50,302.50
129.00,221.00,91.00,91.00,174.50,266.50
74.00,221.00,91.00,91.00,119.50,266.50
55.00,221.00,91.00,91.00,100.50,266.50
37.00,221.00,91.00,91.00,82.50,266.50
55.00,221.00,91.00,91.00,100.50,266.50
37.00,221.00,91.00,91.00,82.50,266.50
18.00,221.00,91.00,91.00,63.50,266.50
-18.00,184.00,91.00,91.00,27.50,229.50
0.00,165.00,91.00,91.00,45.50,210.50
18.00,147.00,91.00,91.00,63.50,192.50
74.00,147.00,91.00,91.00,119.50,192.50
110.00,147.00,91.00,91.00,155.50,192.50
184.00,221.00,91.00,91.00,229.50,266.50
202.00,221.00,91.00,91.00,247.50,266.50
221.00,221.00,91.00,91.00,266.50,266.50
202.00,221.00,91.00,91.00,247.50,266.50
221.00,221.00,91.00,91.00,266.50,266.50
239.00,239.00,91.00,91.00,284.50,284.50
294.00,221.00,91.00,91.00,339.50,266.50
276.00,221.00,91.00,91.00,321.50,266.50
239.00,202.00,91.00,91.00,284.50,247.50
221.00,202.00,91.00,91.00,266.50,247.50
184.00,202.00,91.00,91.00,229.50,247.50
129.00,386.00,91.00,91.00,174.50,431.50
92.00,386.00,91.00,91.00,137.50,431.50
74.00,404.00,91.00,91.00,119.50,449.50
55.00,441.00,91.00,91.00,100.50,486.50
55.00,441.00,91.00,91.00,100.50,486.50
74.00,404.00,91.00,91.00,119.50,449.50
129.00,404.00,91.00,91.00,174.50,449.50
165.00,386.00,91.00,91.00,210.50,431.50
202.00,404.00,91.00,91.00,247.50,449.50
221.00,423.00,91.00,91.00,266.50,468.50
202.00,423.00,91.00,91.00,247.50,468.50
165.00,404.00,91.00,91.00,210.50,449.50
221.00,441.00,91.00,91.00,266.50,486.50
202.00,423.00,91.00,91.00,247.50,468.50
202.00,441.00,91.00,91.00,247.50,486.50
147.00,423.00,91.00,91.00,192.50,468.50
110.00,441.00,91.00,91.00,155.50,486.50
92.00,404.00,91.00,91.00,137.50,449.50
74.00,423.00,91.00,91.00,119.50,468.50
147.00,441.00,91.00,91.00,192.50,486.50
147.00,515.00,91.00,91.00,192.50,560.50
110.00,496.00,91.00,91.00,155.50,541.50
74.00,478.00,91.00,91.00,119.50,523.50
37.00,459.00,91.00,91.00,82.50,504.50
18.00,441.00,91.00,91.00,63.50,486.50
0.00,404.00,91.00,91.00,45.50,449.50
0.00,368.00,91.00,91.00,45.50,413.50
-18.00,312.00,91.00,91.00,27.50,357.50
-18.00,276.00,91.00,91.00,27.50,321.50
184.00,496.00,91.00,91.00,229.50,541.50
221.00,478.00,91.00,91.00,266.50,523.50
257.00,459.00,91.00,91.00,302.50,504.50
276.00,404.00,91.00,91.00,321.50,449.50
294.00,368.00,91.00,91.00,339.50,413.50
312.00,331.00,91.00,91.00,357.50,376.50
331.00,276.00,91.00,91.00,376.50,321.50
331.00,239.00,91.00,91.00,376.50,284.50
