85,30
x,y,dx,dy,x_c,y_c
244.57,314.44,86.25,86.25,287.69,357.57
227.10,314.44,86.25,86.25,270.22,357.57
209.63,314.44,86.25,86.25,252.76,357.57
262.04,314.44,86.25,86.25,305.16,357.57
279.51,314.44,86.25,86.25,322.63,357.57
227.10,279.51,86.25,86.25,270.22,322.63
227.10,262.04,86.25,86.25,270.22,305.16
244.57,227.10,86.25,86.25,287.69,270.22
244.57,209.63,86.25,86.25,287.69,252.76
209.63,209.63,86.25,86.25,252.76,252.76
192.16,209.63,86.25,86.25,235.29,252.76
174.69,209.63,86.25,86.25,217.82,252.76
192.16,209.63,86.25,86.25,235.29,252.76
192.16,227.10,86.25,86.25,235.29,270.22
174.69,244.57,86.25,86.25,217.82,287.69
157.22,192.16,86.25,86.25,200.35,235.29
157.22,192.16,86.25,86.25,200.35,235.29
174.69,174.69,86.25,86.25,217.82,217.82
192.16,192.16,86.25,86.25,235.29,235.29
209.63,192.16,86.25,86.25,252.76,235.29
296.97,209.63,86.25,86.25,340.10,252.76
314.44,209.63,86.25,86.25,357.57,252.76
314.44,209.63,86.25,86.25,357.57,252.76
314.44,209.63,86.25,86.25,357.57,252.76
331.91,209.63,86.25,86.25,375.04,252.76
331.91,209.63,86.25,86.25,375.04,252.76
384.32,192.16,86.25,86.25,427.45,235.29
349.38,174.69,86.25,86.25,392.51,217.82
314.44,157.22,86.25,86.25,357.57,200.35
296.97,157.22,86.25,86.25,340.10,200.35
262.04,157.22,86.25,86.25,305.16,200.35
244.57,331.91,86.25,86.25,287.69,375.04
227.10,331.91,86.25,86.25,270.22,375.04
227.10,331.91,86.25,86.25,270.22,375.04
227.10,349.38,86.25,86.25,270.22,392.51
227.10,331.91,86.25,86.25,270.22,375.04
227.10,331.91,86.25,86.25,270.22,375.04
244.57,331.91,86.25,86.25,287.69,375.04
279.51,331.91,86.25,86.25,322.63,375.04
314.44,331.91,86.25,86.25,357.57,375.04
331.91,331.91,86.25,86.25,375.04,375.04
314.44,349.38,86.25,86.25,357.57,392.51
279.51,349.38,86.25,86.25,322.63,392.51
314.44,349.38,86.25,86.25,357.57,392.51
279.51,314.44,86.25,86.25,322.63,357.57
279.51,349.38,86.25,86.25,322.63,392.51
244.57,314.44,86.25,86.25,287.69,357.57
227.10,331.91,86.25,86.25,270.22,375.04
227.10,314.44,86.25,86.25,270.22,357.57
209.63,331.91,86.25,86.25,252.76,375.04
244.57,331.91,86.25,86.25,287.69,375.04
244.57,401.79,86.25,86.25,287.69,444.92
227.10,384.32,86.25,86.25,270.22,427.45
209.63,366.85,86.25,86.25,252.76,409.98
209.63,349.38,86.25,86.25,252.76,392.51
192.16,331.91,86.25,86.25,235.29,375.04
192.16,296.97,86.25,86.25,235.29,340.10
192.16,262.04,86.25,86.25,235.29,305.16
192.16,244.57,86.25,86.25,235.29,287.69
192.16,227.10,86.25,86.25,235.29,270.22
296.97,401.79,86.25,86.25,340.10,444.92
349.38,401.79,86.25,86.25,392.51,444.92
401.79,401.79,86.25,86.25,444.92,444.92
436.73,384.32,86.25,86.25,479.85,427.45
454.20,366.85,86.25,86.25,497.32,409.98
471.67,331.91,86.25,86.25,514.79,375.04
471.67,279.51,86.25,86.25,514.79,322.63
471.67,244.57,86.25,86.25,514.79,287.69
