79,0
x,y,dx,dy,x_c,y_c
289.09,289.09,75.27,75.27,326.73,326.73
273.82,289.09,75.27,75.27,311.45,326.73
258.55,289.09,75.27,75.27,296.18,326.73
304.36,289.09,75.27,75.27,342.00,326.73
304.36,289.09,75.27,75.27,342.00,326.73
289.09,258.55,75.27,75.27,326.73,296.18
289.09,243.27,75.27,75.27,326.73,280.91
289.09,212.73,75.27,75.27,326.73,250.36
289.09,197.45,75.27,75.27,326.73,235.09
243.27,197.45,75.27,75.27,280.91,235.09
228.00,197.45,75.27,75.27,265.64,235.09
212.73,197.45,75.27,75.27,250.36,235.09
228.00,182.18,75.27,75.27,265.64,219.82
228.00,182.18,75.27,75.27,265.64,219.82
212.73,197.45,75.27,75.27,250.36,235.09
182.18,166.91,75.27,75.27,219.82,204.55
197.45,136.36,75.27,75.27,235.09,174.00
228.00,121.09,75.27,75.27,265.64,158.73
258.55,121.09,75.27,75.27,296.18,158.73
289.09,121.09,75.27,75.27,326.73,158.73
333.82,197.45,75.27,75.27,371.45,235.09
349.09,197.45,75.27,75.27,386.73,235.09
364.36,197.45,75.27,75.27,402.00,235.09
349.09,197.45,75.27,75.27,386.73,235.09
349.09,197.45,75.27,75.27,386.73,235.09
364.36,197.45,75.27,75.27,402.00,235.09
394.91,166.91,75.27,75.27,432.55,204.55
379.64,166.91,75.27,75.27,417.27,204.55
364.36,166.91,75.27,75.27,402.00,204.55
349.09,166.91,75.27,75.27,386.73,204.55
333.82,166.91,75.27,75.27,371.45,204.55
289.09,319.64,75.27,75.27,326.73,357.27
273.82,319.64,75.27,75.27,311.45,357.27
258.55,333.82,75.27,75.27,296.18,371.45
243.27,364.36,75.27,75.27,280.91,402.00
243.27,364.36,75.27,75.27,280.91,402.00
273.82,333.82,75.27,75.27,311.45,371.45
289.09,333.82,75.27,75.27,326.73,371.45
304.36,319.64,75.27,75.27,342.00,357.27
319.64,333.82,75.27,75.27,357.27,371.45
333.82,349.09,75.27,75.27,371.45,386.73
319.64,349.09,75.27,75.27,357.27,386.73
304.36,333.82,75.27,75.27,342.00,371.45
333.82,379.64,75.27,75.27,371.45,417.27
319.64,364.36,75.27,75.27,357.27,402.00
319.64,379.64,75.27,75.27,357.27,417.27
289.09,364.36,75.27,75.27,326.73,402.00
273.82,379.64,75.27,75.27,311.45,417.27
273.82,349.09,75.27,75.27,311.45,386.73
258.55,364.36,75.27,75.27,296.18,402.00
289.09,379.64,75.27,75.27,326.73,417.27
289.09,456.00,75.27,75.27,326.73,493.64
243.27,456.00,75.27,75.27,280.91,493.64
212.73,440.73,75.27,75.27,250.36,478.36
182.18,410.18,75.27,75.27,219.82,447.82
151.64,394.91,75.27,75.27,189.27,432.55
136.36,364.36,75.27,75.27,174.00,402.00
136.36,333.82,75.27,75.27,174.00,371.45
121.09,289.09,75.27,75.27,158.73,326.73
121.09,243.27,75.27,75.27,158.73,280.91
319.64,440.73,75.27,75.27,357.27,478.36
349.09,425.45,75.27,75.27,386.73,463.09
379.64,394.91,75.27,75.27,417.27,432.55
394.91,349.09,75.27,75.27,432.55,386.73
410.18,319.64,75.27,75.27,447.82,357.27
425.45,289.09,75.27,75.27,463.09,326.73
440.73,243.27,75.27,75.27,478.36,280.91
440.73,212.73,75.27,75.27,478.36,250.36
