91,-30
x,y,dx,dy,x_c,y_c
279.46,295.05,76.82,76.82,317.88,333.46
263.88,295.05,76.82,76.82,302.29,333.46
248.29,295.05,76.82,76.82,286.70,333.46
295.05,295.05,76.82,76.82,333.46,333.46
310.64,295.05,76.82,76.82,349.05,333.46
295.05,263.88,76.82,76.82,333.46,302.29
295.05,248.29,76.82,76.82,333.46,286.70
279.46,217.11,76.82,76.82,317.88,255.53
279.46,201.53,76.82,76.82,317.88,239.94
232.70,201.53,76.82,76.82,271.11,239.94
217.11,201.53,76.82,76.82,255.53,239.94
201.53,201.53,76.82,76.82,239.94,239.94
217.11,201.53,76.82,76.82,255.53,239.94
201.53,201.53,76.82,76.82,239.94,239.94
185.94,217.11,76.82,76.82,224.35,255.53
139.18,185.94,76.82,76.82,177.59,224.35
154.76,170.35,76.82,76.82,193.18,208.76
185.94,154.76,76.82,76.82,224.35,193.18
201.53,170.35,76.82,76.82,239.94,208.76
232.70,170.35,76.82,76.82,271.11,208.76
310.64,201.53,76.82,76.82,349.05,239.94
326.23,201.53,76.82,76.82,364.64,239.94
326.23,201.53,76.82,76.82,364.64,239.94
326.23,201.53,76.82,76.82,364.64,239.94
340.70,201.53,76.82,76.82,379.11,239.94
340.70,201.53,76.82,76.82,379.11,239.94
340.70,170.35,76.82,76.82,379.11,208.76
340.70,170.35,76.82,76.82,379.11,208.76
326.23,170.35,76.82,76.82,364.64,208.76
326.23,170.35,76.82,76.82,364.64,208.76
310.64,170.35,76.82,76.82,349.05,208.76
279.46,326.23,76.82,76.82,317.88,364.64
248.29,310.64,76.82,76.82,286.70,349.05
232.70,326.23,76.82,76.82,271.11,364.64
217.11,340.70,76.82,76.82,255.53,379.11
232.70,340.70,76.82,76.82,271.11,379.11
248.29,326.23,76.82,76.82,286.70,364.64
279.46,326.23,76.82,76.82,317.88,364.64
295.05,326.23,76.82,76.82,333.46,364.64
295.05,340.70,76.82,76.82,333.46,379.11
295.05,356.29,76.82,76.82,333.46,394.70
295.05,356.29,76.82,76.82,333.46,394.70
295.05,340.70,76.82,76.82,333.46,379.11
295.05,371.88,76.82,76.82,333.46,410.29
279.46,356.29,76.82,76.82,317.88,394.70
279.46,371.88,76.82,76.82,317.88,410.29
263.88,356.29,76.82,76.82,302.29,394.70
232.70,371.88,76.82,76.82,271.11,410.29
232.70,356.29,76.82,76.82,271.11,394.70
217.11,371.88,76.82,76.82,255.53,410.29
263.88,371.88,76.82,76.82,302.29,410.29
263.88,449.82,76.82,76.82,302.29,488.23
217.11,449.82,76.82,76.82,255.53,488.23
185.94,434.23,76.82,76.82,224.35,472.64
154.76,418.64,76.82,76.82,193.18,457.05
123.59,403.05,76.82,76.82,162.00,441.46
93.53,371.88,76.82,76.82,131.94,410.29
77.94,326.23,76.82,76.82,116.35,364.64
77.94,295.05,76.82,76.82,116.35,333.46
62.35,248.29,76.82,76.82,100.76,286.70
295.05,434.23,76.82,76.82,333.46,472.64
310.64,403.05,76.82,76.82,349.05,441.46
310.64,371.88,76.82,76.82,349.05,410.29
326.23,340.70,76.82,76.82,364.64,379.11
340.70,326.23,76.82,76.82,379.11,364.64
340.70,295.05,76.82,76.82,379.11,333.46
340.70,263.88,76.82,76.82,379.11,302.29
340.70,232.70,76.82,76.82,379.11,271.11
