97,0
x,y,dx,dy,x_c,y_c
252.73,297.52,73.58,73.58,289.52,334.30
237.80,297.52,73.58,73.58,274.59,334.30
222.87,297.52,73.58,73.58,259.66,334.30
267.66,297.52,73.58,73.58,304.45,334.30
282.59,297.52,73.58,73.58,319.38,334.30
252.73,267.66,73.58,73.58,289.52,304.45
252.73,252.73,73.58,73.58,289.52,289.52
252.73,222.87,73.58,73.58,289.52,259.66
252.73,207.94,73.58,73.58,289.52,244.73
207.94,207.94,73.58,73.58,244.73,244.73
207.94,207.94,73.58,73.58,244.73,244.73
193.01,207.94,73.58,73.58,229.80,244.73
193.01,207.94,73.58,73.58,229.80,244.73
193.01,207.94,73.58,73.58,229.80,244.73
178.08,207.94,73.58,73.58,214.87,244.73
133.30,193.01,73.58,73.58,170.08,229.80
148.22,178.08,73.58,73.58,185.01,214.87
163.15,163.15,73.58,73.58,199.94,199.94
193.01,178.08,73.58,73.58,229.80,214.87
222.87,178.08,73.58,73.58,259.66,214.87
297.52,207.94,73.58,73.58,334.30,244.73
312.44,207.94,73.58,73.58,349.23,244.73
312.44,207.94,73.58,73.58,349.23,244.73
297.52,193.01,73.58,73.58,334.30,229.80
312.44,193.01,73.58,73.58,349.23,229.80
326.31,207.94,73.58,73.58,363.10,244.73
371.09,178.08,73.58,73.58,407.88,214.87
356.17,163.15,73.58,73.58,392.95,199.94
326.31,163.15,73.58,73.58,363.10,199.94
312.44,163.15,73.58,73.58,349.23,199.94
282.59,163.15,73.58,73.58,319.38,199.94
252.73,326.31,73.58,73.58,289.52,363.10
222.87,312.44,73.58,73.58,259.66,349.23
193.01,326.31,73.58,73.58,229.80,363.10
178.08,341.24,73.58,73.58,214.87,378.03
178.08,341.24,73.58,73.58,214.87,378.03
207.94,326.31,73.58,73.58,244.73,363.10
252.73,341.24,73.58,73.58,289.52,378.03
282.59,312.44,73.58,73.58,319.38,349.23
312.44,326.31,73.58,73.58,349.23,363.10
326.31,341.24,73.58,73.58,363.10,378.03
326.31,326.31,73.58,73.58,363.10,363.10
297.52,326.31,73.58,73.58,334.30,363.10
326.31,371.09,73.58,73.58,363.10,407.88
312.44,356.17,73.58,73.58,349.23,392.95
312.44,386.02,73.58,73.58,349.23,422.81
282.59,371.09,73.58,73.58,319.38,407.88
267.66,386.02,73.58,73.58,304.45,422.81
267.66,356.17,73.58,73.58,304.45,392.95
252.73,371.09,73.58,73.58,289.52,407.88
282.59,386.02,73.58,73.58,319.38,422.81
282.59,460.67,73.58,73.58,319.38,497.46
237.80,445.74,73.58,73.58,274.59,482.53
207.94,430.81,73.58,73.58,244.73,467.60
178.08,400.95,73.58,73.58,214.87,437.74
148.22,371.09,73.58,73.58,185.01,407.88
133.30,326.31,73.58,73.58,170.08,363.10
133.30,297.52,73.58,73.58,170.08,334.30
118.37,252.73,73.58,73.58,155.16,289.52
118.37,222.87,73.58,73.58,155.16,259.66
312.44,460.67,73.58,73.58,349.23,497.46
341.24,430.81,73.58,73.58,378.03,467.60
371.09,400.95,73.58,73.58,407.88,437.74
386.02,356.17,73.58,73.58,422.81,392.95
400.95,326.31,73.58,73.58,437.74,363.10
400.95,297.52,73.58,73.58,437.74,334.30
415.88,252.73,73.58,73.58,452.67,289.52
415.88,222.87,73.58,73.58,452.67,259.66
