56,0
x,y,dx,dy,x_c,y_c
193.00,202.00,45.00,45.00,215.50,224.50
184.00,202.00,45.00,45.00,206.50,224.50
175.00,193.00,45.00,45.00,197.50,215.50
202.00,193.00,45.00,45.00,224.50,215.50
202.00,193.00,45.00,45.00,224.50,215.50
193.00,184.00,45.00,45.00,215.50,206.50
193.00,165.00,45.00,45.00,215.50,187.50
193.00,147.00,45.00,45.00,215.50,169.50
193.00,129.00,45.00,45.00,215.50,151.50
165.00,129.00,45.00,45.00,187.50,151.50
165.00,129.00,45.00,45.00,187.50,151.50
156.00,129.00,45.00,45.00,178.50,151.50
156.00,119.00,45.00,45.00,178.50,141.50
147.00,119.00,45.00,45.00,169.50,141.50
138.00,119.00,45.00,45.00,160.50,141.50
110.00,101.00,45.00,45.00,132.50,123.50
119.00,92.00,45.00,45.00,141.50,114.50
129.00,92.00,45.00,45.00,151.50,114.50
147.00,101.00,45.00,45.00,169.50,123.50
165.00,101.00,45.00,45.00,187.50,123.50
221.00,129.00,45.00,45.00,243.50,151.50
230.00,138.00,45.00,45.00,252.50,160.50
239.00,138.00,45.00,45.00,261.50,160.50
230.00,129.00,45.00,45.00,252.50,151.50
239.00,129.00,45.00,45.00,261.50,151.50
248.00,129.00,45.00,45.00,270.50,151.50
266.00,110.00,45.00,45.00,288.50,132.50
257.00,110.00,45.00,45.00,279.50,132.50
239.00,110.00,45.00,45.00,261.50,132.50
230.00,110.00,45.00,45.00,252.50,132.50
211.00,110.00,45.00,45.00,233.50,132.50
193.00,211.00,45.00,45.00,215.50,233.50
175.00,202.00,45.00,45.00,197.50,224.50
156.00,211.00,45.00,45.00,178.50,233.50
138.00,230.00,45.00,45.00,160.50,252.50
147.00,221.00,45.00,45.00,169.50,243.50
175.00,211.00,45.00,45.00,197.50,233.50
193.00,221.00,45.00,45.00,215.50,243.50
202.00,202.00,45.00,45.00,224.50,224.50
202.00,211.00,45.00,45.00,224.50,233.50
202.00,211.00,45.00,45.00,224.50,233.50
202.00,211.00,45.00,45.00,224.50,233.50
202.00,211.00,45.00,45.00,224.50,233.50
193.00,230.00,45.00,45.00,215.50,252.50
184.00,221.00,45.00,45.00,206.50,243.50
184.00,230.00,45.00,45.00,206.50,252.50
156.00,221.00,45.00,45.00,178.50,243.50
147.00,230.00,45.00,45.00,169.50,252.50
147.00,211.00,45.00,45.00,169.50,233.50
138.00,221.00,45.00,45.00,160.50,243.50
156.00,230.00,45.00,45.00,178.50,252.50
156.00,257.00,45.00,45.00,178.50,279.50
129.00,248.00,45.00,45.00,151.50,270.50
110.00,230.00,45.00,45.00,132.50,252.50
92.00,211.00,45.00,45.00,114.50,233.50
74.00,193.00,45.00,45.00,96.50,215.50
64.00,165.00,45.00,45.00,86.50,187.50
64.00,147.00,45.00,45.00,86.50,169.50
55.00,119.00,45.00,45.00,77.50,141.50
55.00,101.00,45.00,45.00,77.50,123.50
175.00,257.00,45.00,45.00,197.50,279.50
193.00,239.00,45.00,45.00,215.50,261.50
221.00,230.00,45.00,45.00,243.50,252.50
230.00,202.00,45.00,45.00,252.50,224.50
230.00,193.00,45.00,45.00,252.50,215.50
230.00,184.00,45.00,45.00,252.50,206.50
239.00,156.00,45.00,45.00,261.50,178.50
230.00,138.00,45.00,45.00,252.50,160.50
