113,0
x,y,dx,dy,x_c,y_c
106.00,127.00,25.00,25.00,118.50,139.50
100.00,127.00,25.00,25.00,112.50,139.50
100.00,127.00,25.00,25.00,112.50,139.50
111.00,127.00,25.00,25.00,123.50,139.50
116.00,127.00,25.00,25.00,128.50,139.50
106.00,116.00,25.00,25.00,118.50,128.50
106.00,111.00,25.00,25.00,118.50,123.50
106.00,100.00,25.00,25.00,118.50,112.50
106.00,95.00,25.00,25.00,118.50,107.50
95.00,95.00,25.00,25.00,107.50,107.50
95.00,95.00,25.00,25.00,107.50,107.50
90.00,95.00,25.00,25.00,102.50,107.50
90.00,90.00,25.00,25.00,102.50,102.50
90.00,90.00,25.00,25.00,102.50,102.50
84.00,95.00,25.00,25.00,96.50,107.50
69.00,90.00,25.00,25.00,81.50,102.50
74.00,84.00,25.00,25.00,86.50,96.50
79.00,79.00,25.00,25.00,91.50,91.50
90.00,79.00,25.00,25.00,102.50,91.50
100.00,84.00,25.00,25.00,112.50,96.50
121.00,95.00,25.00,25.00,133.50,107.50
127.00,95.00,25.00,25.00,139.50,107.50
132.00,95.00,25.00,25.00,144.50,107.50
127.00,90.00,25.00,25.00,139.50,102.50
132.00,90.00,25.00,25.00,144.50,102.50
137.00,90.00,25.00,25.00,149.50,102.50
148.00,79.00,25.00,25.00,160.50,91.50
143.00,79.00,25.00,25.00,155.50,91.50
132.00,79.00,25.00,25.00,144.50,91.50
121.00,79.00,25.00,25.00,133.50,91.50
111.00,79.00,25.00,25.00,123.50,91.50
106.00,132.00,25.00,25.00,118.50,144.50
95.00,132.00,25.00,25.00,107.50,144.50
90.00,137.00,25.00,25.00,102.50,149.50
84.00,148.00,25.00,25.00,96.50,160.50
90.00,143.00,25.00,25.00,102.50,155.50
95.00,137.00,25.00,25.00,107.50,149.50
106.00,137.00,25.00,25.00,118.50,149.50
116.00,132.00,25.00,25.00,128.50,144.50
127.00,137.00,25.00,25.00,139.50,149.50
132.00,143.00,25.00,25.00,144.50,155.50
132.00,137.00,25.00,25.00,144.50,149.50
121.00,137.00,25.00,25.00,133.50,149.50
132.00,153.00,25.00,25.00,144.50,165.50
121.00,148.00,25.00,25.00,133.50,160.50
121.00,158.00,25.00,25.00,133.50,170.50
111.00,153.00,25.00,25.00,123.50,165.50
100.00,158.00,25.00,25.00,112.50,170.50
100.00,153.00,25.00,25.00,112.50,165.50
95.00,158.00,25.00,25.00,107.50,170.50
111.00,158.00,25.00,25.00,123.50,170.50
111.00,185.00,25.00,25.00,123.50,197.50
95.00,179.00,25.00,25.00,107.50,191.50
84.00,174.00,25.00,25.00,96.50,186.50
74.00,164.00,25.00,25.00,86.50,176.50
69.00,158.00,25.00,25.00,81.50,170.50
63.00,143.00,25.00,25.00,75.50,155.50
58.00,132.00,25.00,25.00,70.50,144.50
53.00,116.00,25.00,25.00,65.50,128.50
53.00,106.00,25.00,25.00,65.50,118.50
121.00,179.00,25.00,25.00,133.50,191.50
132.00,174.00,25.00,25.00,144.50,186.50
143.00,169.00,25.00,25.00,155.50,181.50
148.00,153.00,25.00,25.00,160.50,165.50
153.00,143.00,25.00,25.00,165.50,155.50
158.00,127.00,25.00,25.00,170.50,139.50
164.00,111.00,25.00,25.00,176.50,123.50
164.00,100.00,25.00,25.00,176.50,112.50
