87,0
x,y,dx,dy,x_c,y_c
265.09,278.18,65.45,65.45,297.82,310.91
250.91,278.18,65.45,65.45,283.64,310.91
237.82,278.18,65.45,65.45,270.55,310.91
278.18,278.18,65.45,65.45,310.91,310.91
278.18,278.18,65.45,65.45,310.91,310.91
265.09,250.91,65.45,65.45,297.82,283.64
265.09,237.82,65.45,65.45,297.82,270.55
265.09,211.64,65.45,65.45,297.82,244.36
278.18,198.55,65.45,65.45,310.91,231.27
237.82,211.64,65.45,65.45,270.55,244.36
224.73,211.64,65.45,65.45,257.45,244.36
211.64,211.64,65.45,65.45,244.36,244.36
224.73,198.55,65.45,65.45,257.45,231.27
211.64,198.55,65.45,65.45,244.36,231.27
198.55,211.64,65.45,65.45,231.27,244.36
172.36,185.45,65.45,65.45,205.09,218.18
185.45,172.36,65.45,65.45,218.18,205.09
198.55,172.36,65.45,65.45,231.27,205.09
224.73,172.36,65.45,65.45,257.45,205.09
237.82,185.45,65.45,65.45,270.55,218.18
317.45,198.55,65.45,65.45,350.18,231.27
330.55,198.55,65.45,65.45,363.27,231.27
343.64,198.55,65.45,65.45,376.36,231.27
317.45,185.45,65.45,65.45,350.18,218.18
330.55,185.45,65.45,65.45,363.27,218.18
343.64,198.55,65.45,65.45,376.36,231.27
370.91,172.36,65.45,65.45,403.64,205.09
356.73,172.36,65.45,65.45,389.45,205.09
343.64,172.36,65.45,65.45,376.36,205.09
330.55,172.36,65.45,65.45,363.27,205.09
304.36,172.36,65.45,65.45,337.09,205.09
265.09,291.27,65.45,65.45,297.82,324.00
250.91,291.27,65.45,65.45,283.64,324.00
237.82,304.36,65.45,65.45,270.55,337.09
224.73,330.55,65.45,65.45,257.45,363.27
237.82,330.55,65.45,65.45,270.55,363.27
250.91,304.36,65.45,65.45,283.64,337.09
265.09,304.36,65.45,65.45,297.82,337.09
278.18,291.27,65.45,65.45,310.91,324.00
291.27,304.36,65.45,65.45,324.00,337.09
304.36,317.45,65.45,65.45,337.09,350.18
291.27,317.45,65.45,65.45,324.00,350.18
278.18,317.45,65.45,65.45,310.91,350.18
291.27,343.64,65.45,65.45,324.00,376.36
265.09,330.55,65.45,65.45,297.82,363.27
265.09,356.73,65.45,65.45,297.82,389.45
237.82,343.64,65.45,65.45,270.55,376.36
224.73,356.73,65.45,65.45,257.45,389.45
224.73,330.55,65.45,65.45,257.45,363.27
211.64,343.64,65.45,65.45,244.36,376.36
237.82,356.73,65.45,65.45,270.55,389.45
250.91,436.36,65.45,65.45,283.64,469.09
211.64,436.36,65.45,65.45,244.36,469.09
172.36,423.27,65.45,65.45,205.09,456.00
145.09,397.09,65.45,65.45,177.82,429.82
118.91,370.91,65.45,65.45,151.64,403.64
105.82,330.55,65.45,65.45,138.55,363.27
105.82,291.27,65.45,65.45,138.55,324.00
92.73,250.91,65.45,65.45,125.45,283.64
92.73,224.73,65.45,65.45,125.45,257.45
265.09,423.27,65.45,65.45,297.82,456.00
291.27,410.18,65.45,65.45,324.00,442.91
304.36,384.00,65.45,65.45,337.09,416.73
317.45,343.64,65.45,65.45,350.18,376.36
343.64,317.45,65.45,65.45,376.36,350.18
356.73,291.27,65.45,65.45,389.45,324.00
384.00,250.91,65.45,65.45,416.73,283.64
384.00,224.73,65.45,65.45,416.73,257.45
