122,-15
x,y,dx,dy,x_c,y_c
267.66,312.44,73.58,73.58,304.45,349.23
252.73,312.44,73.58,73.58,289.52,349.23
237.80,312.44,73.58,73.58,274.59,349.23
267.66,312.44,73.58,73.58,304.45,349.23
267.66,312.44,73.58,73.58,304.45,349.23
282.59,282.59,73.58,73.58,319.38,319.38
282.59,252.73,73.58,73.58,319.38,289.52
282.59,222.87,73.58,73.58,319.38,259.66
282.59,207.94,73.58,73.58,319.38,244.73
237.80,193.01,73.58,73.58,274.59,229.80
207.94,193.01,73.58,73.58,244.73,229.80
193.01,193.01,73.58,73.58,229.80,229.80
222.87,178.08,73.58,73.58,259.66,214.87
207.94,178.08,73.58,73.58,244.73,214.87
193.01,193.01,73.58,73.58,229.80,229.80
148.22,178.08,73.58,73.58,185.01,214.87
178.08,148.22,73.58,73.58,214.87,185.01
193.01,148.22,73.58,73.58,229.80,185.01
222.87,148.22,73.58,73.58,259.66,185.01
252.73,163.15,73.58,73.58,289.52,199.94
312.44,222.87,73.58,73.58,349.23,259.66
312.44,222.87,73.58,73.58,349.23,259.66
326.31,222.87,73.58,73.58,363.10,259.66
326.31,207.94,73.58,73.58,363.10,244.73
326.31,207.94,73.58,73.58,363.10,244.73
341.24,222.87,73.58,73.58,378.03,259.66
356.17,193.01,73.58,73.58,392.95,229.80
341.24,178.08,73.58,73.58,378.03,214.87
326.31,178.08,73.58,73.58,363.10,214.87
312.44,178.08,73.58,73.58,349.23,214.87
297.52,178.08,73.58,73.58,334.30,214.87
267.66,341.24,73.58,73.58,304.45,378.03
237.80,326.31,73.58,73.58,274.59,363.10
222.87,312.44,73.58,73.58,259.66,349.23
207.94,326.31,73.58,73.58,244.73,363.10
222.87,326.31,73.58,73.58,259.66,363.10
237.80,341.24,73.58,73.58,274.59,378.03
267.66,341.24,73.58,73.58,304.45,378.03
282.59,326.31,73.58,73.58,319.38,363.10
297.52,341.24,73.58,73.58,334.30,378.03
312.44,356.17,73.58,73.58,349.23,392.95
297.52,356.17,73.58,73.58,334.30,392.95
297.52,341.24,73.58,73.58,334.30,378.03
297.52,371.09,73.58,73.58,334.30,407.88
282.59,356.17,73.58,73.58,319.38,392.95
282.59,371.09,73.58,73.58,319.38,407.88
267.66,356.17,73.58,73.58,304.45,392.95
237.80,371.09,73.58,73.58,274.59,407.88
237.80,341.24,73.58,73.58,274.59,378.03
207.94,356.17,73.58,73.58,244.73,392.95
267.66,371.09,73.58,73.58,304.45,407.88
267.66,445.74,73.58,73.58,304.45,482.53
237.80,430.81,73.58,73.58,274.59,467.60
207.94,415.88,73.58,73.58,244.73,452.67
163.15,386.02,73.58,73.58,199.94,422.81
133.30,356.17,73.58,73.58,170.08,392.95
118.37,312.44,73.58,73.58,155.16,349.23
104.50,267.66,73.58,73.58,141.29,304.45
104.50,222.87,73.58,73.58,141.29,259.66
104.50,178.08,73.58,73.58,141.29,214.87
297.52,430.81,73.58,73.58,334.30,467.60
312.44,415.88,73.58,73.58,349.23,452.67
326.31,386.02,73.58,73.58,363.10,422.81
341.24,356.17,73.58,73.58,378.03,392.95
341.24,326.31,73.58,73.58,378.03,363.10
341.24,297.52,73.58,73.58,378.03,334.30
341.24,267.66,73.58,73.58,378.03,304.45
341.24,237.80,73.58,73.58,378.03,274.59
