158,0
x,y,dx,dy,x_c,y_c
132.00,146.00,34.00,34.00,149.00,163.00
125.00,146.00,34.00,34.00,142.00,163.00
118.00,146.00,34.00,34.00,135.00,163.00
146.00,146.00,34.00,34.00,163.00,163.00
153.00,146.00,34.00,34.00,170.00,163.00
132.00,132.00,34.00,34.00,149.00,149.00
132.00,118.00,34.00,34.00,149.00,135.00
132.00,104.00,34.00,34.00,149.00,121.00
132.00,98.00,34.00,34.00,149.00,115.00
111.00,98.00,34.00,34.00,128.00,115.00
111.00,98.00,34.00,34.00,128.00,115.00
111.00,98.00,34.00,34.00,128.00,115.00
104.00,91.00,34.00,34.00,121.00,108.00
104.00,91.00,34.00,34.00,121.00,108.00
98.00,98.00,34.00,34.00,115.00,115.00
77.00,84.00,34.00,34.00,94.00,101.00
84.00,77.00,34.00,34.00,101.00,94.00
98.00,70.00,34.00,34.00,115.00,87.00
111.00,77.00,34.00,34.00,128.00,94.00
125.00,84.00,34.00,34.00,142.00,101.00
153.00,98.00,34.00,34.00,170.00,115.00
160.00,98.00,34.00,34.00,177.00,115.00
167.00,98.00,34.00,34.00,184.00,115.00
160.00,91.00,34.00,34.00,177.00,108.00
167.00,91.00,34.00,34.00,184.00,108.00
174.00,91.00,34.00,34.00,191.00,108.00
188.00,77.00,34.00,34.00,205.00,94.00
188.00,77.00,34.00,34.00,205.00,94.00
174.00,77.00,34.00,34.00,191.00,94.00
160.00,77.00,34.00,34.00,177.00,94.00
146.00,77.00,34.00,34.00,163.00,94.00
132.00,160.00,34.00,34.00,149.00,177.00
125.00,160.00,34.00,34.00,142.00,177.00
118.00,167.00,34.00,34.00,135.00,184.00
111.00,181.00,34.00,34.00,128.00,198.00
118.00,174.00,34.00,34.00,135.00,191.00
125.00,167.00,34.00,34.00,142.00,184.00
132.00,167.00,34.00,34.00,149.00,184.00
146.00,153.00,34.00,34.00,163.00,170.00
153.00,160.00,34.00,34.00,170.00,177.00
153.00,167.00,34.00,34.00,170.00,184.00
153.00,167.00,34.00,34.00,170.00,184.00
146.00,167.00,34.00,34.00,163.00,184.00
153.00,174.00,34.00,34.00,170.00,191.00
146.00,167.00,34.00,34.00,163.00,184.00
146.00,181.00,34.00,34.00,163.00,198.00
132.00,174.00,34.00,34.00,149.00,191.00
125.00,181.00,34.00,34.00,142.00,198.00
125.00,167.00,34.00,34.00,142.00,184.00
118.00,174.00,34.00,34.00,135.00,191.00
132.00,181.00,34.00,34.00,149.00,198.00
132.00,216.00,34.00,34.00,149.00,233.00
111.00,209.00,34.00,34.00,128.00,226.00
98.00,195.00,34.00,34.00,115.00,212.00
84.00,181.00,34.00,34.00,101.00,198.00
70.00,167.00,34.00,34.00,87.00,184.00
63.00,153.00,34.00,34.00,80.00,170.00
63.00,139.00,34.00,34.00,80.00,156.00
56.00,118.00,34.00,34.00,73.00,135.00
56.00,98.00,34.00,34.00,73.00,115.00
146.00,209.00,34.00,34.00,163.00,226.00
160.00,195.00,34.00,34.00,177.00,212.00
174.00,181.00,34.00,34.00,191.00,198.00
181.00,160.00,34.00,34.00,198.00,177.00
188.00,146.00,34.00,34.00,205.00,163.00
195.00,132.00,34.00,34.00,212.00,149.00
202.00,111.00,34.00,34.00,219.00,128.00
202.00,91.00,34.00,34.00,219.00,108.00
